prompt,prompt_en
Hlathulula ilanga ephasini lapho i-gravity ibuyela emuva ngokuzumako ama-awa ambalwa. Abantu neenlwana basabela njani?,Describe a day on Earth where gravity suddenly reverses for a few hours. How do people and animals react?
Yenza umlingisi owake waba liqhawe kodwana sele waba sigebengu ngebanga lokungazwisisani okubuhlungu.,Create a character who was once a hero but has become a villain due to a tragic misunderstanding.
Kufanele uhlele umhlangano nozakwethu ukucoca ngeragelophambili lephrojekthi. Tlola i-imeyili ehloniphekileko ubawa isikhathi esifaneleko somhlangano begodu unikele ngohlaka olufitjhani.,You need to schedule a meeting with a colleague to discuss the progress of a project. Write a polite email requesting a suitable time for the meeting and provide a brief outline.
Tlola i-imeyili kumphathi wakho ubawa iimpendulo ngombiko osanda ukuthumela. Tjengisa ikareko yakho yokwenza ngcono umsebenzi wakho begodu ubawe iimphakamiso ezithileko.,Write an email to your supervisor asking for feedback on a recent report you submitted. Express your interest in improving your work and ask for specific suggestions.
"Tlola i-imeyili kumphathi wakho uxolisa ngokuphuthelwa lilanga lokugcina lephrojekthi. Hlathulula isizathu sokulibaziseka, begodu uveze amagadango wakho ukuqinisekisa bona angeze kwenzeka godu.","Compose an email to your manager apologizing for missing a project deadline. Explain the reason for the delay, and outline your steps to ensure it won’t happen again."
"Tlola i-imeyili kumthengisi othumele imikhiqizo engakalungi nofana elimeleko. Hlathulula ngobumnene indaba le, unikele ngemininingwana, begodu ubawe ukubuyiselwa imali namkha ukubuyiselwa.","Write an email to a vendor who delivered incorrect or damaged products. Politely explain the issue, provide details, and request a refund or replacement."
Tlola i-imeyili kummeleli wesevisi yamakhasimende ubuza ngokutholakala nokucaciswa komkhiqizo ofuna ukuwuthenga.,Write an email to a customer service representative inquiring about the availability and specifications of a product you are interested in purchasing.
Uqaphele imali engakalungi emthethweni wakho wenyanga. Tlola i-imeyili emnyangweni wokubhadela uhlathulula indaba begodu ubawa ukulungiswa.,You’ve noticed an incorrect charge on your monthly bill. Write an email to the billing department explaining the issue and asking for a correction.
"Tlola i-imeyili ekhasimendeni eliqakathekileko ulithokoza ngokuragela phambili kwebhizinisi lalo, bese ubazisa ngokukhuthazwa okukhethekileko nofana umnikelo.","Compose an email to a valued customer thanking them for their continued business, and inform them about a special promotion or offer."
Tlola i-imeyili emnyangweni weenkonzo zamakhasimende wenkampani ukukhuluma ngesipiliyoni esimbi owaba naso ngesevisi yabo. Hlathulula umraro begodu uphakamise bona ungathanda bona urarululwe njani.,Write an email to a company’s customer service department to address a poor experience you had with their service. Explain the problem and suggest how you would like it resolved.
Tlola i-imeyili ukubawa ukubuyiselwa namkha ukutjhugululwa komkhiqizo owuthenge ku-inthanethi. Faka inomboro yakho ye-oda nesizathu sokubuyisa.,Compose an email to request a return or exchange for a product you purchased online. Include your order number and reason for the return.
Tlola i-imeyili kumngani ongakakhulumi naye isikhathi eside. Batjele ngalokho ebekwenzeka epilwenakho begodu ubabuze bona baphila njani.,Write an email to a friend you haven’t spoken to in a while. Catch them up on what’s been happening in your life and ask them how they’re doing.
Tlola i-imeyili uthokoza ilunga lomndeni namkha umngani ngesipho akuphe sona. Tjheja bona kubayini uthokozela isipho nokuthi uhlela ukusisebenzisa njani.,Write an email thanking a family member or friend for a gift they gave you. Be specific about why you appreciate the gift and how you plan to use it.
"Tlola i-imeyili engakahleleki umema abangani emnyanyeni owubambako. Faka imininingwana ngelanga, isikhathi, indawo, nanyana ngimiphi imisebenzi ekhethekileko.","Compose an informal email inviting friends to a party you’re hosting. Include details about the date, time, location, and any special activities."
Tlola i-imeyili uthokozisa umngani namkha umuntu osebenza naye ngempumelelo yakamuva. Tjengisa ithabo lakho ngabo begodu unikele ngamezwi wokukhuthaza.,Write an email congratulating a friend or colleague on a recent achievement. Express your happiness for them and offer words of encouragement.
Tlola i-imeyili kumngani omkhulu namkha ilunga lomndeni wabelane ngeendaba ezithabisako. Batjele imininingwana nokuthi uzizwa njani ngakho.,Write an email to a close friend or family member sharing exciting news. Tell them the details and how you’re feeling about it.
"Tlola i-imeyili ehhovisini lokwamukelwa kweyunivesithi ubawa ilwazi ngehlelo elithileko. Buza ngendlela yokufaka isibawo, amalanga wokugcina, njll.","Write an email to the admissions office of a university requesting information about a specific program. Ask about the application process, deadlines, etc."
Tlola i-imeyili eya kuprofesa wangaphambilini umbawa bona akutlolele incwadi yokuncoma. Nikela ngemininingwana ngesikhundla begodu unikele ngokunikela ilwazi elinabileko.,Compose an email to a former professor asking them to write a recommendation letter for you. Provide details about the position and offer to provide further information.
"Tlola i-imeyili esemthethweni esiphathisweni sikaRhulumende esikhuluma ngendaba yendawo ekukhathazako. Tjho ukutshwenyeka kwakho, unikele ngamaqiniso asekelako, begodu uphakamise iimpendulo ezingabakhona.","Write a formal email to a government official addressing a local issue that concerns you. State your concerns, provide supporting facts, and suggest possible solutions."
Usanda kuthoma umsebenzi omutjha begodu ufuna ukuzazisa emalungwini wesiqhema sakho. Tlola i-imeyili ehlelekileko ozazisako begodu uveza ithabo lakho ngokusebenza ndawonye.,You’ve just started a new job and want to introduce yourself to your team members. Write a formal email introducing yourself and expressing your excitement about working together.
Tlola i-imeyili eya kumqatjhi wangaphambilini ubawa ukumsebenzisa njengesikhombo sesibawo somsebenzi esitjha. Bawa imvumo yabo ngesizotha begodu ubathokoze ngokusekela kwabo.,Compose an email to a former employer requesting to use them as a reference for a new job application. Politely ask for their permission and thank them for their support.
Tlola i-imeyili engakajayeleki ekhasimendeni elingaba khona ethula ikhamphani yakho begodu unikela ngeenkonzo zakho. Gqamisa amandla wakho begodu uchaze bona ungasiza njani ibhizinisi labo.,Write a cold email to a potential client introducing your company and offering your services. Highlight your key strengths and explain how you can help their business.
"Tlola i-imeyili yokumaketha ememezela ukuthonywa komkhiqizo omutjha. Faka imininingwana ngeempawu zomkhiqizo, iinzuzo, nanyana ngikuphi ukukhuthazwa okukhethekileko nofana izaphulelo.","Compose a marketing email announcing the launch of a new product. Include details about the product’s features, benefits, and any special promotions or discounts."
Tlola i-imeyili elandelako kumthengi ongaba khona oveze ikareko emkhiqizweni wakho. Bakhumbuze ngeenzuzo begodu ubanikele ukuphendula nanyana ngimiphi imibuzo.,Write a follow-up email to a potential client who expressed interest in your product. Remind them of the benefits and offer to answer any questions.
"Tlola i-imeyili eqinisekisa umbhalisi omutjha wephephandaba lenkampani yakho. Bathokoze ngokubhalisa, ubatjele bona balindeleni, begodu ufake isimemo sokuthatha amagadango.","Compose an email confirming a new subscriber to your company’s newsletter. Thank them for subscribing, tell them what to expect, and include a call to action."
Tlola i-imeyili yokuthengisa ekhasimendeni elikhona elinikela ngemikhiqizo ehlobene nayo abangayithanda ngokuya ngokuthenga kwangaphambilini. Gqamisa bona kubayini imikhiqizo le ihambisana nokuthengwa kwabo.,Write a sales email to an existing customer offering related products they might be interested in based on previous purchases. Highlight why these products complement their purchase.
Tlola i-imeyili kuprofesa wakho ubawa ukungezelelwa kwesikhathi somsebenzi. Hlathulula ubujamo bakho begodu unikele ngesikhathi esifaneleko sokuthi ungaqeda nini umsebenzi.,Write an email to your professor requesting an extension for an assignment. Explain your situation and provide a reasonable timeline for when you can complete the work.
"Tlola i-imeyili ebantwini ofunda nabo ngokuhlanganisa iphrojekthi yesiqhema. Yabela imisebenzi, beka amalanga wokugcina, begodu uphakamise isikhathi somhlangano ukucoca ngeragelophambili.","Compose an email to your classmates coordinating a group project. Assign tasks, set deadlines, and suggest a meeting time to discuss progress."
Tlola i-imeyili kuprofesa ubuza ngamathuba wokwenza irhubhululo. Gqamisa izinto ozithandako begodu uchaze bona kubayini ungathanda ukusebenza nazo.,Write an email to a professor inquiring about potential research opportunities. Highlight your interests and explain why you’d like to work with them.
Tlola i-imeyili kuprofesa wakho ucolisa ngokuphutha eklasini ngebanga lobujamo obungakalindelwa. Buza bona ikhona na into ofuna ukuyifunda.,Write an email to your professor apologizing for missing a class due to unforeseen circumstances. Ask if there is any material you need to catch up on.
Tlola i-imeyili eya kuprofesa wangaphambilini nofana umeluleki ubawa isiyeleliso somsebenzi. Hlathulula ubujamo bakho bamanje begodu ubawe isiqondiso sokuthi ungaragela phambili njani.,Compose an email to a former professor or mentor asking for career advice. Briefly explain your current situation and ask for guidance on how to move forward.
"Abanye bakholelwa bona ukufunda nge-inthanethi kusebenza khulu ukudlula ukufunda okujayelekileko, lokha abanye bathi ukufunda ngeklasini kusese kuqakathekile. Xoxa ngemibono yomibili begodu unikele umbono wakho.","Some believe online learning is more effective than traditional learning, while others argue classroom learning is still crucial. Discuss both views and give your opinion."
"Abanye abantu bakholelwa bona imiraro yebhoduluko kufanele irarululwe ephasini loke, lokha abanye bacabanga bona kufanele irarululwe ekhaya. Xoxa ngemibono yomibili begodu unikele umbono wakho.","Some people believe environmental problems should be solved globally, while others think they should be tackled locally. Discuss both views and give your opinion."
Abanye bakholelwa bona ukufikelela ukulingana phakathi komsebenzi nokuphila kubudisi khulu namhlanjesi ukudlula esikhathini esidlulileko. Uvumelana kangangani namkha awuvumelani nesitatimende lesi?,Some believe achieving work-life balance is more difficult today than in the past. To what extent do you agree or disagree with this statement?
