id,prompt,source,task,language
4174,Bindal benn dëkk bu nit ñi di réer benn-benn te kenn xamul. Ñi des amu ñu benn fàttaliku ci ñi réer.,polywrite,monolingual,wolof
4175,Xalaatal ni danga dëkk ci kër gu mën a setal boppam waaye am xalaatam ci ni setal wara mel. Yan jafe-jafe ñooy am ?,polywrite,monolingual,wolof
4176,Bindal sa profesër ab imeel nga jéggalu ci limu ñàkka jàngi ndax mbir yu la xamul woon. Laajteel ndax amna mbir yoo bëgga jàng.,polywrite,monolingual,wolof
4177,Xalaatal benn royaume bu yëg-yëg di doxal klimaa bi. Waxñu benn bis ci dundu askan wi dëkk foofu.,polywrite,monolingual,wolof
4178,"Ci dëkki taax yu bari, ñi amul fuñu dëkk ñu ngi gëna yokk. Lan moo waral yokkute boobu, te lan lañu mën a def ngir wàññi jafe-jafe bi ?",polywrite,monolingual,wolof
4179,Bindal benn imeel ngir sàkku ñu delloo la wala ñu weccoo produit bi nga jëndoon ci net bi. Bindal sa nimero komànd ak sabab bi nga ko delloo.,polywrite,monolingual,wolof
4180,"Soppi bis bi ngay def ay mbir yu bari, def ko ab quest bu rëy, arrêt bu nekk dafay wane jafe-jafe bu amul fenn (lu melni, wut ingredient yu bariwul, saafara ay puzzle, ak ñoom seen).",polywrite,monolingual,wolof
4181,"Sa toppukaayu fitness mingi tàmbali la jox xalaat yu la personaaliseer, daanaka xel. Naka lay soppi sa jëffu bës bu nekk, ak lan mooy agenda bimu nëbb?",polywrite,monolingual,wolof
4182,Ay pirat asamaan dañuy jaar ci ay ile yuy féey ak dëkk yu mag ci asamaan ngir wër alal ju mag ju nëbbu ci niir yi.,polywrite,monolingual,wolof
4183,"Gann gu sol mask dafay wéy di feeñ ci barabi krim yu bari waaye daa melni amul benn lëkkaloo ak krim bi. Ñan lañu, te lan lañu xam ?",polywrite,monolingual,wolof
4184,"Ci diir bu gàtt, mën nañu toxal xel mi ci yeneen yaram. Lan mooy xew su amee ku toxal yaram wuñ defaree nit ba noppi bëgga dellu ci nimu njëkkoon?",polywrite,monolingual,wolof
4185,"Ñenn jàpp ni art lu am solo la ci askan wi, ñeneen ñi jàpp ni luxus la. Waxtaan ci ñaari gis-gis yi nga joxe sa xalaat.",polywrite,monolingual,wolof
4186,Aplikaasioŋ bu bees dafa wax ni dafay nuru &#39;bisu liggéey bu baax&#39; bu sukkandiko ci jikko ak tànneefi nit. Bindal nit ku ko jéem ba noppi gis ni dafa gëna tar limu yaakaaroon ni noonu la.,polywrite,monolingual,wolof
4187,Bindal benn imeelu profesër bu njëkk nga wax ko mu binndal la ab bataaxal recommandé. Joxeel ay leeral ci liggéey bi nga wax ni dinga ci joxe yeneen leeral.,polywrite,monolingual,wolof
4188,Defar ay haiku yu bari yu bu nekk di fësal fàttaliku mbëggeel guñ fàtte.,polywrite,monolingual,wolof
4189,"Teleportation mooy xeetu dem bi ak dikk biñ gëna xam, waaye su amee jafe-jafe moo waral ñiy dem ak dikk ñu tëju ci diggante barab yi ab diir. Waxñu ni nit ñi di jànkoonte ak jafe-jafe yii bis bu nekk.",polywrite,monolingual,wolof
4190,Bindal ab imeel ci departemaa bi yor serwiis kiliyaan ci benn kompiñi ngir wax ci jafe-jafe yi nga am ci seen serwiis. Leeralal jafe-jafe bi nga wax ni nga bëggee ñu saafara ko.,polywrite,monolingual,wolof
4191,"Bindal benn imeelu njaay kiliyaan bi fi nekk, nga jox ko ay produit yu méngoo ak limu jëndoon bu njëkk. Waxñu li tax produit yooyu di ànd ak li ñuy jënd.",polywrite,monolingual,wolof
4192,"Waxñu àdduna bu siwilisasioŋ yi dëkk ci kaw ile yuy féey ci asamaan, ba noppi ñuy yóbbu seen moomeel ci reso bu ballon yu rëy.",polywrite,monolingual,wolof
4193,Xalaatal beneen taarix bu Leonardo da Vinci defaree benn masin buy liggéey. Lan moo nara xew bu ñu ko fekkoon ci jamono ji nu nekk?,polywrite,monolingual,wolof
4194,"Ci réew yu bari, yaram wi nit ñi di def mingi gëna yokk, fekk seen wérgi-yaram ak seen fitness di gëna wàññeeku. Lan mooy sabab yi ak pexe yi ñu mëna def ngir saafara jafe-jafe bii?",polywrite,monolingual,wolof
4195,"Waxñu jaar-jaari tukkikat ci jamono, mu tëju ci univers bu paralel, fu xew-xew yi ci taarix jëlee beneen coppite bu rëy.",polywrite,monolingual,wolof
4196,"Sosal formaa limu mbir yu bees te wuute ak yeneen yi nga wara def, muy soppi bépp liggéey bu bës bu nekk def ko fowokaay. Lan mooy sàrt yi, te naka lañu lay yóbbe?",polywrite,monolingual,wolof
4197,Danga wara am ndaje ak sa naataango ngir waxtaane ni projet bi di doxee. Bindal ab imeel bu ànd ak ngor nga laaj jotu ndaje bi nga joxe ci lu gàtt.,polywrite,monolingual,wolof
4198,"Waxñu àdduna bi ginaaw apokaliptik bi tabaxaat boppam nekk utopie, waaye amna ay kumpa yuy yàq jàmm ji.",polywrite,monolingual,wolof
4199,"Bindal ab imeel buy firndeel ab abone bu bees ci sa bulletin liggéeyukaay. Jërëjëf leen ci li ñu abone, nga wax leen li ñu wara seentu, nga boole ci woote ñu def.",polywrite,monolingual,wolof
4200,Xalaatal àdduna bu ñuy tëye yëg-yëg yi ba noppi jaay leen. Nan la loolu di soppi seen diggante ak seen askan?,polywrite,monolingual,wolof
4201,"Bindal ci benn jumtukaayu xarala (telefoon, ordinatër portable, ak ñoom seen) bu nit ku soxor di topp. Naka lay def ba nax boroomam?",polywrite,monolingual,wolof
4202,"Bindal benn imeel ngir sargal sa xarit wala sa naataango ci liggéey bu mu def bu yàggul dara. Wax leen ni kontaan nañu lool ci ñoom, nga wax leen kàddu yu leen di yokk doole.",polywrite,monolingual,wolof
4203,"Bindal ab imeel biro biy nangu ñiy dugg universite nga laaj leeral ci benn prograam. Laajteel ni ñuy defee demànd bi, bis yi ñuy jeexal, ak ñoom seen.",polywrite,monolingual,wolof
4204,"Bindal benn imeelu kiliyaan bu am solo nga gërëm ko ci liggéey bimu wéy, nga yëgal ko promotion wala ofrand bu amul fenn.",polywrite,monolingual,wolof
4205,"Bindal ci benn surnalist buy nettali benn xew-xew bu am solo ci taarix, te benn rapoor rek moo soppi limu ci jëlee ci lu jaarul yoon.",polywrite,monolingual,wolof
4206,"Waxñu ni ñuy tukki ci barab bi gëna xóot ci géej gi, ñu fekk fa lu ñu xamul woon—muy dëkk bu yàgg bu ay mbindéef yu ñu xamul wottu.",polywrite,monolingual,wolof
4207,Dañu alku benn prins wala prinses mu soppiku nekk rab guddi gu nekk. Dañu war a wut nu ñuy dindi musiba mi balaa mu leen lakk.,polywrite,monolingual,wolof
4208,Disponibilite tukki internasional dafa yokk bu baax. Waxtaan ci njariñ ak loraange yi ci turist yi ak réew yi leen di dalal.,polywrite,monolingual,wolof
4209,"Ci gox yu bari ci àddina si, limu ñiy jàng téere wàññeeku na bu baax. Lan moo waral wàññeeku gi, te lan mooy njeexital yi ci askan wi?",polywrite,monolingual,wolof
