id,prompt,source,task,language
500,Phapano ke eng magareng ga dingwalwa le dingwalo?,aya,monolingual,sepedi
501,Thai! Mmangwane tswalela lebati bana ba baloi ba bine ,aya,monolingual,sepedi
502,"Ge eba o be o nyaka go ba moromiwa kua Korea o be o tla ya kae? Ka lebaka la potšišo ye e fetilego, ngwala taba yeo e dikologilego yeo e nago le karabo. E ka ba dipolelo ye 1 go ya go tše 20. Taba ye e Dikologilego:",aya,monolingual,sepedi
503,"Ge go akanywa go yo kgopela sego sa meetse lelapeng le itšego, go na le dilwanalwana tšeo di swanetšwego go dirwa go ya ka setho. Ke dilo dife?",aya,monolingual,sepedi
504,"Ge go ngwalwa sengwalwa sa tša bokgabane go fela go šomišwa tshwantšhokgopolo go tsefiša polelo le go leka go abela babadi seswantšho sa seo go bolelwago ka sona. Gantši tshwantšhokgopolo ge e sa šomišwe gabotse e atiša go dira sengwalwa gore se hloke moko gammogo le gore e ba seo se sa kwagalego. Ga bjalo, ge o ka swanela go botšiša potšišo mabapi le se se ngwetšwego o ka reng?",aya,monolingual,sepedi
505,"Potšišo: moloko wa bone wa iPod touch o tšweletše neng?
 Karabo:",aya,monolingual,sepedi
506,Potšišo: Ke papadi efe ya go se kgahliše yeo o ka e bapalago? Ke eng seo o naganago gore ke ntlha ya metlae ye e lego ka mo godimo?,aya,monolingual,sepedi
507,"Ngwala go tšwela pele bakeng sa serapa se - Ka 1948 Lotz o ile a nyala mo-Juda wa mo-Isiraele yo a bitšwago Rivka, gomme ba ba le morwa yo a bitšwago Oded Gur-Arie. Ge Ntwa ya Boipušo e thoma ka 1948, Lotz o ile a tsenela madira a Isiraele ao a bego a sa tšwa go hlongwa gomme a hlankela ka maemo a Mokapotene. O ile a tšea karolo ntweng ya Latrun. Mafelelong a ntwa ka 1949, Lotz o be a e-na le maemo a go ba molaodi wa madira. Nakong ya Ntwa ya Sinai",aya,monolingual,sepedi
508,Seka se se ra go reng: Go hlanola direthe ,aya,monolingual,sepedi
509,"Lebelela temana e lego ka mo tlase gomme o arabe potšišo ka morago ka leleme le le swanago le la mo temaneng:  Go feta: NTSC ya mebala e dirišetšwa go tsenya maswao a thelebišene ya System M, yeo e nago le di-frame tša bidio tše 30⁄1.001 (mo e ka bago tše 29.97) tšeo di tswakanego ka motsotswana. Seswantšho se sengwe le se sengwe se na le dikarolo tše pedi, e nngwe le e nngwe e na le methaladi ya go seka ya 262,5, e le gore palomoka ya methaladi ya go seka e be 525. Methaladi e 486 ya go seka-seka e bopa raster e bonagalago. Karolo e šetšego (karolo ya go šitiša ye e lego thwii) e dumelela go kopanywa ga thwii le go latela gape. Nako ye ya go se be le selo e be e hlamilwe mathomong go fo se be le selo go CRT ya moamogedi go dumelela ditšhekethe tše bonolo tša analoge le go boela morago ga go ema ga go nanya ga baamogedi ba TV ba pele. Lega go le bjalo, tše dingwe tša methaladi ye ga bjale e ka ba le tsebišo e nngwe e bjalo ka mongwalo wa ka tlase le khoutu ya nako ya go dikologa (VITC). Ka raster e feletšego (go hlokomologa methaladi ya seripagare ka lebaka la go tswakana) methaladi ya go bala ya go ba le nomoro ya go lekana (mothaladi o mongwe le o mongwe wo o ka bago le nomoro ya go lekana ge o balwa ka gare ga seka sa bidio, mohlala {2, 4, 6,..., 524}) e thala tšhemong ya pele, gomme ya go se lekane (mothaladi o mongwe le o mongwe wo o ka bago le nomoro ya go se lekane ge o balwa ka gare ga seka sa bidio, mohlala {1, 3, 5,..., 525}) e thala tšhemong ya bobedi, go tšweletša seswantšho se se se nago go thothomela ka tšhišinyo ya go mpshafatša tšhemong ya 60⁄1.001 Hz (e ka bago 59.94 Hz). Ge go bapetšwa, 576i ditshepedišo tša go swana le PAL-B/G le SECAM di šomiša mela e 625 (576 e bonalago), gomme ka go realo di na le tharollo ya godimo ya go ya godimo, eupša tharollo ya fase ya nako ya 25 ya dikerema goba 50 ya mafelo ka motsotswana.  Potšišo: Ke ka baka la'ng dithelebišene tša CRT di be di nyaka nako ya go se bontšhe selo?",aya,monolingual,sepedi
510,"Kamano yeo go yona monna a nyadilego basadi ba babedi goba go feta, e bitšwa eng?",aya,monolingual,sepedi
511,Motho wa go se bolele,aya,monolingual,sepedi
512,"Lebelela temana e lego ka mo tlase gomme o arabe potšišo ka morago ka leleme le le swanago le temana:  Temana Mark Ruffalo e lego Bruce Banner / Hulk: Ramahlale yo a lego setswerere sa tša santshe yoo e lego gore ka lebaka la go ba kotsing ya mahlasedi a gamma, o fetogafetoga sebata ge a galefa goba a ferekana. Ruffalo, yo a bego a naganwa go bapala Banner go The Incredible Hulk pele Edward Norton a tšea karolo, o ile a kgethwa ka morago ga gore ditherišano magareng ga Marvel le Norton di senyege. Mabapi le go tšeelwa legato ga Norton, Ruffalo o itše, ""Ke mogwera wa Ed, gomme ee, yeo e be e se tsela e botse ya go dira dilo tšeo ka moka. Eupša kamoo ke bonago dilo ka gona ke gore Ed o mphile karolo ye. Ke e lebelela e le Hamlet wa moloko wa-ka"". Mabapi le semelo seo, o itše, ""Ke monna yo a katanago le mahlakore a mabedi a gagwe ka noši - lefsifsi le seetša - gomme selo se sengwe le se sengwe seo a se dirago bophelong bja gagwe se hlatselwa ka ditaba tša taolo. Ke gotše ke bogetše mananeo a Bill Bixby a thelebišene, ao ke bego ke nagana gore e be e le tsela e nago le dintlha ka botlalo le ya kgonthe ya batho ya go lebelela Hulk. Ke rata gore karolo yeo e na le dika tšeo"". Mabapi le lefelo la Hulk sehlopheng, Ruffalo o itše, ""O swana le yo mongwe wa bao ba bapalago le yena bao ba sa kgonthišegago gore ba nyaka go ba sehlopheng sa bona. Ke motho yo a sa tsebego seo a se dirago. Go bjalo ka ge eka, 'E fo fo lahlela pomo ya seatla bogareng bja sehlopha gomme re holofele gore e tla ba e botse!"" Ye ke pontšho ya mathomo yeo go yona sebapadi seo se bapalago Banner gape se bapalago Hulk. Ruffalo o boditše makasine wa New York gore: ""Ke tloga ke thabile. Ga go na motho yo a kilego a bapala Hulk ka go lebanya; ka mehla ba be ba dira CGI. Ba tla dira seswantšho sa go emiša go sepela sa Avatar. Ka gona ke tla bapala karolo ya Hulk. Seo e tla ba se se thabišago"". Mohuta wa 3D wo o dirišitšwego go hlama mmele wa Hulk o be o bopilwe ka morago ga moagi wa mmele wa Long Island le monna wa go apola diaparo Steve Romm, mola sefahlego sa Hulk se be se bopilwe ka morago ga Ruffalo. Go bopa lentšu la Hulk, lentšu la Ruffalo le ile la kopanywa le la Lou Ferrigno le ba bangwe; le ge go le bjalo, le mola woo Hulk a  boletšego fela go wona ke (""Puny god."") e be e filwe ke Ruffalo feela. Ruffalo o ile a hwetša diranta tše dimilione tše pedi go ya go tše tharo bakeng sa filimi yeo.  Potšišo: Ke mang yo a ilego a bapala Bruce Banner/Hulk?",aya,monolingual,sepedi
513,Bana ba babedi bao ba belegwego ka nako ye tee ke mosadi yo motee ba bitšwa eng?,aya,monolingual,sepedi
514,"Potšišo e re: ""Dibeibele tša Bokriste di akaretša dipuku tše masome-tshela-tshela tša sehlopha sa dipuku tša Protestanta go ya go tše masome-seswai-tee tša sehlopha sa dipuku tša Kereke ya Ethiopia ya Orthodox ya Tewahedo"". ",aya,monolingual,sepedi
515,Ngwana wa mosetsana yo a belegwego a nnoši ka lapeng la bašemane o bitšwa eng?,aya,monolingual,sepedi
