prompt,prompt_en
Fungidzira uchigara muimba inogona kuzvichenesa pachayo asi ichikudziridza &#39;mafungiro&#39; ayo ekuti rucheno runofanira kutaridzika sei. Matambudziko api anomuka?,Imagine living in a house that can clean itself but develops its own 'opinions' on what cleanliness should look like. What problems arise?
Fungidzira zvakasikwa zvichiimba rwiyo rwekuridza pasi pasi usiku husati hwasvika. Ndeapi mazwi nemifananidzo yachaishandisa?,Imagine nature singing a lullaby to the earth before the night falls. What words and imagery would it use?
"Boka revaongorori rakagadzira tekinoroji yekusvetuka pakati pezviyero, asi chiyero chimwe nechimwe chine njodzi zvakanyanya kupfuura chekupedzisira. Chii chinoita kuti varambe vachienderera mberi?","A group of explorers has developed technology to jump between dimensions, but each dimension is subtly more dangerous than the last. What keeps them going?"
"Nyora nezvekumhanya-mhanya pamusika apo vatengesi vanotengesa zvinhu zvemazuva ose uye zvemashiripiti, uye kugezera kunoda kwete mari chete asi mazano akangwara kana zvirahwe.","Write about running errands in a marketplace where vendors sell both mundane and magical items, and haggling requires not just money but clever tricks or riddles."
Nyora nhaurirano pakati pemunhu mupenyu nechipoko chinopa mazano eupenyu asingatarisirwi.,Write a dialogue between a living person and a ghost who offers unexpected life advice.
Fungidzira guta riri pasi pevhu rine simba nezvinomera zvebioluminescent. Zvinetso zvipi zvinosangana nevagari vemo?,Imagine a sprawling underground city powered by bioluminescent plants. What challenges do its inhabitants face?
Nyora email yekutevera kune angangoita mutengi akaratidza kufarira chigadzirwa chako. Vayeuchidze nezvezvakanakira uye vape kupindura chero mibvunzo.,Write a follow-up email to a potential client who expressed interest in your product. Remind them of the benefits and offer to answer any questions.
Nyora email kune dhipatimendi rebasa revatengi rekambani kuti ugadzirise chiitiko chisina kunaka chawakava nacho nebasa ravo. Tsanangura dambudziko uye ratidza kuti ungada kuti rigadziriswe sei.,Write an email to a company’s customer service department to address a poor experience you had with their service. Explain the problem and suggest how you would like it resolved.
Nyora email kushamwari yepedyo kana nhengo yemhuri uchigovera nhau dzinonakidza. Vaudze zvizere uye kuti uri kunzwa sei nezvazvo.,Write an email to a close friend or family member sharing exciting news. Tell them the details and how you’re feeling about it.
Nyora email uchitenda nhengo yemhuri kana shamwari nechipo chavakakupa. Nyatsotaura kuti nei uchikoshesa chipo uye kuti unoronga kuchishandisa sei.,Write an email thanking a family member or friend for a gift they gave you. Be specific about why you appreciate the gift and how you plan to use it.
Gadzira nhaurirano pakati pemuchadenga nemutorwa anotaurirana achishandisa mavara pachinzvimbo chemazwi.,Create a conversation between an astronaut and an alien who communicates using colors instead of words.
Nyora nyaya pamusoro peboka remagamba akasiya basa anobva pamudyandigere kune imwe yekupedzisira mishoni.,Write a story about a group of retired superheroes who come out of retirement for one last mission.
Chikwata chevaongorori chinowana budiriro yakavanzika iyo isina kumbobatwa nenyika dzekunze kwemazana emakore. Vanodyidzana sei nenzanga iyi?,A team of explorers discovers a hidden civilization that has been untouched by the outside world for centuries. How do they interact with this society?
"Nyora email kuhofisi yekubvumirwa yeyunivhesiti uchikumbira ruzivo nezvechirongwa chakati. Bvunza nezve maitiro ekunyorera, mazuva ekupedzisira, nezvimwe.","Write an email to the admissions office of a university requesting information about a specific program. Ask about the application process, deadlines, etc."
"Rondedzera sisitimu yebasa apo basa rega rega repamba rinoshandurwa kuita mini-mutambo, wakakwana nemazinga, mibairo, uye zvisingatarisirwe zvinonetsa.","Describe a chore system where every household task is turned into a mini-game, complete with levels, rewards, and unexpected challenges."
Nyora email kumumiriri webasa revatengi uchibvunza nezve kuwanikwa uye kutsanangurwa kwechigadzirwa chauri kufarira kutenga.,Write an email to a customer service representative inquiring about the availability and specifications of a product you are interested in purchasing.
"Rondedzera maitirwo ebasa ari kure, asi pachinzvimbo chekushanda kubva kumba, hunhu huri kushanda kubva kunzvimbo dzakasiyana dzinonakidza (sezvitsuwa zvinoyangarara kana masango ane masango).","Describe a remote work routine, but instead of working from home, the character is working from different fantastical locations (like floating islands or enchanted forests)."
"Nyora email kune vaunodzidza navo vachironga chirongwa cheboka. Rongedza mabasa, isa mazuva ekupedzisira, uye taura nguva yemusangano yekukurukura mafambiro.","Compose an email to your classmates coordinating a group project. Assign tasks, set deadlines, and suggest a meeting time to discuss progress."
"Muupenyu hwapashure porufu, mweya inotongwa kwakavakirwa pandangariro dzomutsa dzayakasiya shure. Munhu anoona kuti mari yave kupera.","In the afterlife, souls are judged based on the memories of kindness they left behind. A character realizes they are running out of currency."
"Mune inozivikanwa art gallery, mapendi anotanga kuzevezera zvakavanzika nezvevanhu vanozviona. Chii chiri seri kweichi chiitiko chechienzi?","In a renowned art gallery, the paintings begin to whisper secrets about people who view them. What is behind this strange phenomenon?"
"Mutikitivha anomuka asina ndangariro dzemaawa makumi mana nemasere ekupedzisira, ongoona kuti ndivo vanonyanya kufungidzirwa mhosva huru. Vanoratidza sei kuti havana mhosva?","A detective wakes up with no memory of the last 48 hours, only to find that they’re the prime suspect in a major crime. How do they prove their innocence?"
Nyora email kuna purofesa uchibvunza nezve mikana yekutsvagisa. Simbisa zvaunofarira uye tsanangura chikonzero nei uchida kushanda navo.,Write an email to a professor inquiring about potential research opportunities. Highlight your interests and explain why you’d like to work with them.
"Vamwe vanotenda kuti social media ine pesvedzero yakanaka munharaunda, asi vamwe vanofunga kuti ine zvakaipa. Kurukurai maonero maviri uye mupe pfungwa dzenyu.","Some believe social media has a positive influence on society, while others think it has a negative impact. Discuss both views and give your opinion."
"Chishandiso chitsva chinoti chinoteedzera &#39;zuva rekushanda rakakwana&#39; zvichienderana nemaitiro uye zvaanoda zvemunhu. Nyora nezvemumwe munhu anoiedza, wozoona kuti yakanyanyisa kupfuura zvavaitarisira.","A new app claims to simulate the ‘perfect workday’ based on an individual’s habits and preferences. Write about someone who tries it, only to discover it's far more intense than they expected."
Fungidzira kuti une simba guru rinokutendera kuti umbomira nguva kwemaminetsi gumi awa yega yega. Unoisa sei izvi mumuitiro wako wezuva nezuva?,Imagine you have a superpower that allows you to pause time for 10 minutes every hour. How do you incorporate this into your daily routine?
"Rondedzera nyika umo budiriro inogara pazvitsuwa zvinoyangarara mudenga, uye zviwanikwa zvinotakurwa nomumburengi wemabharumu makuru.","Describe a world where civilizations live on floating islands in the sky, and resources are transported through a network of giant balloons."
Vamwe vanotenda kuti kuwana basa-hupenyu hwepakati kwakaoma nhasi kupfuura kare. Unobvumirana kana kusabvumirana nemashoko aya kusvika papi?,Some believe achieving work-life balance is more difficult today than in the past. To what extent do you agree or disagree with this statement?
"Munyika ine tekinoroji yepamusoro umo kuzorora kwakagadziridzwa nesainzi, tsanangura maitiro emunhu anofefeterwa nemhepo husiku achishandisa maturusi emangwana uye nzira.","In a high-tech world where relaxation is scientifically optimized, describe a person’s nightly wind-down routine using futuristic tools and methods."
Boka revapambi vedenga rinofamba nendege nemuzvitsuwa zvinoyangarara nemaguta edenga vachitsvaga pfuma yengano yakavanzwa mumakore.,A band of sky pirates navigates airships through floating islands and sky cities in search of a legendary treasure hidden in the clouds.
"Vakuru vazhinji havasati vane hunyanzvi hwedhijitari munyika yanhasi. Ndezvipi zvikonzero zviri shure kweizvi, uye chii chingaitwa kuvandudza kuverenga kwedhijitari?","Many adults still do not have basic digital skills in today's world. What are the reasons behind this, and what can be done to improve digital literacy?"
"Unopihwa grocery list rine zvinhu zvinoita kunge zvisipo. Paunenge uchitsvaga, unoona kuti chimwe nechimwe chinhu chinotungamira kune chimwe chinhu chikuru.","You are given a grocery list with items that don't seem to exist. As you search, you discover that each item is a clue leading to something much bigger."
Nyora email kuna purofesa wako uchikumbira kuwedzerwa basa. Tsanangura mamiriro ako uye upe nguva inonzwisisika yenguva yaunokwanisa kupedza basa.,Write an email to your professor requesting an extension for an assignment. Explain your situation and provide a reasonable timeline for when you can complete the work.
Iwe uchangotanga basa idzva uye unoda kuzvisuma kune nhengo dzechikwata chako. Nyora email yepamutemo uchizvisuma uye kuratidza kufara kwako nekushanda pamwe chete.,You’ve just started a new job and want to introduce yourself to your team members. Write a formal email introducing yourself and expressing your excitement about working together.
Kufambira mberi muruzivo rwokugadzira zvinhu kwakachinja matauriro anoita vanhu. Ndezvipi zvakanakira nekuipira budiriro iyi?,Technological advancements have changed how people communicate. What are the advantages and disadvantages of this development?
"Nyora nezvemumwe munhu anoita chibvumirano nemunhu wemashiripiti kuti anamatire kuzvinangwa zvehutano hwavo. Zuva rimwe nerimwe vanosvetukira rimwe basa, vanosangana nezvinozoitika asi zvinovanetsa.","Write about someone who makes a deal with a magical being to stick to their health goals. Each day they skip a task, they face a quirky but inconvenient consequence."
"Nyora email kune akakosha mutengi uchivatenda nekuenderera mberi kwebhizinesi ravo, uye vazivise nezve yakakosha kukwidziridzwa kana kupa.","Compose an email to a valued customer thanking them for their continued business, and inform them about a special promotion or offer."
