id,prompt,source,task,language
3274,"Kurema isi aho isoko yonyine y&#39;amazi ari oasisi y&#39;amayobera igenda buri kwezi, iganisha ku kwimuka kwabaturage bose.",polywrite,monolingual,kinyarwanda
3275,Andika imeri uwahoze ari umukoresha wawe usaba kuzikoresha nkurwego rwo gusaba akazi gashya. Ubupfura ubasabe uruhushya kandi ubashimire inkunga yabo.,polywrite,monolingual,kinyarwanda
3276,"Uhabwa urutonde rwibiryo hamwe nibintu bisa nkaho bitabaho. Mugihe ushakisha, usanga buri kintu ari ibimenyetso biganisha kukintu kinini cyane.",polywrite,monolingual,kinyarwanda
3277,"Umuntu atangira kubona inzozi mbi mubuzima busanzwe. Igihe cyose bakangutse, ikindi gice cyisi yinzozi zibakurikirana mubyukuri.",polywrite,monolingual,kinyarwanda
3278,Tekereza ufite imbaraga zidasanzwe zigufasha guhagarika umwanya muminota 10 buri saha. Nigute wabishyira mubikorwa byawe bya buri munsi?,polywrite,monolingual,kinyarwanda
3279,"Kora imeri idasanzwe itumira inshuti mubirori wateguye. Shyiramo ibisobanuro birambuye kubyerekeye itariki, isaha, ahantu, nibikorwa byose bidasanzwe.",polywrite,monolingual,kinyarwanda
3280,"Mu mujyi muto, izuba rirazimira kandi burigihe ni saa sita z&#39;ijoro. Ntawe ushobora kuva mu mujyi, kandi ibiremwa bidasanzwe bitangira kuva mu mwijima.",polywrite,monolingual,kinyarwanda
3281,Tekereza kuba mu nzu ishobora kwisukura ariko igateza imbere &#39;ibitekerezo&#39; byayo ku isuku igomba kumera. Ni ibihe bibazo bivuka?,polywrite,monolingual,kinyarwanda
3282,"Sobanura sisitemu yo murugo aho buri murimo wo murugo uhinduka umukino-muto, wuzuye nurwego, ibihembo, nibibazo bitunguranye.",polywrite,monolingual,kinyarwanda
3283,Watangiye akazi gashya kandi ushaka kwimenyekanisha kubagize itsinda ryawe. Andika imeri yemewe yimenyekanisha kandi ugaragaze ko wishimiye gukorera hamwe.,polywrite,monolingual,kinyarwanda
3284,"Bamwe bemeza ko ababyeyi bagomba kuba bashinzwe kurera abana, abandi bakibwira ko leta igomba kubigiramo uruhare. Muganire kubitekerezo byombi kandi mutange igitekerezo cyawe.",polywrite,monolingual,kinyarwanda
3285,"Teleportation nuburyo busanzwe bwo gutwara abantu, ariko ikosa ritera abagenzi guhagarara byigihe gito hagati yikibanza. Sobanura uburyo abantu bakemura iki kibazo kibi cya buri munsi.",polywrite,monolingual,kinyarwanda
3286,"Ibiyoka bimaze igihe bicika, ariko kimwe cyongeye kuvuka mumubiri wumuntu. Nigute ibi bigira ingaruka ku isi yubumaji?",polywrite,monolingual,kinyarwanda
