id,prompt,source,task,language
2400,Kọ lẹ́tà kan sí màmá mi láti fi dá a lójú pé ó yẹ kí n lè ní ológbò.,dolly,monolingual,yoruba
2401,Ẹ fún mi ní ọ̀pọ̀lọpọ̀ ọ̀nà tí mo lè gbà mú kí ilé mi tutù ní ìgbà ẹ̀ẹ̀rùn,dolly,monolingual,yoruba
2402,"Nígbà tí mo bá ń wọ ọkọ̀ òfuurufú, nǹkan mẹ́ta péré ni mo lè gbé dání: idà, ìwé, fóònù, báàgì, ẹyẹ alágídí, ọkọ̀ òfuurufú. Àwọn wo ló yẹ kí n gbé dání?",dolly,monolingual,yoruba
2403,Kí ni ọ̀rọ̀-ìṣe?,dolly,monolingual,yoruba
2404,"Ṣàkópọ̀ àríyànjiyàn náà, kó o sì sọ ẹni tó borí
Context:Àríyànjiyàn wáyé láàrin Crosby àti olùdásílẹ̀ lórí orin tí ó yẹ kí wọ́n lò. Woodbury Soap ati ile-iṣẹ rẹ, Lennon & Mitchell, ro pe orin naa ""Loveliness"" eyiti o ti jẹ akori nigbagbogbo ti awọn eto Woodbury yẹ ki o tẹsiwaju. Crosby sọ wípé ọ̀rọ̀ tí ó tọ̀nà fún ọ̀rọ̀ náà ni ""Where the Blue of the Night (Meets the Gold of the Day)"", lórí ìpìlẹ̀ wípé orin náà ti jẹ́ ti òun láti ìgbà tí ó ti wà lórí afẹ́fẹ́. Nígbà tó yá, Woodbury gbà fún akọrin náà. Ìṣòro mìíràn tún yọjú pẹ̀lú Dale Winbrow, ẹni tí àjọ Lennon & Mitchell rán láti New York lọ sí West Coast láti yanjú àríyànjiyàn tó jẹ mọ́ orin náà àti láti ṣe àbójútó eré náà. Winbrow tẹ́tí sí ètò tí Crosby àti Lennie Hayton ti múra sílẹ̀ fún ìtòlẹ́sẹẹsẹ tó tẹ̀ lé e, ó sì bẹnu àtẹ́ lu ètò náà gan-an. <unk>Ìbúgbàù tó wáyé látọ̀dọ̀ Crosby parí pẹ̀lú kíkọ́kọ́rọ́ àti Hayton kéde ara wọn kúrò nínú eré náà. Iṣẹ́-ìdarí baritone náà wá rọ̀ ọ́ láti dúró títí tí wọ́n á fi yanjú ọ̀rọ̀ náà pẹ̀lú iléeṣẹ́ tó wà ní New York.",dolly,monolingual,yoruba
2405,Báwo ló ṣe yẹ kí n náwó mi?,dolly,monolingual,yoruba
2406,"Ní ìbámu pẹ̀lú ìwé ìsọfúnni nípa Bitcoin, àwọn orílẹ̀-èdè mélòó ló ti fòfin de Bitcoin?
Context:Bitcoin (ìkékúrú: BTC[a] tabi XBT[b]; àmì: <unk>) jẹ́ ìlànà tí ó ń ṣe ìmúṣẹ ìwé àkọsílẹ̀ tí ó wà lárọ̀ọ́wọ́tó gíga, tí ó wà fún gbogbo ènìyàn, tí ó wà fún ìgbà pípé, tí ó sì jẹ́ èyí tí a kò pín sí ọ̀kan. Láti lè fi kún ìwé àkọsílẹ̀, oníṣe ní láti fi hàn pé òun ni ó ń darí àkọsílẹ̀ inú ìwé àkọsílẹ̀. Àkọsílẹ̀ náà sọ wípé àkọsílẹ̀ náà tọ́ka sí iye owó kan, bitcoin pẹ̀lú b kékeré. Olumulo naa le ṣe imudojuiwọn iwe-ipamọ, fi diẹ ninu awọn bitcoin wọn si titẹsi miiran ninu iwe-ipamọ. Nítorí pé àmì náà ní àwọn ànímọ́ owó, a lè kà á sí owó orí ẹ̀rọ.   Àwọn ìsọfúnni tí Bitcoin ń ṣe ni àwọn ìsọfúnni tó wà nínú ẹ̀rọ-ayárabíàṣá máa ń ṣètẹ́wọ̀n nípa lílo ìlànà ìkọ̀wé-ìkọ̀wé, tí wọ́n sì máa ń kọ sínú ìwé àkọsílẹ̀ tí wọ́n ń pè ní blockchain. Ọdún 2008 ni ẹnìkan tí a kò mọ̀ tàbí àwùjọ àwọn ènìyàn tí wọ́n ń lo orúkọ Satoshi Nakamoto ṣe àdàkọ owó orí. Owo naa bẹrẹ lilo ni ọdun 2009, nigbati a tu imuse rẹ silẹ bi sọfitiwia orisun orisun.: ch. 1 Ọ̀rọ̀ náà ""bitcoin"" ni a ṣàpèjúwe nínú ìwé funfun kan tí a tẹ̀ jáde ní October 31, 2008. Ọ̀rọ̀ náà ""bit"" àti ""coin"" ni wọ́n pa pọ̀.   Ìwé Ìkówèésí Àpapọ̀ Ìparapọ̀ Àwọn Orílẹ̀-èdè sọ wípé, láti oṣù Kọkànlá Oṣù ọdún 2021, àwọn orílẹ̀-èdè mẹ́sàn-án ti fòfin de lílo bitcoin pátápátá, nígbà tí àwọn méjìlélógójì mìíràn ti fòfin dè é ní kedere. Àwọn ìjọba díẹ̀ ti lo Bitcoin ní àwọn ọ̀nà kan. El Salvador ti gba Bitcoin gẹgẹbi owo ofin, botilẹjẹpe lilo nipasẹ awọn oniṣowo ṣi jẹ kekere. Orílẹ̀-èdè Ukraine ti gba àwọn ẹ̀bùn owó-ìpamọ́ láti fi ṣètìlẹyìn fún àtakò sí ìkọlù Russia ní ọdún 2022. Iran ti lo Bitcoin láti gba ààyè kúrò lára àwọn ìfohùnwọ̀n.",dolly,monolingual,yoruba
2407,Kí ni ìyàtọ̀ tó wà láàárín àwọn iye tó jẹ́ ti ara àti àwọn iye gidi?,dolly,monolingual,yoruba
2408,Àwọ̀ wo ni Rainbow ní?,dolly,monolingual,yoruba
2409,"Ṣàkójọ àwọn orílẹ̀-èdè kọ̀ọ̀kan gẹ́gẹ́ bí èyí tí kò ní etíkun tàbí èyí tí kò ní etíkun: China, Bolivia, Paraguay, Morocco, Ireland, Austria, Switzerland",dolly,monolingual,yoruba
