id,prompt,source,task,language
2000,Nyora tsamba kuna amai vangu kuti ndivakurudzire kuti ndigone kuva nekatsi.,dolly,monolingual,shona
2001,Ndipei nzira dzakawanda dzandinogona kuchengeta dzimba dzangu dzichitonhorera muzhizha,dolly,monolingual,shona
2002,"Mundege, ndinogona kungotakura zvinhu zvitatu bedzi zvezvinhu zvinotevera: munondo, bhuku, runhare, sutukesi, shiri, ndege. Ndedzipi dzandinofanira kurongedza?",dolly,monolingual,shona
2003,Chii chinonzi chiito?,dolly,monolingual,shona
2004,"Taura muchidimbu nharo dzacho uye ndiudze kuti ndiani akakunda
Context:Pakanga pane gakava pakati paCrosby nomutsigiri pamusoro pokuti nziyo yenyaya ipi yaifanira kushandiswa. Woodbury Soap nesangano rayo, Lennon & Mitchell, vakafunga kuti rwiyo ""Loveliness"" rwaigara rwuri dingindira rezvirongwa zveWoodbury runofanira kuenderera mberi. Crosby akataura kuti musoro wenyaya wechikamu ichi waive ""Pane Bhuruu rehusiku (Rinosangana neGoridhe reZuva)"", pahwaro hwekuti rwiyo rwacho rwakanga rwazivikanwa naye kubvira paakange ari mumhepo. Pakupedzisira Woodbury akabvuma kuti aiva muimbi. Mamwe matambudziko akamuka naDale Winbrow, uyo akanga atumirwa kuWest Coast kubva kuNew York nesangano reLennon & Mitchell kuti agadzirise nharo yemimhanzi yemimhanzi uye kutarisira chiratidziro. Winbrow akateerera purogiramu iyo Crosby naLennie Hayton vakanga vagadzirira nokuda kwokuparadzirwa kunotevera uye akanga achishora zvikuru. <unk>Mhirizhonga yakakonzerwa naCrosby yakaguma neWorbler naHayton vachizvizivisa kuti havachaiti mutambo wacho. Vatungamiri vebaritone gare gare vakamukurudzira kuti arambe aripo apo mugariro wacho wakanga uchigadziriswa nesangano riri kumugumo weNew York.",dolly,monolingual,shona
2005,Ndinofanira kuisa sei mari yangu?,dolly,monolingual,shona
2006,"Zvichienderana nerugwaro rwunotaura nezveBitcoin, nyika ngani dzakarambidza Bitcoin?
Context:Bitcoin (chidimbu: BTC[a] kana XBT[b]; chiratidzo: <unk>) ipurogiramu inoshandisa bhuku rinowanikwa zvakanyanya, rakavhurika, risingaperi, uye rakaparadzaniswa. Kuti awedzere kubhuku guru, mushandisi anofanira kuratidza kuti anodzora chinyorwa mubhuku guru. Gadziriro yacho inotaura kuti kupinda kunoratidzira uwandu hwechiratidzo, bitcoin ine b duku. Mushandisi anogona kuvandudza bhuku guru, achigovera mamwe emabitcoin ake kune rimwe gwaro riri mubhuku guru. Nemhaka yokuti chiratidzo chine mavara emari, chinogona kurangarirwa semari yedhijitari.   Kutengeserana kweBitcoin kunosimbiswa nenhengo dzomumbure dzinoshandisa cryptography uye kunonyorwa mubhuku guru rinoparadzirwa revoruzhinji rinonzi blockchain. Cryptocurrency yakagadzirwa muna 2008 nemunhu asingazivikanwe kana boka revanhu vachishandisa zita rekuti Satoshi Nakamoto. Mari yacho yakatanga kushandiswa muna 2009, apo kushandiswa kwayo kwakasunungurwa se software yakazaruka. 1 Shoko rokuti ""bitcoin"" rakatsanangurwa mubhuku rakabudiswa musi waOctober 31, 2008. Rinosanganiswa nemashoko okuti ""bit"" uye ""coin"".   Raibhurari yeCongress inoshuma kuti, kubva muna Mbudzi 2021, nyika pfumbamwe dzakarambidza zvachose kushandiswa kwebitcoin, nepo dzimwe makumi mana nembiri dzakarambidza zvisina kunanga. Hurumende shomanene dzakashandisa bitcoin mune mamwe masimba. El Salvador yakatora Bitcoin semari yepamutemo, kunyange zvazvo kushandiswa nevatengesi kuchiri kushoma. Ukraine yakagamuchira mipiro ye cryptocurrency kuti iwane mari yekurwisa kupinda kweRussia muna 2022. Iran yakashandisa bitcoin kudzivisa zvirango.",dolly,monolingual,shona
2007,Ndechipi musiyano uri pakati penhamba chaidzo nedziri chaidzo?,dolly,monolingual,shona
2008,Rainbow ine ruvara rwei?,dolly,monolingual,shona
2009,"Rondedzera nyika imwe neimwe senyika dzisina mahombekombe kana kuti dzisina mahombekombe: China, Bolivia, Paraguay, Morocco, Ireland, Austria, Switzerland",dolly,monolingual,shona
