prompt,prompt_en
Andika kubyerekeye imico niyanyuma yubwoko bwabo babaho mwisi yimutse batayifite.,Write about a character who is the last of their kind living in a world that has moved on without them.
"Andika imeri kugirango ukurikirane ikiganiro cyakazi wagize ibyumweru bibiri bishize. Garagaza ko ukomeje gushimishwa nuwo mwanya, shimira uwabajije umwanya wabo, kandi usabe ibishya.","Write an email to follow up on a job interview you had two weeks ago. Express your continued interest in the position, thank the interviewer for their time, and ask for updates."
Ugomba gutegura inama na mugenzi wawe kugirango muganire aho umushinga ugeze. Andika imeri yubupfura isaba igihe gikwiye cyinama kandi utange urucacagu rugufi.,You need to schedule a meeting with a colleague to discuss the progress of a project. Write a polite email requesting a suitable time for the meeting and provide a brief outline.
Andika imeri umuyobozi wawe agusaba ibitekerezo kuri raporo iherutse gutanga. Garagaza ko ushishikajwe no kunoza akazi kawe kandi usabe ibyifuzo byihariye.,Write an email to your supervisor asking for feedback on a recent report you submitted. Express your interest in improving your work and ask for specific suggestions.
"Andika imeri umuyobozi wawe agusaba imbabazi kuberako wabuze igihe ntarengwa cyumushinga. Sobanura impamvu yo gutinda, hanyuma ugaragaze intambwe zawe kugirango urebe ko bitazongera ukundi.","Compose an email to your manager apologizing for missing a project deadline. Explain the reason for the delay, and outline your steps to ensure it won’t happen again."
"Andika imeri umucuruzi watanze ibicuruzwa bitari byo cyangwa byangiritse. Sobanura mu kinyabupfura ikibazo, utange ibisobanuro, kandi usabe gusubizwa cyangwa gusimburwa.","Write an email to a vendor who delivered incorrect or damaged products. Politely explain the issue, provide details, and request a refund or replacement."
Wabonye amafaranga atari yo kuri fagitire yawe ya buri kwezi. Andika imeri ishami rishinzwe kwishyuza risobanura ikibazo kandi usabe gukosorwa.,You’ve noticed an incorrect charge on your monthly bill. Write an email to the billing department explaining the issue and asking for a correction.
"Andika imeri kubakiriya bafite agaciro ubashimira ibikorwa byabo bikomeje, kandi ubamenyeshe ibijyanye na promotion idasanzwe cyangwa itangwa.","Compose an email to a valued customer thanking them for their continued business, and inform them about a special promotion or offer."
Andika imeri ishami rishinzwe serivisi zabakiriya ba sosiyete kugirango ukemure uburambe bubi wagize na serivisi zabo. Sobanura ikibazo hanyuma utange uko wifuza ko cyakemuka.,Write an email to a company’s customer service department to address a poor experience you had with their service. Explain the problem and suggest how you would like it resolved.
Kora imeri kugirango usabe kugaruka cyangwa guhana ibicuruzwa waguze kumurongo. Shyiramo numero yawe yatumijwe nimpamvu yo kugaruka.,Compose an email to request a return or exchange for a product you purchased online. Include your order number and reason for the return.
Andika imeri inshuti utigeze uvugana mugihe gito. Mubafate kubibera mubuzima bwawe mubabaze uko bameze.,Write an email to a friend you haven’t spoken to in a while. Catch them up on what’s been happening in your life and ask them how they’re doing.
Andika imeri ushimira umuryango cyangwa inshuti kubwimpano baguhaye. Sobanura neza impamvu ushima impano nuburyo uteganya kuyikoresha.,Write an email thanking a family member or friend for a gift they gave you. Be specific about why you appreciate the gift and how you plan to use it.
"Kora imeri idasanzwe itumira inshuti mubirori wateguye. Shyiramo ibisobanuro birambuye kubyerekeye itariki, isaha, ahantu, nibikorwa byose bidasanzwe.","Compose an informal email inviting friends to a party you’re hosting. Include details about the date, time, location, and any special activities."
Andika imeri ishimira inshuti cyangwa mugenzi wawe kubyo uherutse kugeraho. Erekana umunezero wawe kuri bo kandi utange amagambo atera inkunga.,Write an email congratulating a friend or colleague on a recent achievement. Express your happiness for them and offer words of encouragement.
Andika imeri inshuti magara cyangwa umuryango wawe mugabanye amakuru ashimishije. Babwire ibisobanuro nuburyo ubyumva.,Write an email to a close friend or family member sharing exciting news. Tell them the details and how you’re feeling about it.
"Andika imeri kubiro byakira kaminuza bisaba amakuru ajyanye na gahunda runaka. Baza ibijyanye na gahunda yo gusaba, igihe ntarengwa, nibindi.","Write an email to the admissions office of a university requesting information about a specific program. Ask about the application process, deadlines, etc."
Andika imeri uwahoze ari umwarimu ubasaba kukwandikira ibaruwa isaba. Tanga ibisobanuro birambuye kumwanya kandi utange gutanga andi makuru.,Compose an email to a former professor asking them to write a recommendation letter for you. Provide details about the position and offer to provide further information.
"Andika imeri yemewe kumukozi wa leta ukemura ikibazo cyaho kikureba. Vuga impungenge zawe, utange ibimenyetso bifatika, kandi utange ibisubizo bishoboka.","Write a formal email to a government official addressing a local issue that concerns you. State your concerns, provide supporting facts, and suggest possible solutions."
Watangiye akazi gashya kandi ushaka kwimenyekanisha kubagize itsinda ryawe. Andika imeri yemewe yimenyekanisha kandi ugaragaze ko wishimiye gukorera hamwe.,You’ve just started a new job and want to introduce yourself to your team members. Write a formal email introducing yourself and expressing your excitement about working together.
Andika imeri uwahoze ari umukoresha wawe usaba kuzikoresha nkurwego rwo gusaba akazi gashya. Ubupfura ubasabe uruhushya kandi ubashimire inkunga yabo.,Compose an email to a former employer requesting to use them as a reference for a new job application. Politely ask for their permission and thank them for their support.
Andika imeri ikonje kubakiriya bashobora kumenyekanisha sosiyete yawe no gutanga serivisi zawe. Garagaza imbaraga zawe zingenzi kandi usobanure uburyo ushobora gufasha ubucuruzi bwabo.,Write a cold email to a potential client introducing your company and offering your services. Highlight your key strengths and explain how you can help their business.
"Kora imeri yo kwamamaza imenyekanisha itangizwa ryibicuruzwa bishya. Shyiramo ibisobanuro birambuye kubiranga ibicuruzwa, inyungu, hamwe no kuzamurwa kwihariye cyangwa kugabanuka.","Compose a marketing email announcing the launch of a new product. Include details about the product’s features, benefits, and any special promotions or discounts."
Andika imeri ikurikirana kubakiriya bawe bagaragaje ko bashimishijwe nibicuruzwa byawe. Ubibutse inyungu kandi utange igisubizo kubibazo byose.,Write a follow-up email to a potential client who expressed interest in your product. Remind them of the benefits and offer to answer any questions.
"Kora imeri yemeza abiyandikishije bashya kumakuru yikigo cyawe. Ndabashimira kwiyandikisha, mubabwire ibyo mutegereje, kandi mushyiremo umuhamagaro mubikorwa.","Compose an email confirming a new subscriber to your company’s newsletter. Thank them for subscribing, tell them what to expect, and include a call to action."
Andika imeri yo kugurisha kubakiriya bariho batanga ibicuruzwa bijyanye bashobora kuba bashimishijwe ukurikije ibyaguzwe mbere. Shyira ahagaragara impamvu ibyo bicuruzwa byuzuza ibyo baguze.,Write a sales email to an existing customer offering related products they might be interested in based on previous purchases. Highlight why these products complement their purchase.
Andika imeri umwarimu wawe agusaba kongererwa umukoro. Sobanura uko umeze kandi utange igihe ntarengwa mugihe ushobora kurangiza akazi.,Write an email to your professor requesting an extension for an assignment. Explain your situation and provide a reasonable timeline for when you can complete the work.
"Kora imeri kubanyeshuri mwigana bahuza umushinga witsinda. Shinga imirimo, shiraho igihe ntarengwa, kandi utange igihe cyo guterana kugirango muganire ku iterambere.","Compose an email to your classmates coordinating a group project. Assign tasks, set deadlines, and suggest a meeting time to discuss progress."
Andika imeri umwarimu ubaza amahirwe yubushakashatsi. Shyira ahagaragara inyungu zawe kandi usobanure impamvu wifuza gukorana nabo.,Write an email to a professor inquiring about potential research opportunities. Highlight your interests and explain why you’d like to work with them.
Andika imeri umwarimu wawe agusaba imbabazi kuberako wabuze ishuri kubera ibihe bitunguranye. Baza niba hari ibikoresho ukeneye gufata.,Write an email to your professor apologizing for missing a class due to unforeseen circumstances. Ask if there is any material you need to catch up on.
Andika imeri uwahoze ari umwarimu cyangwa umujyanama usaba inama zumwuga. Sobanura muri make uko ibintu bimeze ubu hanyuma usabe ubuyobozi kuburyo bwo gutera imbere.,Compose an email to a former professor or mentor asking for career advice. Briefly explain your current situation and ask for guidance on how to move forward.
"Bamwe bemeza ko kwiga kumurongo bigira akamaro kuruta imyigire gakondo, abandi bakavuga ko kwiga mwishuri bikiri ngombwa. Muganire kubitekerezo byombi kandi mutange igitekerezo cyawe.","Some believe online learning is more effective than traditional learning, while others argue classroom learning is still crucial. Discuss both views and give your opinion."
"Abantu bamwe bemeza ko ibibazo by’ibidukikije bigomba gukemurwa ku isi hose, mu gihe abandi batekereza ko bigomba gukemurwa mu karere. Muganire kubitekerezo byombi kandi mutange igitekerezo cyawe.","Some people believe environmental problems should be solved globally, while others think they should be tackled locally. Discuss both views and give your opinion."
Bamwe bemeza ko kugera ku buringanire bw&#39;akazi n&#39;ubuzima bigoye muri iki gihe kuruta uko byahoze. Ni kangahe wemera cyangwa utemeranya naya magambo?,Some believe achieving work-life balance is more difficult today than in the past. To what extent do you agree or disagree with this statement?
"Mu bihugu byinshi, impuzandengo y’abantu iriyongera, mu gihe ubuzima n’ubuzima bwiza bigenda bigabanuka. Ni izihe mpamvu n&#39;ibisubizo bishoboka kuri iki kibazo?","In many countries, the average weight of people is increasing, while health and fitness levels are decreasing. What are the causes and possible solutions to this problem?"
"Bamwe bavuga ko kwipimisha inyamaswa kubushakashatsi bwubuvuzi ari ngombwa, abandi bakemeza ko bigomba guhagarikwa. Muganire kubitekerezo byombi kandi mutange igitekerezo cyawe.","Some argue that animal testing for medical research is necessary, while others believe it should be banned. Discuss both views and give your opinion."
"Mu bihugu byinshi, urubyiruko rugora gushaka akazi. Ni izihe mpamvu zitera iki kibazo, kandi ni ibihe bisubizo ushobora gutanga?","In many countries, young people struggle to find employment. What are the causes of this issue, and what solutions can you suggest?"
"Umubyibuho ukabije urimo kuba ikibazo gikomeye mu bihugu byinshi. Ni izihe mpamvu zitera iki kibazo, kandi ni izihe ngamba zafatwa kugira ngo iki kibazo gikemuke?","Obesity is becoming a serious problem in many countries. What are the causes of this issue, and what measures could be taken to address it?"
"Mu mijyi minini minini, ihumana ry’ikirere n’amazi ni ikibazo gikomeye. Ni izihe mpamvu zitera ibyo bibazo, kandi ni izihe ngamba zafatwa kugira ngo ibintu bishoboke?","In many large cities, air and water pollution is a significant issue. What are the causes of these problems, and what measures can be taken to improve the situation?"
"Abantu benshi bakuze baracyafite ubumenyi bwibanze bwa digitale kwisi ya none. Ni izihe mpamvu zibitera, kandi niki cyakorwa kugirango tunoze gusoma no kwandika?","Many adults still do not have basic digital skills in today's world. What are the reasons behind this, and what can be done to improve digital literacy?"
"Mu mijyi myinshi, kutagira aho kuba bigenda byiyongera. Ni izihe mpamvu zitera kwiyongera, kandi niki cyakorwa kugirango ikibazo kigabanuke?","In many urban areas, homelessness is on the rise. What are the reasons for this increase, and what can be done to reduce the problem?"
"Imihindagurikire y’ibihe igira ingaruka zikomeye kuri iyi si. Utekereza ko ari izihe mpamvu nyamukuru zitera imihindagurikire y’ikirere, kandi ni izihe ngaruka zishobora kugira ku bidukikije?","Climate change is having a significant impact on our planet. What do you think are the main causes of climate change, and what are its potential effects on the environment?"
"Kugura kumurongo byamenyekanye cyane mumyaka yashize. Ni izihe mpamvu zitera iyi nzira, kandi ni izihe ngaruka zigira ku bucuruzi bwaho?","Online shopping has become increasingly popular in recent years. What are the reasons for this trend, and what impact does it have on local businesses?"
"Mu bice byinshi byisi, umubare wabantu basoma ibitabo wagabanutse cyane. Ni izihe mpamvu zitera iri gabanuka, kandi ni izihe ngaruka kuri sosiyete?","In many parts of the world, the number of people reading books has decreased significantly. What are the reasons for this decline, and what are the consequences for society?"
"Umubare munini wabaturage urimo kuba impungenge zikomeye mumijyi myinshi. Ni izihe mpamvu zitera abantu benshi, kandi ni izihe ngaruka ku buzima bwo mu mijyi?","Overpopulation is becoming a serious concern in many cities. What are the causes of overpopulation, and what are the effects on urban life?"
"Kuba isi yarazanye inyungu nyinshi, ariko kandi bigira ingaruka mbi mubice bimwe na bimwe bya societe. Ni izihe mpamvu zitera isi yose, kandi byagize izihe ngaruka ku isi?","Globalization has brought many benefits, but also negative impacts on certain aspects of society. What are the causes of globalization, and how has it affected the world?"
"Mu myaka yashize, imirimo ya kure imaze kuba rusange. Muganire ku byiza n&#39;ibibi by&#39;akazi ka kure.","In recent years, remote work has become more common. Discuss the advantages and disadvantages of remote work."
Abantu benshi bimuka bava mucyaro bajya mumijyi. Muganire ku byiza n&#39;ibibi by&#39;iyi nzira.,More people are moving from rural areas to cities. Discuss the advantages and disadvantages of this trend.
Iterambere ry&#39;ikoranabuhanga ryahinduye uburyo abantu bavugana. Ni izihe nyungu n&#39;ibibi by&#39;iri terambere?,Technological advancements have changed how people communicate. What are the advantages and disadvantages of this development?
Imijyi myinshi ishora imari muri gahunda yo gutwara abantu kugirango igabanye ubwinshi bwimodoka. Muganire ku byiza n&#39;ibibi by&#39;ishoramari.,Many cities are investing in public transportation systems to reduce traffic congestion. Discuss the advantages and disadvantages of this investment.
Kuboneka kwingendo mpuzamahanga byiyongereye cyane. Muganire ku byiza n&#39;ibibi kuri ba mukerarugendo n&#39;ibihugu byakira.,The availability of international travel has increased significantly. Discuss the advantages and disadvantages for tourists and host countries.
"Mu bihugu bimwe, inshingano z’uburinganire zirahinduka, mu gihe mu bindi bihugu, inshingano gakondo ziracyakomeza. Uremera uruhare rw&#39;uburinganire ruhinduka? Ni izihe ngaruka ibi bigira kuri societe?","In some countries, gender roles are changing, while in others, traditional roles persist. Do you agree gender roles are changing? What impact is this having on society?"
"Bamwe bemeza ko ababyeyi bagomba kuba bashinzwe kurera abana, abandi bakibwira ko leta igomba kubigiramo uruhare. Muganire kubitekerezo byombi kandi mutange igitekerezo cyawe.","Some believe parents should be solely responsible for raising children, while others think the government should play a role. Discuss both views and give your opinion."
"Bamwe bemeza ko imbuga nkoranyambaga zigira ingaruka nziza muri sosiyete, abandi bakibwira ko zigira ingaruka mbi. Muganire kubitekerezo byombi kandi mutange igitekerezo cyawe.","Some believe social media has a positive influence on society, while others think it has a negative impact. Discuss both views and give your opinion."
Kuba isi ihinduka biganisha ku gutakaza indangamuntu. Ni kangahe wemera cyangwa utemeranya? Ni izihe ngamba zishobora gufatwa mu kubungabunga imico yaho?,Globalization is leading to the loss of cultural identity. To what extent do you agree or disagree? What measures can be taken to preserve local cultures?
"Bamwe bemeza ko ubuhanzi ari igice cyingenzi muri societe, abandi bakibwira ko ari ibintu byiza. Muganire kubitekerezo byombi kandi mutange igitekerezo cyawe.","Some believe art is an essential part of society, while others think it is a luxury. Discuss both views and give your opinion."
Sobanura gahunda ya futuristic mugitondo aho ibintu byose byikora kandi bigashyirwa mubikorwa byinshi. Ni ibihe bibazo bitunguranye bivuka?,Describe a futuristic morning routine where everything is automated and optimized for maximum productivity. What unexpected challenges arise?
Tekereza ufite imbaraga zidasanzwe zigufasha guhagarika umwanya muminota 10 buri saha. Nigute wabishyira mubikorwa byawe bya buri munsi?,Imagine you have a superpower that allows you to pause time for 10 minutes every hour. How do you incorporate this into your daily routine?
Andika umunsi umwe mubuzima bwumuntu uteguwe cyane utegura buri munota wumunsi wabo. Bigenda bite iyo ibintu bitangiye kugenda kuri gahunda?,Write about a day in the life of a hyper-organized person who plans every minute of their day. What happens when things start to go off-schedule?
"Shiraho uburyo bushya kandi budasanzwe bwo gukora urutonde ruhindura imirimo ya buri munsi mumikino. Ni ayahe mategeko, kandi ni gute agutera imbaraga?","Invent a creative and unusual to-do list format that turns daily chores into a game. What are the rules, and how do they motivate you?"
Kora inkuru yumuntu ugerageza guca ingeso mbi ya mundane (nko gutebya cyangwa guswera cyane) ukoresheje uburyo budasanzwe cyangwa ubumaji.,Create a story about someone trying to break a mundane bad habit (like procrastination or excessive snacking) using unconventional or magical methods.
"Tekereza ibiro aho buri mukozi agereranya amarangamutima atandukanye (urugero, umunezero, umujinya, ishyari). Nigute bayobora imirimo ninama za buri munsi?","Imagine an office where every employee represents a different emotion (e.g., joy, anger, envy). How do they navigate daily tasks and meetings?"
"Sobanura ibikorwa bya kure byakazi, ariko aho gukorera murugo, imiterere ikorera ahantu hatandukanye (nkibirwa bireremba cyangwa amashyamba yarogejwe).","Describe a remote work routine, but instead of working from home, the character is working from different fantastical locations (like floating islands or enchanted forests)."
Andika kubyerekeye umufasha wumuntu wa AI utangira gusobanura imirimo guhanga kandi ugafata ibikorwa bifasha kandi bikabije bitateganijwe.,Write about an AI personal assistant that starts to interpret tasks creatively and takes actions that are both helpful and wildly unpredictable.
"Mu biro byubumaji, abakozi bakoresha amavuta kugirango bongere umusaruro kubikorwa bitandukanye. Bigenda bite iyo umuntu afashe ibinyobwa bitari byiza kubikorwa bitari byiza?","In a magical office, employees use potions to boost their productivity for different tasks. What happens when someone takes the wrong potion for the wrong task?"
"Porogaramu nshya ivuga ko yigana &#39;umunsi mwiza w&#39;akazi&#39; ukurikije ingeso z&#39;umuntu ku giti cye. Andika umuntu ubigerageza, gusa ugasanga birakomeye cyane kuruta uko babitekerezaga.","A new app claims to simulate the ‘perfect workday’ based on an individual’s habits and preferences. Write about someone who tries it, only to discover it's far more intense than they expected."
Tekereza kuba mu nzu ishobora kwisukura ariko igateza imbere &#39;ibitekerezo&#39; byayo ku isuku igomba kumera. Ni ibihe bibazo bivuka?,Imagine living in a house that can clean itself but develops its own 'opinions' on what cleanliness should look like. What problems arise?
"Sobanura sisitemu yo murugo aho buri murimo wo murugo uhinduka umukino-muto, wuzuye nurwego, ibihembo, nibibazo bitunguranye.","Describe a chore system where every household task is turned into a mini-game, complete with levels, rewards, and unexpected challenges."
"Shiraho gahunda yo gukora isuku ya buri munsi kwisi aho burimunsi izana inzitizi zitandukanye zubumaji, nkumukungugu ushimishije cyangwa ibikoresho byogusukura nabi.","Invent a daily cleaning routine in a world where every day brings a different magical obstacle, like enchanted dust or mischievous cleaning tools."
"Igihe cyose ukoze imyenda, isogisi irabura, ariko aho kuzimira, igenda mugihe. Andika ibyavumbuwe ibi biganisha kuri.","Every time you do the laundry, a sock goes missing, but instead of disappearing, it travels through time. Write about the discoveries this leads to."
"Imyitozo ya fitness yawe itangira kuguha inama yihariye, hafi yimitekerereze. Nigute ihindura gahunda zawe, kandi niyihe gahunda yihishe?","Your fitness tracker starts giving you personalized, almost psychic advice. How does it transform your routine, and what’s its hidden agenda?"
"Tekereza ko igihe cyose ukoze, ujyanwa mubindi bintu aho imbaraga zawe z&#39;umubiri zigira ingaruka ku isi igukikije. Sobanura icyiciro kimwe cy&#39;imyitozo.","Imagine that every time you work out, you are transported to an alternate reality where your physical strength affects the world around you. Describe one workout session."
Kora inkuru aho gutegura ifunguro rya buri munsi bihinduka ibyokurya-buri kintu cyose kiva mubutaka butangaje kandi gisaba gutunganywa bidasanzwe.,Create a story where daily meal prepping turns into a culinary adventure—each ingredient comes from a magical land and requires special handling.
"Tekereza icyiciro cya yoga kibera muri studio ishimishije aho imbaraga za rukuruzi zihindagurika, igihe kigabanuka, hamwe na posisiyo bigira ingaruka zubumaji.","Imagine a yoga class that takes place in an enchanted studio where gravity shifts, time bends, and poses take on magical effects."
"Sobanura ingendo za buri munsi mumujyi wigitangaza wuzuye ibiremwa byubumaji, aho ubwikorezi rusange burimo amagare ashimishije, ibiremwa biguruka, cyangwa portal.","Describe a daily commute in a fantasy city filled with magical creatures, where public transportation includes enchanted carriages, flying creatures, or portals."
"Mu mujyi wa futuristic, sisitemu ya metero ihora ihinduka. Andika ibijyanye ningendo zumuntu unyuze muri sisitemu itateganijwe.","In a futuristic city, the subway system is an ever-changing maze. Write about someone's routine commute through this unpredictable system."
"Igihe cyose ufashe bisi kukazi, uhura nuburyo butandukanye bwurugendo rumwe muburyo bubangikanye. Ni ubuhe buryo cyangwa impinduka utangiye kubona?","Every time you take the bus to work, you experience a different version of the same commute in a parallel universe. What patterns or changes do you begin to notice?"
Andika kubyerekeye ibiganiro bidasanzwe ariko bigufi bibera munzira nyabagendwa hagati yabagenzi baturuka mubyiciro bitandukanye.,Write about the unusual but brief conversations that take place on public transit between passengers who come from very different walks of life.
