prompt,prompt_en
Tsɔɔmɔ gbi ko yɛ Shikpɔŋ nɔ ni hewalɛ ni tsiɔ nii kɛbaa shikpɔŋ lɛ nɔ lɛ kuɔ esɛɛ trukaa ŋmɛlɛtswai fioo komɛi. Te gbɔmɛi kɛ kooloi feɔ amɛnii amɛhaa tɛŋŋ?,Describe a day on Earth where gravity suddenly reverses for a few hours. How do people and animals react?
"Ŋmaa email ni okɛnyiɛ nitsumɔ he sanebimɔ ko ni ofee otsii enyɔ ni eho nɛ lɛ sɛɛ. Tsɔɔmɔ miishɛɛ ni oyɔɔ yɛ nitsumɔ lɛ he lɛ, shidaa aha mɔ ni biɔ bo saji lɛ yɛ amɛbe lɛ hewɔ, ni obi ni aha bo saji heei.","Write an email to follow up on a job interview you had two weeks ago. Express your continued interest in the position, thank the interviewer for their time, and ask for updates."
Ŋmaa email kɛya nitsumɔhe ko nitsumɔhe ni kwɛɔ mɛi ni heɔ nii lɛ anɔ lɛ koni okɛtsu niiashikpamɔ gbonyo ko ni oná yɛ amɛ nitsumɔ lɛ he lɛ he nii. Tsɔɔmɔ naagba lɛ mli ni otsɔɔ bɔ ni obaasumɔ ni atsu he nii aha.,Write an email to a company’s customer service department to address a poor experience you had with their service. Explain the problem and suggest how you would like it resolved.
Ŋmaa email ni oda oweku lɛ mlinyo loo onaanyo ko shi yɛ nikeenii ko ni amɛkɛha bo lɛ hewɔ. Tsɔɔmɔ nɔ hewɔ ni ohiɛ sɔɔ nikeenii lɛ kɛ bɔ ni oto gbɛjianɔ akɛ okɛbaatsu nii lɛ mli tɛ̃ɛ.,Write an email thanking a family member or friend for a gift they gave you. Be specific about why you appreciate the gift and how you plan to use it.
"Ŋmaa e-mail kɛya univɛsiti ko nitsumɔhe nine ni kwɛɔ mɛi anɔ lɛ ni obi saji ni kɔɔ gbɛjianɔtoo pɔtɛɛ ko he. Bi gbɛ ni atsɔɔ nɔ abiɔ nitsumɔ, bei ni ato, kɛ ekrokomɛi.","Write an email to the admissions office of a university requesting information about a specific program. Ask about the application process, deadlines, etc."
"Ŋmaa email kɛha maŋ onukpa ko ni wieɔ maŋ sane ko ni haoɔ bo lɛ he. Tsɔɔmɔ nɔ ni haoɔ bo, kɛ anɔkwalei ni fiɔ sɛɛ lɛ aha, ni otsɔɔ tsabaai ni abaanyɛ atsu he nii.","Write a formal email to a government official addressing a local issue that concerns you. State your concerns, provide supporting facts, and suggest possible solutions."
Ŋmaa email ni mli ejɔ kɛyaha mɔ ko ni baanyɛ abahe nii lɛ ni ojie onitsumɔhe lɛ kpo ni okɛ onitsumɔi lɛ aha. Maa ohewalɛ titrii lɛ anɔ mi ni otsɔɔ bɔ ni obaanyɛ oye obua amɛ nitsumɔ lɛ mli.,Write a cold email to a potential client introducing your company and offering your services. Highlight your key strengths and explain how you can help their business.
Ŋmaa jarayeli email kɛha jarayelɔ ko ni yɔɔ momo ni kɛ nibii ni kɔɔ he ni amɛbaanyɛ amɛsumɔ lɛ haa yɛ nibii ni amɛhe tsutsu lɛ ahe. Tsɔɔmɔ nɔ hewɔ ni nɛkɛ nibii nɛɛ yeɔ ebuaa amɛ nihɔɔmɔ lɛ nɔ mi.,Write a sales email to an existing customer offering related products they might be interested in based on previous purchases. Highlight why these products complement their purchase.
Ŋmaa email kɛyaha tsɔɔlɔ ko ni biɔ niiamlitaomɔ hegbɛi ni baanyɛ aba lɛ he sane. Maa nibii ni osumɔɔ lɛ anɔ mi ni otsɔɔ nɔ hewɔ ni obaasumɔ ni okɛ amɛ atsu nii lɛ mli.,Write an email to a professor inquiring about potential research opportunities. Highlight your interests and explain why you’d like to work with them.
Ŋmaa email kɛyaha otsɔɔlɔ lɛ ni okpa lɛ fai akɛ obɛ klas yɛ shihilɛi ni anyɛɛɛ akɛɛ nɔ ko hewɔ. Bi kɛji saji komɛi yɛ ni esa akɛ oshɛ he.,Write an email to your professor apologizing for missing a class due to unforeseen circumstances. Ask if there is any material you need to catch up on.
