id,prompt,source,task,language
900,Ìjọba ìbílẹ̀ mélòó ni ó wà ní ìpínlẹ̀ Gombe?,aya,monolingual,yoruba
901,"Awọn agbebọn pa ẹṣọ Emir ipinlẹ Zamfara meji, ọlọpaa mẹta ati awakọ rẹ",aya,monolingual,yoruba
902,Baba to fipa ba ọmọ ọdun mejila lo pọ l’Ejigbo ni pasitọ ṣọọṣi awọn lo sa soun,aya,monolingual,yoruba
903,Olori awọn aṣofin Eko gbaṣẹ lọwọ awọn amugbalẹgbẹẹ rẹ mẹrin,aya,monolingual,yoruba
904,"Nitori iwa ọdaran, ijọba ipinlẹ Ogun fofin de awọn ti wọn n fi ọmọlanke ko idọti",aya,monolingual,yoruba
905,Gb dúró fún ,aya,monolingual,yoruba
906,Nigba ti wọn fi ọmọ Naijiria akọkọ jẹ olori awọn ṣọja,aya,monolingual,yoruba
907,AJÁ ỌDẸ ,aya,monolingual,yoruba
908,Ẹ wo awọn wolii Naijiria ti wọn ti sọ asọtẹlẹ pe Trump ni yoo wọle l’Amẹrika lẹẹkeji,aya,monolingual,yoruba
909,Chris Okolie,aya,monolingual,yoruba
910,Eré Ìdárayá ,aya,monolingual,yoruba
911,Wahala nla ni didoju ija kọ ọlọpaa ati didana sun agọ wọn yoo mu ba wa lorileede yii- Oluwoo,aya,monolingual,yoruba
912,Ijọba ti ko awọn akẹkọọ ileewe girama to n fa oogun oloro lọ sibudo awọn ọmọ alaigbọran,aya,monolingual,yoruba
913,"Fulani loun ko jẹbi ẹsun ole, tori ayederu ibọn loun fi n dana ni Ṣaki",aya,monolingual,yoruba
914,Ọbasanjọ ti sọ iye ọdun to wu u lati lo laye o,aya,monolingual,yoruba
915,Ijọba Buhari fẹẹ sọ ifẹyinti awọn olukọ di ogoji ọdun lẹnu iṣẹ,aya,monolingual,yoruba
916,Aadọta miliọnu lawọn agbebọn to ji akẹkọọ Fasiti OSU meji n beere,aya,monolingual,yoruba
917,Ọwọ tẹ ọmọde Fulani pẹlu ibọn n”Iwoye-Ketu,aya,monolingual,yoruba
918,"Kọmiṣanna ọlọpaa Eko ka awọn eeyan kan mọ ile-ijo loru, lo ba ko gbogbo wọn",aya,monolingual,yoruba
919,"Ko sohun to le yẹ ẹ, iwọde ‘June 12’ yoo waye-Ẹgbẹ Akẹkọọ",aya,monolingual,yoruba
920,Sifu Difẹnsi ipinlẹ Ogun ṣi ẹka imọ ẹrọ ti yoo maa mojuto iwa ọdaran lori ayelujara,aya,monolingual,yoruba
921,Wọn ti dana sun teṣan awọn ọlọpaa l’Ojodu o,aya,monolingual,yoruba
922,A ṣì ń retí èsì àyẹ̀wò òkú Mohbad - Iléeṣẹ́ Ọlọ́pàá,aya,monolingual,yoruba
923,Ọdúnladé Adékọ́lá,aya,monolingual,yoruba
924,Awọn agbebọn ji ọmọ Fulani gbe l’Ọṣun,aya,monolingual,yoruba
925,Ìbúgbàmù àdó olóró ṣekúpa èèyàn àádọ́ta níbi ayẹyẹ àjọ̀dún ọjọ́ ìbí ànọ́bì,aya,monolingual,yoruba
926,Françoise Ellong,aya,monolingual,yoruba
927,Àjẹsára ibà pọ́njú-pọ́ntọ̀,aya,monolingual,yoruba
928,Olujarẹ tilu Ijarẹ ti waja o,aya,monolingual,yoruba
929,Ki ẹnikẹni ma ṣe forukọ Sunday Igboho tọrọ owo lori aisan to n ṣe e o-Agbẹjọro,aya,monolingual,yoruba
930,Sanwo-Olu ni kawọn akẹkọọ alakọọbẹrẹ ati girama kan ma wọle mọ loṣu yii,aya,monolingual,yoruba
931,Robert Peters,aya,monolingual,yoruba
932,"Tirela to kun fun fulawa lawọn eleyii digun gba ni Ṣagamu, Eko lọwọ ti tẹ wọn",aya,monolingual,yoruba
933,"Lẹyin ọdun mẹtalelogun to ti n jokoo, Yinka Ayefẹlẹ ti le dide kọrin bayii",aya,monolingual,yoruba
934,"Ṣe àkópọ̀ àwọn ọ̀rọ̀ wọ̀nyí:
Nnamdi Kanu: Ilé-ẹjọ́ wọ́gilé béèlì Nnamdi Kanu. Kò pẹ́ púpọ̀ lẹ́yìn tí wọ́n gba onídùúró rẹ̀ tí Nnamdi Kanu sá kúrò ní orílẹ̀èdè Nàìjíríà

Ilé-ẹjọ́ gíga àpapọ̀ kan ní ìlú Abuja fagilé onídùúró rẹ̀ ní Ọjọ́bọ̀ lẹ́yìn èyí tó ní kí wọ́n lọ gbe padà sí àhámọ́ ọlọ́pàá.

Adájọ́ tó gbọ́ ẹjọ́ náà, Onídàájọ́ Binta Nyako ní èrèìdí àṣẹ yìí kò ṣẹ̀yìn bí Nnamdi Kanu ti ṣe ti kùnà láti fara hàn níwájú ilé-ẹjọ́ náà láti ìgbà tí wọ́n ti gba onídùúró rẹ̀ ní oṣù Igbe, ọdún 2017.

Ilé-ẹjọ́ náà pàṣẹ pé ìgbẹ́jọ́ náà gbọdọ̀ tẹ̀síwájú, pẹ̀lú àṣẹ pé kí àwọn agbẹjọ́rò  tó wà nídìí ẹjọ́ náà ó mú ọjọ́ ìgbẹ́jọ́ tuntun kí ìgbẹ́jọ́ leè tẹ̀síwájú, láì náání bóyá Kanu yọjú tàbí kò yọjú.

Ó wá sún ìgbẹ́jọ́ ọ̀hún sí ọjọ́ kejìdínlógún, oṣu Ògún.",aya,monolingual,yoruba
935,"O ma ṣe o! Akẹkọọ Fasiti LAUTECH ja sinu sọkawee, lo ba ku patapata",aya,monolingual,yoruba
936,Timo Werner,aya,monolingual,yoruba
937,"Awọn alaṣẹwo Eko naa n binu si SARS, wọn ni wọn n baṣẹ awọn jẹ",aya,monolingual,yoruba
938,Awọn ajinigbe ti tu awọn mẹta ti wọn ji gbe niluu Oṣu silẹ,aya,monolingual,yoruba
939,"Trump ti kede ara ẹ l’Amẹrika, o ni oun loun jawe olubori",aya,monolingual,yoruba
940,Àwùjọ,aya,monolingual,yoruba
941,"Ọlọpaa ti mu awọn Fulani to pa Alaaja Sherifat, ọga ileepo l’Ayetẹ",aya,monolingual,yoruba
942,Nibi ti Sunday atawọn ọrẹ ẹ ti n sa lọ lẹyin ti wọn jale tan ni ọkada wọn ti takiti,aya,monolingual,yoruba
943,Lori ẹsun ifipabanilopọ: ijọba Eko n ṣeto ẹwọn gbere fun Baba Ijẹṣa,aya,monolingual,yoruba
944,Epo lawọn eleyii n ji ta kọwo Sifu Difẹnsi too tẹ wọn l’Ekoo,aya,monolingual,yoruba
945,Ọmọ ọdún mẹ́rìnlà yìnbọn pa èèyàn mẹ́ta àti ọlọ́pàá nílé ìtajà,aya,monolingual,yoruba
946,Fọláṣọdún Adébísí Shónúbi,aya,monolingual,yoruba
947,Gomina Akeredolu ati Arẹgbẹṣọla pari ija ọlọjọ pipẹ to wa laarin wọn,aya,monolingual,yoruba
948,Ọwọ ti tẹ ẹni kan lori ọrọ awọn Fulani mẹfa tawọn agbebọn pa ni Waasinmi,aya,monolingual,yoruba
949,Richard Ofori (goalkeeper),aya,monolingual,yoruba
950,"Nitori jibiti miliọnu rẹpẹtẹ ti wọn lu, ogoji ọdun ni tọkọ-tiyawo yii yoo lo lewọn",aya,monolingual,yoruba
951,Akeredolu tun fẹyin Ajayi janlẹ nijọba ibilẹ to ti wa,aya,monolingual,yoruba
952,"Ọmọbinrin yii pokunso, nitori ti wọn lo ji pata",aya,monolingual,yoruba
953,"Awọn alaṣẹwo Eko naa n binu si SARS, wọn ni wọn n baṣẹ awọn jẹ",aya,monolingual,yoruba
954,"Fulani yinbọn pa ẹṣọ Amọtẹkun meji niluu Ọwọ, wọn tun gbe ọkan ninu wọn sa lọ",aya,monolingual,yoruba
955,Elechi Amadi,aya,monolingual,yoruba
956,"Ijọba ti ni kawọn ileejọsin, otẹẹli,  ileewe atawọn mi-in maa ṣilẹkun l’Ogun",aya,monolingual,yoruba
