id,prompt,source,task,language
100,mwambi: kunena kwa ndithe-ndithe namnthabwe anadzitengera,aya,monolingual,chichewa
101,Mwambi: Umanena chatsitsa dzaye poti njobvu ithyoke mnyanga,aya,monolingual,chichewa
102,Kodi mumatani kuti uchi usawonongeke?,aya,monolingual,chichewa
103,Kodi pali mitengo ingati pa dziko lonse lapansi?,aya,monolingual,chichewa
104,mwambi: mbuto ya kalulu inakula ntadzaonani,aya,monolingual,chichewa
105,Kodi therere limakhala ndi zotsatira zotani?,aya,monolingual,chichewa
106,Kodi nkhumba imadya chiyani?,aya,monolingual,chichewa
107,Kukongola ndi zowawa zomwe anthu anakulira ku Nkhata Bay amakumana nazo,aya,monolingual,chichewa
108,"Mmene Mungapangire Thobwa: Maphikidwe a Malawi
Maphikidwe Abwino Aku Malawi",aya,monolingual,chichewa
109,Miyambi: ndikhonze ndikhonze alnyla malilo a eni,aya,monolingual,chichewa
110,mbiri ya malalanje ndi komwe mbewu yake inachokera pa dziko lonse,aya,monolingual,chichewa
111,Kodi ndi maboma ati omwe ali mumphepete mwa Nyanja ya Malawi ?,aya,monolingual,chichewa
112,Munganene bwanji kununkhiza kwachipatala polemba?,aya,monolingual,chichewa
113,Kodi Malawi ndi dziko laulimi?,aya,monolingual,chichewa
114,Chiyankhulo chanji Chewa ku Malawi?,aya,monolingual,chichewa
115,Chosiyana ndi utsogoleri wa chikhalidwe ndi chiyani?,aya,monolingual,chichewa
116,Kodi mu nyanja ya Malawi muli mitundu youchuluka bwanji ya nsomba?,aya,monolingual,chichewa
117,Kodi nkhalango zitatu zazikulu mu Africa ndi ziti?,aya,monolingual,chichewa
118,nsima ku dziko la Malawi,aya,monolingual,chichewa
119,Chakumwa chakuno ku Malawi ndi chani?,aya,monolingual,chichewa
120,Chifukwa chiyani kalulu ndi wapadera?,aya,monolingual,chichewa
121,Mntundu wa Tumbuka omwe umapezeka ku mpoto kwa dziko la Malawi,aya,monolingual,chichewa
122,Ndi mbeu yaphindu iti m'Malawi muno?,aya,monolingual,chichewa
123,Ndi mbewu iti yomwe ikukula kwambiri ku Malawi?,aya,monolingual,chichewa
124,ndi boma lanji ku Malawi lomwe limadziwika ndi mpunga otchuka kwambiri?,aya,monolingual,chichewa
125,Kodi ku Malawi kuli Shoprite angati?,aya,monolingual,chichewa
126,Kodi chilumba chachikulu kwambiri ku Africa ndi chiyani?,aya,monolingual,chichewa
127,Kodi kalibu ku Malawi kuno amathandauza chani?,aya,monolingual,chichewa
128,Kodi Asilamu angadye nswala?,aya,monolingual,chichewa
129,kaphikidwe ka chinangwa,aya,monolingual,chichewa
130,Kodi tsitsi la mphaka ndi loopsa kwa anthu?,aya,monolingual,chichewa
131,Mbiri ya ulimi ku Malawi,aya,monolingual,chichewa
132,Kodi therere mumagwiritsa ntchito bwanji ngati mankhwala?,aya,monolingual,chichewa
133,Ndi nthochi zingati zomwe muyenera kudya patsiku?,aya,monolingual,chichewa
134,Kodi Malawi ndi opembedza bwanji?,aya,monolingual,chichewa
135,Dzina la Malawi lidapeza liti?,aya,monolingual,chichewa
136,Zosangalatsa zotani ku Malawi?,aya,monolingual,chichewa
137,msomba ingakhonzedwe bwanji pokhonzekera kuphika,aya,monolingual,chichewa
138,mwambi onenadwa pa mirandu: Bvundula madzi,aya,monolingual,chichewa
139,Ndi zipatso ziti zomwe zimaletsa malungo?,aya,monolingual,chichewa
140,Kodi malo a Cham ku Malawi ndi chiyani?,aya,monolingual,chichewa
141,Kodi mbewu yaikulu ya ndalama ku Malawi ndi iti?,aya,monolingual,chichewa
142,Kodi ufa ndi chiyani komanso cholinga chake?,aya,monolingual,chichewa
143,Kodi ndingadye masamba a fodya?,aya,monolingual,chichewa
144,Tingapewe bwanji malungo ku Malawi?,aya,monolingual,chichewa
145,Kodi mitengo yachuluka?,aya,monolingual,chichewa
146,"chikome chikome cha mkuyu, mkati muli nyerere",aya,monolingual,chichewa
147,Ndi zipembedzo ziti zomwe zimaletsa kusuta?,aya,monolingual,chichewa
148,Kodi dziko laMalawi lakhala ndi ma puluzidenti angati chilandireni ufulu odzilamulira okha?,aya,monolingual,chichewa
149,N’chifukwa chiyani nyama ya nkhumba inaletsedwa m’Baibulo?,aya,monolingual,chichewa
150,Miyambi: Ali dele nkulinga utayenda naye,aya,monolingual,chichewa
151,Kodi ndibwino kukhala ndi kasupe wamadzi kunyumba?,aya,monolingual,chichewa
152,Kodi usiku umakhala nthawi yayitali bwanji?,aya,monolingual,chichewa
153,Ndi dera liti lomwe ndi lalikulu ku Malawi?,aya,monolingual,chichewa
154,Kodi ndingayambe bwanji bizinesi ya mtedza?,aya,monolingual,chichewa
155,Kodi mbewu za therere zimapitiriza kubereka?,aya,monolingual,chichewa
156,mbewu zazikulu za chuma cha dziko Malawi ndi mbewu zanji?,aya,monolingual,chichewa
157,Kodi fodya wamkulu kwambiri ali kuti?,aya,monolingual,chichewa
158,Nkhosa yotayika ndi ndalama yotayika,aya,monolingual,chichewa
159,Kodi malungo amatha nthawi yayitali bwanji?,aya,monolingual,chichewa
160,Feteleza Wabwino Kwambiri Kulima Chimanga,aya,monolingual,chichewa
161,Nchiyani chimapangitsa njoka kukhala nyama?,aya,monolingual,chichewa
162,Kodi mungapite kukawedza ku Lake Malawi?,aya,monolingual,chichewa
163,gado ndi chani?,aya,monolingual,chichewa
164,Chifukwa chiyani utsogoleri wachikhalidwe sukugwira ntchito?,aya,monolingual,chichewa
165,Lilongwe zikutanthauza chani?,aya,monolingual,chichewa
166,Kodi akasupe amadzi ndi abwino?,aya,monolingual,chichewa
167,Kodi akasupe amafunikira madzi?,aya,monolingual,chichewa
168,Kodi yunivesite yayikulu kwambiri ku Malawi ndi iti?,aya,monolingual,chichewa
169,Nyimbo zachikhalidwe zachi Malawi ndi zovina,aya,monolingual,chichewa
170,Ubwino wodya nthochi ndi chiyani?,aya,monolingual,chichewa
171,Ndi mavuto ati pa ulimi wa mpunga ku Malawi?,aya,monolingual,chichewa
172,Kodi nsomba ndi nyama m'Baibulo?,aya,monolingual,chichewa
173,Kodi moyo wa Yawo ndi wotani?,aya,monolingual,chichewa
174,Chifukwa chiyani yama ya ng'ombe imatchedwa nyama ng'ombe?,aya,monolingual,chichewa
175,Kodi nyanja yokongola kwambiri ku Malawi ndi iti?,aya,monolingual,chichewa
