prompt,prompt_en
"Limbola système ya misala ya ndako esika mosala nyonso ya ndako ebongwanaka na lisano moke, ekokisami na nivo, mbano, mpe mikakatano oyo ekanisamaki te.","Describe a chore system where every household task is turned into a mini-game, complete with levels, rewards, and unexpected challenges."
Kanisá ete biloko oyo ezalisamá ezali koyemba nzembo ya kolala na mabele liboso butu ekɔta. Maloba nini mpe bililingi nini elingaki kosalela?,Imagine nature singing a lullaby to the earth before the night falls. What words and imagery would it use?
"Etuluku moko ya bato oyo bazali kolukaluka biloko basali mayele ya kopumbwa kati na bonene, kasi bonene mokomoko ezali na likama mingi koleka oyo ya nsuka na ndenge ya mayele mabe. Nini esalaka ete bákende liboso?","A group of explorers has developed technology to jump between dimensions, but each dimension is subtly more dangerous than the last. What keeps them going?"
"Komá na ntina na kosala misala na zando epai batekisi batɛkaka biloko ya mokili mpe ya maji, mpe kosala mombongo esɛngaka kaka mbongo te kasi mayele mabe to masese.","Write about running errands in a marketplace where vendors sell both mundane and magical items, and haggling requires not just money but clever tricks or riddles."
Kokoma masolo kati na moto ya bomoi mpe molimo oyo apesi toli ya bomoi oyo okanisaki te.,Write a dialogue between a living person and a ghost who offers unexpected life advice.
Kanisá naino engumba moko monene oyo ezali na nse ya mabelé oyo ezali na nguya ya ba izini oyo esalaka ete biloko oyo ezali na bomoi ezala makasi. Mikakatano nini bafandi na yango bakutanaka na yango?,Imagine a sprawling underground city powered by bioluminescent plants. What challenges do its inhabitants face?
Koma email ya koteka na client moko oyo azali kopesa biloko oyo etali yango oyo bakoki kosepela na yango na kotalela biloko oyo asombaki liboso. Monisá ntina oyo biloko yango ebakisaka ndenge oyo basombaka.,Write a sales email to an existing customer offering related products they might be interested in based on previous purchases. Highlight why these products complement their purchase.
Koma email na moninga oyo osololaki na ye te banda kala. Bokanga bango na makambo oyo ebandaki koleka na vie na bino pe tuna bango ndenge bazali.,Write an email to a friend you haven’t spoken to in a while. Catch them up on what’s been happening in your life and ask them how they’re doing.
Composer email na professeur moko ya kala kosenga bango bakoma mokanda ya recommandation pona yo. Pesá makambo ya mikemike oyo etali esika yango mpe pesá kopesa makambo mosusu.,Compose an email to a former professor asking them to write a recommendation letter for you. Provide details about the position and offer to provide further information.
Koma email mpo na kopesa longonya na moninga to moninga ya mosala mpo na likambo moko oyo euti kosalema. Monisá esengo na yo mpo na bango mpe pesá maloba ya kolendisa.,Write an email congratulating a friend or colleague on a recent achievement. Express your happiness for them and offer words of encouragement.
