id,prompt,source,task,language
3874,Andika barua pepe kumshukuru mwanafamilia au rafiki kwa zawadi aliyokupa. Taja wazi kwa nini unathamini zawadi hiyo na jinsi unavyopanga kuitumia.,polywrite,monolingual,swahili
3875,Fikiria mhusika ambaye ana kipenzi cha roboti na AI ya hali ya juu ambayo huanza kukuza utu na matamanio yake.,polywrite,monolingual,swahili
3876,"Hebu fikiria ulimwengu ambapo hisia huwekwa kwenye chupa na kuuzwa. Je, hii ingebadilisha vipi mwingiliano wa binadamu na jamii?",polywrite,monolingual,swahili
3877,"Mtu huanza kupata ndoto zao mbaya katika maisha halisi. Kila wakati wanapoamka, kipande kingine cha ulimwengu wa ndoto huwafuata katika ukweli.",polywrite,monolingual,swahili
3878,"Mtengenezaji wa wanasesere huunda wanasesere wanaofanana na maisha, lakini baada ya kutoweka kwake kwa njia isiyoeleweka, wanasesere hao huanza kutenda kana kwamba wako hai, kila mmoja akiwa na nia mbaya.",polywrite,monolingual,swahili
3879,"Eleza utaratibu wa kufanya kazi wa mbali, lakini badala ya kufanya kazi nyumbani, mhusika anafanya kazi kutoka maeneo tofauti ya kupendeza (kama vile visiwa vinavyoelea au misitu iliyorogwa).",polywrite,monolingual,swahili
3880,Andika barua pepe kwa rafiki wa karibu au mwanafamilia ukishiriki habari za kusisimua. Waambie maelezo na jinsi unavyohisi kulihusu.,polywrite,monolingual,swahili
3881,"Ununuzi mtandaoni umezidi kuwa maarufu katika miaka ya hivi karibuni. Ni sababu gani za mwelekeo huu, na una athari gani kwa biashara za ndani?",polywrite,monolingual,swahili
3882,"Wengine wanaamini kufikia usawa wa maisha ya kazi ni ngumu zaidi leo kuliko zamani. Je, unakubaliana au hukubaliani na kauli hii kwa kiasi gani?",polywrite,monolingual,swahili
3883,"Baadhi wanaamini kwamba wazazi wanapaswa kuwa na jukumu la kulea watoto, wakati wengine wanafikiri serikali inapaswa kuchukua jukumu. Jadili maoni yote mawili na toa maoni yako.",polywrite,monolingual,swahili
3884,"Geuza siku isiyo ya kawaida ya shughuli fupi kuwa pambano kuu, na kila kuacha kuwasilisha changamoto ya kipekee (km, kupata viungo adimu, kutatua mafumbo, n.k.).",polywrite,monolingual,swahili
3885,"Tazama jamii ambapo uchawi na teknolojia zimeunganishwa bila mshono. Je, watu hutumiaje nguvu hizi katika maisha yao ya kila siku?",polywrite,monolingual,swahili
