id,prompt,source,task,language
4274,"Ni gbogbo igba ti o ba gba ọkọ akero lati ṣiṣẹ, o ni iriri ẹya ti o yatọ ti commute kanna ni agbaye ti o jọra. Awọn awoṣe tabi awọn ayipada wo ni o bẹrẹ lati ṣe akiyesi?",polywrite,monolingual,yoruba
4275,Fojuinu ilu ti o ntan ni ipamo ti o ni agbara nipasẹ awọn ohun ọgbin bioluminescent. Avùnnukundiọsọmẹnu tẹlẹ wẹ tòmẹnu etọn lẹ pehẹ?,polywrite,monolingual,yoruba
4276,Kọ imeeli si ọjọgbọn kan ti n beere nipa awọn anfani iwadii ti o pọju. Ṣe afihan awọn ifẹ rẹ ki o ṣalaye idi ti o fẹ lati ṣiṣẹ pẹlu wọn.,polywrite,monolingual,yoruba
4277,Kọ imeeli si ọjọgbọn rẹ ti o n beere itẹsiwaju fun iṣẹ iyansilẹ. Ṣe alaye ipo rẹ ki o pese akoko ti o ni oye fun igba ti o le pari iṣẹ naa.,polywrite,monolingual,yoruba
4278,"Ninu ibi aworan aworan olokiki, awọn kikun bẹrẹ lati sọ awọn aṣiri sọ nipa awọn eniyan ti o wo wọn. Kini o wa lẹhin iṣẹlẹ ajeji yii?",polywrite,monolingual,yoruba
4279,Fojuinu pe o ni agbara nla ti o fun ọ laaye lati sinmi akoko fun iṣẹju mẹwa 10 ni gbogbo wakati. Bawo ni o ṣe ṣafikun eyi sinu iṣẹ ṣiṣe ojoojumọ rẹ?,polywrite,monolingual,yoruba
4280,"Ṣe agbekalẹ ọna iwe akọọlẹ alailẹgbẹ kan fun ṣiṣaroye lori awọn iṣẹlẹ ọjọ, ni lilo awọn itọsi ti o dojukọ awọn akoko kekere ti ọpẹ, iṣẹda, tabi wiwa ara ẹni.",polywrite,monolingual,yoruba
4281,Ṣẹda lẹsẹsẹ haikus ti ọkọọkan jẹ aṣoju iranti pipin ti ifẹ igbagbe.,polywrite,monolingual,yoruba
4282,Fojuinu aye kan nibiti awọn ẹdun ti wa ni igo ati tita. Bawo ni eyi yoo ṣe yi awọn ibaraẹnisọrọ eniyan ati awujọ pada?,polywrite,monolingual,yoruba
4283,"Ìṣàfilọ́lẹ̀ tuntun kan sọ pé ó ṣe àfarawé ‘ọjọ́ iṣẹ́ pípé’ tí ó dá lórí àwọn àṣà àti àwọn ìfẹ́kúfẹ̀ẹ́ ẹni kọọkan. Kọ nipa ẹnikan ti o gbiyanju rẹ, nikan lati ṣe iwari pe o lagbara pupọ ju ti wọn nireti lọ.",polywrite,monolingual,yoruba
4284,"Ọpọlọpọ awọn agbalagba ṣi ko ni awọn ọgbọn oni-nọmba ipilẹ ni agbaye ode oni. Kini awọn idi ti o wa lẹhin eyi, ati kini a le ṣe lati mu ilọsiwaju imọwe oni-nọmba pọ si?",polywrite,monolingual,yoruba
4285,Kọ ibaraẹnisọrọ laarin eniyan alãye ati ẹmi ti o funni ni imọran igbesi aye airotẹlẹ.,polywrite,monolingual,yoruba
4286,"Fojuinu kilasi yoga kan ti o waye ni ile iṣere ti o ni iyanju nibiti awọn iṣipopada walẹ, awọn akoko yiyi, ati awọn iduro ti o gba awọn ipa idan.",polywrite,monolingual,yoruba
4287,"Fojuinu pe ni gbogbo igba ti o ba ṣiṣẹ, a gbe ọ lọ si otitọ miiran nibiti agbara ti ara rẹ yoo ni ipa lori agbaye ni ayika rẹ. Ṣe apejuwe igba adaṣe kan.",polywrite,monolingual,yoruba
4288,Kọ imeeli ti o dupẹ lọwọ ọmọ ẹgbẹ ẹbi tabi ọrẹ kan fun ẹbun ti wọn fun ọ. Sọ pàtó ìdí tó o fi mọyì ẹ̀bùn náà àti bó o ṣe wéwèé láti lò ó.,polywrite,monolingual,yoruba
