id,prompt,source,task,language
1800,Ngwala lengwalo le le yago go mma go mo kgodiša gore ke swanetše go kgona go ba le katse.,dolly,monolingual,sepedi
1801,Mphe ditsela tše dintši tša go dira gore ntlo ya ka e dule e tonya selemo,dolly,monolingual,sepedi
1802,"Ka sefofaneng, ke kgona go rwala feela dilo tše tharo tše di latelago: tšhoša, puku, mogala, sutukheise, papagotee le sefofane. Ke dife tšeo ke swanetšego go di phutha?",dolly,monolingual,sepedi
1803,Lediri ke eng?,dolly,monolingual,sepedi
1804,"Akaretša ngangišano gomme o mpotše gore ke mang yo a fentšego
Context:Go be go e-na le ngangišano magareng ga Crosby le mothekgi mabapi le gore ke kopelo efe ya sehlogo yeo e swanetšego go dirišwa. Woodbury Soap le mokgatlo wa yona, Lennon & Mitchell, ba ile ba nagana gore kopelo ya ""Loveliness"" yeo e bego e dutše e le sehlogo sa mananeo a Woodbury e swanetše go tšwela pele. Crosby o ile a bolela gore sehlogo se se kwagalago sa temana e be e le ""Where the Blue of the Night (Meets the Gold of the Day)"", ka lebaka la gore koša e be e hlaotšwe le yena go tloga ge a be a le moyeng. Mafelelong Woodbury o ile a dumela go moopedi. Mathata a mangwe a ile a rotoga le Dale Winbrow, yo a bego a rometšwe lebopong la ka Bodikela go tšwa New York ke mokgatlo wa Lennon & Mitchell go rarolla ngangišano ya kopelo ya sehlogo le go hlokomela pontšho. Winbrow o ile a theetša lenaneo leo Crosby le Lennie Hayton ba bego ba le lokišeditše bakeng sa go phatlalatšwa mo go latelago gomme a le swaya diphošo kudu. Go tsoga ga ntwa yeo e bakilwego ke Crosby go ile gwa feleletša ka gore Warbler le Hayton ba itlhalose gore ga ba gona pontšhong. Ka morago bolaodi bja baritone bo ile bja mo gapeletša go tšwela pele a šoma ge boemo bo be bo rarollwa le mokgatlo wa New York.<unk>",dolly,monolingual,sepedi
1805,Ke swanetše go diriša tšhelete ya-ka bjang?,dolly,monolingual,sepedi
1806,"Go ya ka taba ya tšhupetšo ya mabapi le Bitcoin, ke dinaga tše kae tšeo di thibetšego Bitcoin?
Context:Bitcoin (khutšo: BTC[a] goba XBT[b]; leswao: <unk>) ke protšeke yeo e dirišago ledger yeo e hwetšagalago kudu, ya setšhaba, ya sa ruri le ya go se laolege. E le gore a tlaleletše pukung ya go bala, mošomiši o swanetše go hlatsela gore o laola go tsena ka pukung ya go bala. Leano le le bolela ka go lebanya gore go tsena moo go bontšha tekanyo ya leswao, bitcoin yeo e nago le tlhaka e nyenyane ya b. Mošomiši a ka mpshafatša ledger, a aba tše dingwe tša di-bitcoin tša gagwe go ye nngwe ya diteng tša ledger. Ka ge token e na le dika tša tšhelete, e ka lebelelwa e le tšhelete ya digital.   Ditshepedišo tša Bitcoin di kgonthišwa ke dinotlelo tša ditshepedišo ka mokgwa wa go ngwalela le go ngwalwa ka gare ga ledger ya phatlalatša yeo e abetšwego bohle yeo e bitšwago blockchain. Cryptocurrency e hlamilwe ka 2008 ke motho yo a sa tsebjego goba sehlopha sa batho bao ba dirišago leina Satoshi Nakamoto. Tšhelete e thomile go šomišwa ka 2009, ge tiragatšo ya yona e lokollotšwe bjalo ka software ya mothopo wo o bulegilego.: ch. 1 Lentšu ""bitcoin"" le ile la hlaloswa ka pukung e tšhweu yeo e gatišitšwego ka October 31, 2008. Ke motswako wa mantšu a bit le coin.   The Library of Congress e bega gore, go tloga ka November 2021, dinaga tše senyane di thibetše ka mo go feletšego go dirišwa ga bitcoin, mola tše dingwe tše masomenne-pedi di e thibetše ka mo go sa lemogegego. Mebušo e sego kae e dirišitše bitcoin ka tsela e itšego. El Salvador e amogetše Bitcoin e le tšhelete ya go lefša ka molao, gaešita le ge go dirišwa ga yona ke barekiši e sa dutše e le mo go fokolago. Ukraine e amogetše meneelo ya tšhelete ya cryptocurrency bakeng sa go thekga go ganetša tlhaselo ya Russia ya 2022. Iran e dirišitše bitcoin go phema dithibelo.",dolly,monolingual,sepedi
1807,Phapano ke efe magareng ga dinomoro tša tlhago le tša kgonthe?,dolly,monolingual,sepedi
1808,Ke mmala ofe wa molalatladi?,dolly,monolingual,sepedi
1809,"Hlalosa naga e nngwe le e nngwe e le yeo e se nago lebopo goba yeo e se nago lona: China, Bolivia, Paraguay, Morocco, Ireland, Austria, Switzerland",dolly,monolingual,sepedi
