prompt,prompt_en
Ka da bi a ɛwɔ Asase so a tumi a ɛtwe ade ba fam no dan akyi mpofirim nnɔnhwerew kakraa bi ho asɛm. Nnipa ne mmoa yɛ wɔn ade dɛn?,Describe a day on Earth where gravity suddenly reverses for a few hours. How do people and animals react?
Yɛ obi a bere bi na ɔyɛ ɔbran nanso wabɛyɛ ɔbɔnefo esiane ntease a ɛnteɛ a ɛyɛ awerɛhow nti.,Create a character who was once a hero but has become a villain due to a tragic misunderstanding.
Kyerɛw suban bi a ɔyɛ nea otwa to wɔ wɔn su mu a ɔte wiase a akɔ so a wɔnka ho mu ho asɛm.,Write about a character who is the last of their kind living in a world that has moved on without them.
Bɔ suban bi a ne sunsuma aba nkwa mu na ɔyɛ n’ade sɛ wɔn yɔnko a ɔyɛ ɔkwasea.,Create a character whose shadow has come to life and acts as their mischievous counterpart.
"Twerɛ email de di adwuma ho nsɛmbisa a wobisabisaa wo adapɛn mmienu a atwam no akyi. Da w’anigye a wokɔ so wɔ wɔ dibea no ho adi, da nea obisabisaa no nsɛm no ase wɔ ne bere ho, na bisa sɛ wɔmma no nsɛm foforo.","Write an email to follow up on a job interview you had two weeks ago. Express your continued interest in the position, thank the interviewer for their time, and ask for updates."
Ɛsɛ sɛ wo ne wo yɔnko dwumayɛni bi yɛ nhyehyɛe ma wo ne wo susuw sɛnea adwuma bi rekɔ so ho. Kyerɛw email a ɛkyerɛ nidi bisa bere a ɛfata ma nhyiam no na fa nsɛm tiawa bi ma.,You need to schedule a meeting with a colleague to discuss the progress of a project. Write a polite email requesting a suitable time for the meeting and provide a brief outline.
Kyerɛw email kɔma wo panyin bisa wo nsɛm wɔ amanneɛbɔ bi a wode kɔe nnansa yi ho. Kyerɛ w’anigye a wowɔ sɛ wobɛma w’adwuma atu mpɔn na bisa nyansahyɛ pɔtee bi.,Write an email to your supervisor asking for feedback on a recent report you submitted. Express your interest in improving your work and ask for specific suggestions.
"Hyehyɛ email ma wo manager a ɔpa kyɛw sɛ woayera adwuma no bere a etwa to. Kyerɛkyerɛ nea enti a woakyɛ no mu, na kyerɛ anammɔn a wobɛfa so ahwɛ ahu sɛ ɛrensi bio.","Compose an email to your manager apologizing for missing a project deadline. Explain the reason for the delay, and outline your steps to ensure it won’t happen again."
"Kyerɛw email kɔma adetɔnfo bi a ɔde nneɛma a ɛnteɛ anaasɛ asɛe kɔmaa no. Fa animtew kyerɛkyerɛ asɛm no mu, fa nsɛm a ɛkɔ akyiri ma, na bisa sɛ wɔmfa sika no mma anaasɛ wɔmfa nsi ananmu.","Write an email to a vendor who delivered incorrect or damaged products. Politely explain the issue, provide details, and request a refund or replacement."
Twerɛ email kɔma adetɔfoɔ dwumadie ananmusifoɔ bi bisa sɛdeɛ nneɛma bi a w’ani gye ho sɛ wobɛtɔ no wɔ hɔ ne ne ho nsɛm.,Write an email to a customer service representative inquiring about the availability and specifications of a product you are interested in purchasing.
Woahu sɛ wɔabɔ ka a ɛnteɛ wɔ sika a wotua ɔsram biara no ho. Kyerɛw email kɔma billing department no kyerɛkyerɛ asɛm no mu na bisa sɛ wɔnyɛ nteɛso.,You’ve noticed an incorrect charge on your monthly bill. Write an email to the billing department explaining the issue and asking for a correction.
"Hyehyɛ email kɔma adetɔfoɔ bi a wɔsom bo a wɔda wɔn ase wɔ wɔn adwuma a wɔakɔ so ayɛ no ho, na bɔ wɔn amanneɛ wɔ nkɔsoɔ anaa dwumadie soronko bi ho.","Compose an email to a valued customer thanking them for their continued business, and inform them about a special promotion or offer."
Kyerɛw email kɔma adwumakuw bi atɔfo som dwumadibea de di osuahu bɔne bi a wunyae wɔ wɔn som adwuma no ho dwuma. Kyerɛkyerɛ ɔhaw no mu na kyerɛ sɛnea wobɛpɛ sɛ wosiesie.,Write an email to a company’s customer service department to address a poor experience you had with their service. Explain the problem and suggest how you would like it resolved.
Hyehyɛ email de bisa sɛ wɔmfa nneɛma bi a woatɔ wɔ intanɛt so no san ba anaasɛ wɔmfa sesa. Fa wo order nɔma ne nea enti a wosan bae no ka ho.,Compose an email to request a return or exchange for a product you purchased online. Include your order number and reason for the return.
Kyerɛw email kɔma w’adamfo bi a wo ne no nkasae bere tiaa bi. Kyere wɔn wɔ nea akɔ so wɔ w’asetra mu na bisa wɔn sɛnea wɔn ho te.,Write an email to a friend you haven’t spoken to in a while. Catch them up on what’s been happening in your life and ask them how they’re doing.
Kyerɛw email de da abusua muni anaa w’adamfo bi ase wɔ akyɛde bi a wɔde maa wo no ho. Ka nea enti a w’ani sɔ akyɛde no ne sɛnea woayɛ w’adwene sɛ wode bedi dwuma no ho asɛm pɔtee.,Write an email thanking a family member or friend for a gift they gave you. Be specific about why you appreciate the gift and how you plan to use it.
"Hyehyɛ email a ɛnyɛ ɔkwan biara so de to nsa frɛ nnamfo ma wɔmmra apontow bi a woreyɛ. Fa da, bere, beae, ne dwumadi titiriw biara ho nsɛm ka ho.","Compose an informal email inviting friends to a party you’re hosting. Include details about the date, time, location, and any special activities."
Kyerɛw email de ma w’adamfo anaa wo yɔnko dwumayɛni bi akwaaba wɔ nea woatumi ayɛ nnansa yi ho. Da w’anigye adi ma wɔn na fa nkuranhyɛ nsɛm ma wɔn.,Write an email congratulating a friend or colleague on a recent achievement. Express your happiness for them and offer words of encouragement.
Twerɛ email kɔma w’adamfo paa anaa w’abusua muni bi a ɔka nsɛm a ɛyɛ anigyeɛ. Ka nsɛm a ɛkɔ akyiri ne sɛnea wote nka wɔ ho kyerɛ wɔn.,Write an email to a close friend or family member sharing exciting news. Tell them the details and how you’re feeling about it.
"Kyerɛw email kɔma sukuupɔn bi admissions office bisa nhyehyɛe pɔtee bi ho nsɛm. Bisa akwammisa nhyehyɛe, nna a etwa to, ne nea ɛkeka ho ho asɛm.","Write an email to the admissions office of a university requesting information about a specific program. Ask about the application process, deadlines, etc."
Hyehyɛ email kɔma kan ɔbenfo bi bisa wɔn sɛ wɔnkyerɛw krataa a wɔde bɛkamfo wo ama wo. Fa dibea no ho nsɛm ma na ka sɛ wode nsɛm foforo bɛma.,Compose an email to a former professor asking them to write a recommendation letter for you. Provide details about the position and offer to provide further information.
"Kyerɛw email a ɛfata kɔma aban panyin bi a ɛfa mpɔtam hɔ asɛm bi a ɛhaw wo ho. Ka nea ɛhaw wo, fa nokwasɛm ahorow a ɛfoa so ma, na kyerɛ ano aduru a ebetumi aba.","Write a formal email to a government official addressing a local issue that concerns you. State your concerns, provide supporting facts, and suggest possible solutions."
Woafi adwuma foforo ase nkyɛe na wopɛ sɛ woda wo ho adi kyerɛ wo kuw no mufo. Kyerɛw email a ɛyɛ mmara kwan so de kyerɛ wo ho na kyerɛ w’anigye a wowɔ wɔ adwuma a wɔbom yɛ ho.,You’ve just started a new job and want to introduce yourself to your team members. Write a formal email introducing yourself and expressing your excitement about working together.
Hyehyɛ email kɔma kan adwumawura bi a ɛsrɛ sɛ wɔmfa nni dwuma sɛ adwuma akwammisa foforo ho nkyerɛkyerɛmu. Fa animtew srɛ wɔn kwan na da wɔn ase wɔ mmoa a wɔde ma no ho.,Compose an email to a former employer requesting to use them as a reference for a new job application. Politely ask for their permission and thank them for their support.
Kyerɛw email a ɛyɛ nwini kɔma obi a obetumi ayɛ wo client a ɔde wo adwumakuw no kyerɛ na ɔde wo nnwuma ma. Twe adwene si w’ahoɔden atitiriw so na kyerɛkyerɛ sɛnea wubetumi aboa wɔn adwuma no mu.,Write a cold email to a potential client introducing your company and offering your services. Highlight your key strengths and explain how you can help their business.
"Hyehyɛ aguadi email a ɛbɔ amanneɛ sɛ wɔde ade foforo bi aba. Fa nneɛma a ɛwɔ ade no mu, mfaso horow, ne nneɛma titiriw biara a wɔde hyɛ ho nkuran anaa wɔatew ne bo so ho nsɛm ka ho.","Compose a marketing email announcing the launch of a new product. Include details about the product’s features, benefits, and any special promotions or discounts."
Kyerɛw email a edi akyi kɔma obi a obetumi ayɛ wo adetɔfo a ɔdaa anigye adi wɔ wo nneɛma no ho. Kae wɔn mfaso a ɛwɔ so no na ka sɛ wubebua nsɛmmisa biara.,Write a follow-up email to a potential client who expressed interest in your product. Remind them of the benefits and offer to answer any questions.
"Hyehyɛ email a ɛkyerɛ sɛ obi foforo akyerɛw ne din wɔ wo adwumakuw no nsɛmma nhoma mu. Da wɔn ase sɛ wɔakyerɛw wɔn din, ka nea ɛsɛ sɛ wɔhwɛ kwan kyerɛ wɔn, na fa ɔfrɛ a ɛne sɛ wɔnyɛ ade ka ho.","Compose an email confirming a new subscriber to your company’s newsletter. Thank them for subscribing, tell them what to expect, and include a call to action."
Kyerɛw adetɔn email kɔma adetɔfo bi a ɔwɔ hɔ dedaw a ɔde nneɛma a ɛfa ho a ebia wɔn ani begye ho ma a egyina nneɛma a wɔatɔ dedaw so. Si nea enti a saa nneɛma yi boa wɔn adetɔ no so dua.,Write a sales email to an existing customer offering related products they might be interested in based on previous purchases. Highlight why these products complement their purchase.
Kyerɛw email kɔma wo professor bisa sɛ wɔmma no ntrɛwmu mma dwumadi bi. Kyerɛkyerɛ wo tebea no mu na fa bere nhyehyɛe a ɛfata ma bere a wubetumi awie adwuma no.,Write an email to your professor requesting an extension for an assignment. Explain your situation and provide a reasonable timeline for when you can complete the work.
"Hyehyɛ email ma wo mfɛfo sukuufo a wɔreyɛ kuw adwuma bi ho nhyehyɛe. Fa nnwuma ma, hyehyɛ bere a wɔde bɛma, na kyerɛ bere a ɛsɛ sɛ wohyiam mfa nsusuw nkɔso ho.","Compose an email to your classmates coordinating a group project. Assign tasks, set deadlines, and suggest a meeting time to discuss progress."
Kyerɛw email kɔma ɔbenfo bi bisa nhwehwɛmu hokwan ahorow a ebetumi aba ho asɛm. Twe adwene si nneɛma a w’ani gye ho so na kyerɛkyerɛ nea enti a wobɛpɛ sɛ wo ne wɔn yɛ adwuma no mu.,Write an email to a professor inquiring about potential research opportunities. Highlight your interests and explain why you’d like to work with them.
Kyerɛw email kɔma wo professor kyɛ kyɛw sɛ ɔpaa adesua bi esiane tebea horow a wunhui nti. Bisa sɛ ebia nsɛm bi wɔ hɔ a ɛsɛ sɛ wokyere anaa.,Write an email to your professor apologizing for missing a class due to unforeseen circumstances. Ask if there is any material you need to catch up on.
Hyehyɛ email kɔma kan ɔbenfo anaa ɔfotufo bi a bisa adwuma ho afotu. Kyerɛkyerɛ wo mprempren tebea no mu tiawa na bisa akwankyerɛ wɔ sɛnea wobɛkɔ w’anim ho.,Compose an email to a former professor or mentor asking for career advice. Briefly explain your current situation and ask for guidance on how to move forward.
"Ebinom gye di sɛ intanɛt so adesua tu mpɔn sen atetesɛm adesua, bere a afoforo gye akyinnye sɛ adesuadan mu adesua da so ara ho hia. Munsusuw adwene abien no nyinaa ho na fa w’adwene ma.","Some believe online learning is more effective than traditional learning, while others argue classroom learning is still crucial. Discuss both views and give your opinion."
"Nnipa binom gye di sɛ ɛsɛ sɛ wodi nneɛma a atwa yɛn ho ahyia ho haw ahorow ho dwuma wɔ wiase nyinaa, bere a afoforo susuw sɛ ɛsɛ sɛ wodi ho dwuma wɔ mpɔtam hɔ. Munsusuw adwene abien no nyinaa ho na fa w’adwene ma.","Some people believe environmental problems should be solved globally, while others think they should be tackled locally. Discuss both views and give your opinion."
