prompt,prompt_en
Waxñu benn bis ci kaw suuf si gravite bi daal di dellu ginaaw ay waxtu yu néew. Naka la nit ñi ak baayima yi di def ?,Describe a day on Earth where gravity suddenly reverses for a few hours. How do people and animals react?
Defar ab personage bu musoon nekk ndaanaan waaye mujjee nekk soxor ndax ñàkka xamante bu metti.,Create a character who was once a hero but has become a villain due to a tragic misunderstanding.
"Bindal ci benn personage bu mujj ci seen xeetam, dundu ci àdduna bu dem te kenn du leen.",Write about a character who is the last of their kind living in a world that has moved on without them.
"Bindal ab imeel ngir topp ab interview liggéey boo amoon ñaari ayu-bis ci ginaaw. Waxñu ni yaa ngi wéy di bëgg liggéey bi, gërëm ki lay laaj ci liggéey bi, nga laaj ñu yeesal ko.","Write an email to follow up on a job interview you had two weeks ago. Express your continued interest in the position, thank the interviewer for their time, and ask for updates."
Danga wara am ndaje ak sa naataango ngir waxtaane ni projet bi di doxee. Bindal ab imeel bu ànd ak ngor nga laaj jotu ndaje bi nga joxe ci lu gàtt.,You need to schedule a meeting with a colleague to discuss the progress of a project. Write a polite email requesting a suitable time for the meeting and provide a brief outline.
"Bindal sa patroŋ benn imeel nga laaj ko xalaat ci rapoor bi nga joxe bu yàggul dara. Waxñu ni danga bëgga gëna suqali sa liggéey, nga laaj ñu xalaat ci sa liggéey.",Write an email to your supervisor asking for feedback on a recent report you submitted. Express your interest in improving your work and ask for specific suggestions.
"Bindal sa patroŋ benn imeel ngir jéggalu ci limu ñàkk ci bis biñ wara jeexal projet bi. Waxñu li waral yeexal bi, nga wax li ngay def ngir loolu baña delluwaat.","Compose an email to your manager apologizing for missing a project deadline. Explain the reason for the delay, and outline your steps to ensure it won’t happen again."
"Bindal ab imeel jaaykat bi indi produit yu jaarul yoon wala yu yàqu. Leeralal jafe-jafe bi ci anam wu woyof, nga joxe ci ay detay, nga laaj ñu dello xaalis bi wala ñu wecci ko.","Write an email to a vendor who delivered incorrect or damaged products. Politely explain the issue, provide details, and request a refund or replacement."
Bindal benn imeel ki yor wàllu serwiisu kiliyaan ngir laaj ndax produit bi nga bëgga jënd am na ak ay leeral.,Write an email to a customer service representative inquiring about the availability and specifications of a product you are interested in purchasing.
Gis nga ni dañu juum ci sa faktiiru weer wu nekk. Bindal ab imeel ci departemaa bi yor faktiir ngir leeral jafe-jafe bi nga laaj ñu seet ko.,You’ve noticed an incorrect charge on your monthly bill. Write an email to the billing department explaining the issue and asking for a correction.
"Bindal benn imeelu kiliyaan bu am solo nga gërëm ko ci liggéey bimu wéy, nga yëgal ko promotion wala ofrand bu amul fenn.","Compose an email to a valued customer thanking them for their continued business, and inform them about a special promotion or offer."
Bindal ab imeel ci departemaa bi yor serwiis kiliyaan ci benn kompiñi ngir wax ci jafe-jafe yi nga am ci seen serwiis. Leeralal jafe-jafe bi nga wax ni nga bëggee ñu saafara ko.,Write an email to a company’s customer service department to address a poor experience you had with their service. Explain the problem and suggest how you would like it resolved.
Bindal benn imeel ngir sàkku ñu delloo la wala ñu weccoo produit bi nga jëndoon ci net bi. Bindal sa nimero komànd ak sabab bi nga ko delloo.,Compose an email to request a return or exchange for a product you purchased online. Include your order number and reason for the return.
Bindal sa xarit bu yàgg a waxtaan ak moom benn email. Xalaatal leen li xewoon ci sa dundu nga laaj leen numu demee.,Write an email to a friend you haven’t spoken to in a while. Catch them up on what’s been happening in your life and ask them how they’re doing.
Bindal benn imeel ngir gërëm sa waa kër wala sa xarit ci kado bi ñu la jox. Wax leen bu baax li tax nga bëgg kado bi ak ni ngay ko nara jëfandikoo.,Write an email thanking a family member or friend for a gift they gave you. Be specific about why you appreciate the gift and how you plan to use it.
"Bindal ab imeel buy invite say xarit ci feet bi ngay amal. Boole ci ay leeral ci bis bi, waxtu wi, barab bi, ak bépp liggéey bu amul fenn.","Compose an informal email inviting friends to a party you’re hosting. Include details about the date, time, location, and any special activities."
"Bindal benn imeel ngir sargal sa xarit wala sa naataango ci liggéey bu mu def bu yàggul dara. Wax leen ni kontaan nañu lool ci ñoom, nga wax leen kàddu yu leen di yokk doole.",Write an email congratulating a friend or colleague on a recent achievement. Express your happiness for them and offer words of encouragement.
Bindal sa xarit wala sa waa kër ngir séddoo xibaar bu neex. Wax leen lépp ak ni ngay yëg sa bopp.,Write an email to a close friend or family member sharing exciting news. Tell them the details and how you’re feeling about it.
"Bindal ab imeel biro biy nangu ñiy dugg universite nga laaj leeral ci benn prograam. Laajteel ni ñuy defee demànd bi, bis yi ñuy jeexal, ak ñoom seen.","Write an email to the admissions office of a university requesting information about a specific program. Ask about the application process, deadlines, etc."
Bindal benn imeelu profesër bu njëkk nga wax ko mu binndal la ab bataaxal recommandé. Joxeel ay leeral ci liggéey bi nga wax ni dinga ci joxe yeneen leeral.,Compose an email to a former professor asking them to write a recommendation letter for you. Provide details about the position and offer to provide further information.
"Bindal ab ndawu nguur ab imeel ngir wax ci ab jafe-jafe bu la soxal ci dëkk bi. Wax leen li ngeen di jaaxal, ngeen joxe ay firnde yu leen di jàppale, ngeen digle pexe yi ngeen mëna def.","Write a formal email to a government official addressing a local issue that concerns you. State your concerns, provide supporting facts, and suggest possible solutions."
"Danga tàmbali liggéey bu bees, nga bëgga wane sa bopp say waa ekip. Bindal benn imeel nga fësal sa bopp ba noppi nga wax ni amna sa mbégte ci liggéeyandoo.",You’ve just started a new job and want to introduce yourself to your team members. Write a formal email introducing yourself and expressing your excitement about working together.
Bindal ab imeel sa patroŋ bu njëkk nga laaj mu jëfandikoo leen ngir am këyit ngir am liggéey bu bees. Laajteel leen ñu may la nga gërëm leen ci seen ndimbal.,Compose an email to a former employer requesting to use them as a reference for a new job application. Politely ask for their permission and thank them for their support.
Bindal benn imeel bu sedd ci kiliyaan bi nga bëgga wax sa liggéeyukaay ba noppi nga wax ko sa serwiis. Wax leen li ngeen mëna def te leeral leen ni ngeen mëna jàppale seen liggéey.,Write a cold email to a potential client introducing your company and offering your services. Highlight your key strengths and explain how you can help their business.
"Bindal benn imeelu fësal njaay ngir yëgle genneb produit bu bees. Boole ci ay leeral ci man-mani produit bi, njariñ yi ci nekk, ak bépp fësal wala wàññikaayu njëg.","Compose a marketing email announcing the launch of a new product. Include details about the product’s features, benefits, and any special promotions or discounts."
"Bindal benn imeelu topp ci sa kiliyaan bu la bëgga jënd produit bi. Fàttalil leen njariñ yi ci nekk, nga tontu leen bépp laaj.",Write a follow-up email to a potential client who expressed interest in your product. Remind them of the benefits and offer to answer any questions.
"Bindal ab imeel buy firndeel ab abone bu bees ci sa bulletin liggéeyukaay. Jërëjëf leen ci li ñu abone, nga wax leen li ñu wara seentu, nga boole ci woote ñu def.","Compose an email confirming a new subscriber to your company’s newsletter. Thank them for subscribing, tell them what to expect, and include a call to action."
"Bindal benn imeelu njaay kiliyaan bi fi nekk, nga jox ko ay produit yu méngoo ak limu jëndoon bu njëkk. Waxñu li tax produit yooyu di ànd ak li ñuy jënd.",Write a sales email to an existing customer offering related products they might be interested in based on previous purchases. Highlight why these products complement their purchase.
"Bindal sa profesër ab imeel nga laaj ñu yokkal la sa devoir. Waxñu li ngay dundu, nga joxe kalendriye bi nga mëna jeexal liggéey bi.",Write an email to your professor requesting an extension for an assignment. Explain your situation and provide a reasonable timeline for when you can complete the work.
"Bindal ab imeel ngir say xarit ci klaas bi yor benn projet grupu. Jox leen ay liggéey, defal leen ay waxtu yu ñuy jeexal, nga wax waxtu ndaje ngir waxtaane jëm kanam gi.","Compose an email to your classmates coordinating a group project. Assign tasks, set deadlines, and suggest a meeting time to discuss progress."
"Bindal sa profesër ab imeel nga laaj ko ay anam yu la mëna jàppale ci gëstu. Wax leen li ngeen bëgg, nga wax leen li tax ngeen bëgga liggéeyandoo ak ñoom.",Write an email to a professor inquiring about potential research opportunities. Highlight your interests and explain why you’d like to work with them.
Bindal sa profesër ab imeel nga jéggalu ci limu ñàkka jàngi ndax mbir yu la xamul woon. Laajteel ndax amna mbir yoo bëgga jàng.,Write an email to your professor apologizing for missing a class due to unforeseen circumstances. Ask if there is any material you need to catch up on.
"Bindal benn imeelu profesër wala njiit bu njëkk ngir laaj xalaat ci liggéey bi. Waxñu ci lu gàtt li ngay dundu leegi, nga laaj ñu jàppale la ci ni ngay def ba mëna dem kanam.",Compose an email to a former professor or mentor asking for career advice. Briefly explain your current situation and ask for guidance on how to move forward.
"Ñenn jàpp ni jàng ci net bi moo gëna am njariñ jàng ci cosaan, ñeneen ñi jàpp ni jàng ci klaas lu am solo la ba leegi. Waxtaan ci ñaari gis-gis yi nga joxe sa xalaat.","Some believe online learning is more effective than traditional learning, while others argue classroom learning is still crucial. Discuss both views and give your opinion."
"Ñenn jàpp ni jafe-jafe environmaa bi dañu ko wara saafara ci àdduna bi yépp, ñeneen ñi jàpp ni dañu ko wara saafara ci dëkk bi. Waxtaan ci ñaari gis-gis yi nga joxe sa xalaat.","Some people believe environmental problems should be solved globally, while others think they should be tackled locally. Discuss both views and give your opinion."
"Ñenn jàpp ni liggéey ak dundu moo gëna tar tay, moo gëna tar bu njëkk. Ba fu ngay nangu wala nga bañ wax jii?",Some believe achieving work-life balance is more difficult today than in the past. To what extent do you agree or disagree with this statement?
"Ci réew yu bari, yaram wi nit ñi di def mingi gëna yokk, fekk seen wérgi-yaram ak seen fitness di gëna wàññeeku. Lan mooy sabab yi ak pexe yi ñu mëna def ngir saafara jafe-jafe bii?","In many countries, the average weight of people is increasing, while health and fitness levels are decreasing. What are the causes and possible solutions to this problem?"
"Ñenn jàpp ni test ci baayima ngir gëstu ci wàllu paj lu am solo la, ñeneen ñi jàpp ni dañu ko wara tere. Waxtaan ci ñaari gis-gis yi nga joxe sa xalaat.","Some argue that animal testing for medical research is necessary, while others believe it should be banned. Discuss both views and give your opinion."
"Ci réew yu bare, ndaw ñi dañuy sonn lool ngir am liggéey. Lan moo waral jafe-jafe bii, ak ban pexe nga mëna xalaat?","In many countries, young people struggle to find employment. What are the causes of this issue, and what solutions can you suggest?"
"Yaram wu ëpp mingi nekk jafe-jafe bu mag ci réew yu bari. Lan moo waral jafe-jafe bii, ak ban matuwaay lañu mën a jël ngir saafara ko?","Obesity is becoming a serious problem in many countries. What are the causes of this issue, and what measures could be taken to address it?"
"Ci dëkk yu mag yu bari, polusioŋ u air bi ak ndox mi lu jafe la. Lan moo waral jafe-jafe yooyu, te lan lañu mën a jël ngir saafara jafe-jafe yi ?","In many large cities, air and water pollution is a significant issue. What are the causes of these problems, and what measures can be taken to improve the situation?"
"Ba leegi mag ñu bari amu ñu xam-xam bu njëkk ci wàllu digital ci àdduna bi. Lan moo waral loolu, ak lan lañu mëna def ngir gëna mëna jàng ak bind ci wàllu digital?","Many adults still do not have basic digital skills in today's world. What are the reasons behind this, and what can be done to improve digital literacy?"
