prompt,prompt_en
"Nako le nako ge o namela pese go ya mošomong, o itemogela phetolelo ye e fapanego ya go sepela ka tsela ye e swanago legohleng leo le bapilego. Ke dipaterone goba diphetogo dife tšeo o thomago go di lemoga?","Every time you take the bus to work, you experience a different version of the same commute in a parallel universe. What patterns or changes do you begin to notice?"
Akanya ka motse o phatlaletšego wa ka tlase ga mobu wo o šomišwago ke dimela tša biluminescent. Badudi ba yona ba lebeletšana le ditlhohlo dife?,Imagine a sprawling underground city powered by bioluminescent plants. What challenges do its inhabitants face?
Ngwala imeile go moprofesara o botšiša ka ga dibaka tšeo di ka bago gona tša nyakišišo. Gatelela dikgahlego tša gago gomme o hlalose lebaka leo ka lona o ratago go šoma le tšona.,Write an email to a professor inquiring about potential research opportunities. Highlight your interests and explain why you’d like to work with them.
Ngwala imeile go moprofesara wa gago o kgopela katološo ya kabelo. Hlalosa boemo bja gago gomme o nee lenaneo la nako le le kwagalago la gore o ka fetša neng mošomo.,Write an email to your professor requesting an extension for an assignment. Explain your situation and provide a reasonable timeline for when you can complete the work.
"Lefelong la bokgabo leo le tumilego, diswantšho di thoma go sebela diphiri ka batho bao ba di bogelago. Ke eng seo se lego ka morago ga tiragalo ye e makatšago?","In a renowned art gallery, the paintings begin to whisper secrets about people who view them. What is behind this strange phenomenon?"
Akanya o na le matla a magolo ao a go dumelelago go khutša nako ka metsotso e 10 iri e nngwe le e nngwe. O tsenya se bjang mokgweng wa gago wa letšatši le letšatši?,Imagine you have a superpower that allows you to pause time for 10 minutes every hour. How do you incorporate this into your daily routine?
"Hlama mokgwa wa moswananoši wa go ngwala dijenale wa go naganišiša ka ditiragalo tša letšatši, o šomiša ditšhišinyo tšeo di lebišitšego tlhokomelo dinakong tše nnyane tša tebogo, boitlhamelo, goba go ikhwetša.","Invent a unique journaling method for reflecting on the day’s events, using prompts that focus on small moments of gratitude, creativity, or self-discovery."
Hlama lelokelelo la di-haiku tšeo e nngwe le e nngwe e emelago kgopotšo e aroganego ya lerato leo le lebetšwego.,Create a series of haikus that each represent a fragmented memory of a forgotten love.
Akanya ka lefase leo go lona maikwelo a tsenywago ka mabotlelong gomme a rekišwa. Se se be se tla fetoša bjang ditirišano tša batho le setšhaba?,Imagine a world where emotions are bottled and sold. How would this change human interactions and society?
"Sedirišwa se sefsa se bolela gore se ekiša ‘letšatši la mošomo le le phethagetšego’ go ya ka mekgwa le dikgetho tša motho ka noši. Ngwala ka motho yo a e lekago, feela go utolla gore e tseneletšego kudu go feta kamoo ba bego ba letetše ka gona.","A new app claims to simulate the ‘perfect workday’ based on an individual’s habits and preferences. Write about someone who tries it, only to discover it's far more intense than they expected."
"Batho ba bantši ba bagolo ba sa dutše ba se na bokgoni bja motheo bja dijithale lefaseng la lehono. Mabaka afe ao a lego ka morago ga se, gomme ke eng seo se ka dirwago go kaonafatša go bala le go ngwala ka dijithale?","Many adults still do not have basic digital skills in today's world. What are the reasons behind this, and what can be done to improve digital literacy?"
Ngwala poledišano magareng ga motho yo a phelago le sepoko seo se fago keletšo ya bophelo yeo e sa letelwago.,Write a dialogue between a living person and a ghost who offers unexpected life advice.
"Akanya ka klase ya yoga yeo e diregago setudio seo se loilego moo matla-kgogedi a fetogago, nako e kobegago gomme dipopego di tšea mafelelo a maleatlana.","Imagine a yoga class that takes place in an enchanted studio where gravity shifts, time bends, and poses take on magical effects."
"Akanya gore nako le nako ge o itšhidulla, o išwa go selo sa kgonthe se sengwe moo matla a gago a mmele a kgomago lefase leo le go dikologilego. Hlalosa lenaneo le tee la go itšhidulla.","Imagine that every time you work out, you are transported to an alternate reality where your physical strength affects the world around you. Describe one workout session."
Ngwala imeile o leboga setho sa lapa goba mogwera ka mpho yeo ba go filego yona. E-ba yo a lebanyago mabapi le lebaka leo ka lona o lebogago mpho yeo le kamoo o rulaganyago go e diriša ka gona.,Write an email thanking a family member or friend for a gift they gave you. Be specific about why you appreciate the gift and how you plan to use it.
