id,prompt,source,task,language
3774,Fungidzira uchigara muimba inogona kuzvichenesa pachayo asi ichikudziridza &#39;mafungiro&#39; ayo ekuti rucheno runofanira kutaridzika sei. Matambudziko api anomuka?,polywrite,monolingual,shona
3775,Fungidzira zvakasikwa zvichiimba rwiyo rwekuridza pasi pasi usiku husati hwasvika. Ndeapi mazwi nemifananidzo yachaishandisa?,polywrite,monolingual,shona
3776,"Boka revaongorori rakagadzira tekinoroji yekusvetuka pakati pezviyero, asi chiyero chimwe nechimwe chine njodzi zvakanyanya kupfuura chekupedzisira. Chii chinoita kuti varambe vachienderera mberi?",polywrite,monolingual,shona
3777,"Nyora nezvekumhanya-mhanya pamusika apo vatengesi vanotengesa zvinhu zvemazuva ose uye zvemashiripiti, uye kugezera kunoda kwete mari chete asi mazano akangwara kana zvirahwe.",polywrite,monolingual,shona
3778,Nyora nhaurirano pakati pemunhu mupenyu nechipoko chinopa mazano eupenyu asingatarisirwi.,polywrite,monolingual,shona
3779,Fungidzira guta riri pasi pevhu rine simba nezvinomera zvebioluminescent. Zvinetso zvipi zvinosangana nevagari vemo?,polywrite,monolingual,shona
3780,Nyora email yekutevera kune angangoita mutengi akaratidza kufarira chigadzirwa chako. Vayeuchidze nezvezvakanakira uye vape kupindura chero mibvunzo.,polywrite,monolingual,shona
3781,Nyora email kune dhipatimendi rebasa revatengi rekambani kuti ugadzirise chiitiko chisina kunaka chawakava nacho nebasa ravo. Tsanangura dambudziko uye ratidza kuti ungada kuti rigadziriswe sei.,polywrite,monolingual,shona
3782,Nyora email kushamwari yepedyo kana nhengo yemhuri uchigovera nhau dzinonakidza. Vaudze zvizere uye kuti uri kunzwa sei nezvazvo.,polywrite,monolingual,shona
3783,Nyora email uchitenda nhengo yemhuri kana shamwari nechipo chavakakupa. Nyatsotaura kuti nei uchikoshesa chipo uye kuti unoronga kuchishandisa sei.,polywrite,monolingual,shona
3784,Gadzira nhaurirano pakati pemuchadenga nemutorwa anotaurirana achishandisa mavara pachinzvimbo chemazwi.,polywrite,monolingual,shona
3785,Nyora nyaya pamusoro peboka remagamba akasiya basa anobva pamudyandigere kune imwe yekupedzisira mishoni.,polywrite,monolingual,shona
3786,Chikwata chevaongorori chinowana budiriro yakavanzika iyo isina kumbobatwa nenyika dzekunze kwemazana emakore. Vanodyidzana sei nenzanga iyi?,polywrite,monolingual,shona
3787,"Nyora email kuhofisi yekubvumirwa yeyunivhesiti uchikumbira ruzivo nezvechirongwa chakati. Bvunza nezve maitiro ekunyorera, mazuva ekupedzisira, nezvimwe.",polywrite,monolingual,shona
3788,"Rondedzera sisitimu yebasa apo basa rega rega repamba rinoshandurwa kuita mini-mutambo, wakakwana nemazinga, mibairo, uye zvisingatarisirwe zvinonetsa.",polywrite,monolingual,shona
3789,Nyora email kumumiriri webasa revatengi uchibvunza nezve kuwanikwa uye kutsanangurwa kwechigadzirwa chauri kufarira kutenga.,polywrite,monolingual,shona
3790,"Rondedzera maitirwo ebasa ari kure, asi pachinzvimbo chekushanda kubva kumba, hunhu huri kushanda kubva kunzvimbo dzakasiyana dzinonakidza (sezvitsuwa zvinoyangarara kana masango ane masango).",polywrite,monolingual,shona
3791,"Nyora email kune vaunodzidza navo vachironga chirongwa cheboka. Rongedza mabasa, isa mazuva ekupedzisira, uye taura nguva yemusangano yekukurukura mafambiro.",polywrite,monolingual,shona
3792,"Muupenyu hwapashure porufu, mweya inotongwa kwakavakirwa pandangariro dzomutsa dzayakasiya shure. Munhu anoona kuti mari yave kupera.",polywrite,monolingual,shona
