id,prompt,source,task,language
2900,"Wlan tan ɖé dó gbɛ̌ta hlɔnhlɔnnɔ ɖaxó e ko yì gbɔjɛ lɛ é tɔn ɖé wu, bɔ ye gosin gbɔjɛyiyi mɛ nú azɔ̌ gudogudo tɔn ɖé.",polywrite,monolingual,fongbe
2901,Nukɔnyiyi nǔnywɛ xwitixwiti tɔn ko ɖyɔ lee gbɛtɔ́ lɛ nɔ ɖɔ xó ɖó kpɔ́ gbɔn é. Lè kpo nǔ nyanya kpo tɛ lɛ nukɔnyiyi enɛ ka hɛn wá?,polywrite,monolingual,fongbe
2902,"Tinmɛ gbɛ̀ e ɖò nǔ lɛ bǐ gudo é ɖé, bɔ é vɔ́ éɖée blóɖó bo huzu utopie ɖé, amɔ̌, nǔ e ɖò hwlahwlá bo ɖò fífá tɔn hɛn gblé wɛ é ɖé ɖò finɛ.",polywrite,monolingual,fongbe
2903,"Wlan e-mail ɖé sɛ́dó azɔ̌xɔsa e nɔ yí mɛ lɛ é ɖò wemaxɔmɛ ɖaxó ɖé bo byɔ nǔ dó tuto ɖé wu. Kanbyɔ lee è na bló wema ɔ gbɔn é, azǎn e jí è ɖó na fó azɔ̌ ɔ dó é, kpo nǔ ɖevo lɛ kpo.",polywrite,monolingual,fongbe
2904,"Xɔ́ntɔn ɖé lɛ klɛ́n afɔ dó wema xóxó ɖé jí, bɔ é ɖɔ xó dó nǔwiwa e è nɔ wà bo nɔ ylɔ nǔmɛsɛn e è wɔn é ɖé jí. Ye nɔ bló mɔ̌ ɖi ayihun ɖé ɖɔhun, kaka jɛ hwenu e é na w’azɔ̌ é.",polywrite,monolingual,fongbe
2905,"Wlan e-mail ɖé sɛ́dó azɔ̌xɔsa e nɔ kpé nukún dó axisinɔ lɛ wu ɖò azɔ̌xwé ɖé é, bo na dó ɖɔ xó dó nǔ nyanya e a mɔ ɖò azɔ̌ yetɔn mɛ é ɖé jí. Tinmɛ tagba ɔ bo ɖɔ lee a jló ɖɔ è ni ɖeɖɛ gbɔn é.",polywrite,monolingual,fongbe
2906,"Ðǒ tan ɖé bɔ nǔɖuɖu ɖaɖa ayihɔngbe ayihɔngbe tɔn na huzu nǔɖiɖa sín nǔwiwa ɖé —nǔ e è nɔ zán lɛ é ɖokpo ɖokpo gosin tò majiki tɔn ɖé mɛ, bo nɔ byɔ ɖɔ è ni kpé nukún dó ye wu ɖò ali bunɔ ɖé nu.",polywrite,monolingual,fongbe
2907,"Wlan e-mail ɖé sɛ́dó mɛ̌si ɖé bo kan nǔ byɔ ɛ dó ali e sixu hun nú we bɔ a na ba dò nú nǔ lɛ é wu. Tɛɖɛ̌ nǔ e nɔ dɔn we lɛ é jí, bo tinmɛ nǔ e wu a jló na w’azɔ̌ xá ye é.",polywrite,monolingual,fongbe
2908,"Dǒ nukún axixɔsa sɔgudo tɔn ɖé mɛ kpɔ́n, bɔ macinu e AI nɔ zán lɛ é nɔ d’alɔ axisinɔ lɛ, amɔ̌, ye ɖó linlin yeɖesunɔ tɔn. Nɛ̌ enɛ ka nɔ wà nǔ dó nǔxixo wu gbɔn?",polywrite,monolingual,fongbe
2909,Wlan e-mail ɖé sɛ́dó mɛ e nɔ kpé nukún dó axisinɔ lɛ wu é ɖé bo kan nǔ byɔ ɛ dó nǔ e a jló na xɔ é ɖé wu à jí.,polywrite,monolingual,fongbe
2910,"Wlan e-mail ɖé dó mɛ e sixu wá xɔ nǔ nú we é ɖé, bɔ é ɖɔ ɖɔ nǔ e a nɔ sà é jló emi. Flín lè e ɖ’emɛ lɛ é ye, bo ɖɔ ɖɔ emi na na xósin nú nùkanbyɔ ɖebǔ.",polywrite,monolingual,fongbe
2911,Hɔn e ɖò nǔglɔ é ɖé tɔ́n ɖò zunkan ɔ mɛ bo nɔ kplá mɛ yì acɛkpikpa fae tɔn mɛ. Etɛ tomɛyitɔ́ nukɔntɔn lɛ ka mɔ ɖò akpá ɖevo xwé?,polywrite,monolingual,fongbe
2912,Enyi sinmɛ e ɖò gbɛ̀ ɔ mɛ lɛ é bǐ jɛ ɖiɖekpo jí ɖokpo ɖokpo ɔ ka lo? Tinmɛ nǔ e nɔ jɛ hwenu e sinmɛ ɖokpo géé kpò é.,polywrite,monolingual,fongbe
2913,"Ðò azɔ̌xɔsa majiki tɔn ɖé mɛ ɔ, azɔ̌watɔ́ lɛ nɔ zán amasin lɛ dó bló bɔ azɔ̌ vovo lɛ nɔ w’azɔ̌ ganji. Etɛ ka nɔ jɛ hwenu e mɛɖé nu amasin e ma sɔgbe ǎ é nú azɔ̌ e ma sɔgbe ǎ é é?",polywrite,monolingual,fongbe
2914,"Tinmɛ gbɛ̀ e mɛ togun lɛ nɔ nɔ tɔtɛntinto e ɖò xixo wɛ ɖò jinukúnsin lɛ é jí é ɖé, bɔ è nɔ bɛ́ nǔɖokan lɛ gbɔn balɔ́ɔn ɖaxó ɖaxó lɛ sín hlɔnhlɔn jí.",polywrite,monolingual,fongbe
2915,"Wlan nǔ dó alɔgɔtɔ́ mɛɖesunɔ tɔn AI tɔn ɖé wu, bɔ é nɔ jɛ azɔ̌ lɛ tinmɛ jí kpo nǔnywɛ kpo, bo nɔ wà nǔ e nɔ d’alɔ mɛ lɛ é kpo ee è ma sixu tuùn ǎ lɛ é kpo wu.",polywrite,monolingual,fongbe
2916,Wlan e-mail sɛ́dó xɔ́ntɔn towe vívɛ́ ɖé alǒ hagbɛ̌ xwédo towe tɔn ɖé bo má wɛn ɖagbe ɖé. Ðɔ nǔ lɛ bǐ kpo lee nǔ cí nú we é kpo nú ye.,polywrite,monolingual,fongbe
2917,"Dǒ nukún mɛ bo kpɔ́n ɖɔ emi ɖò xwé e sixu klɔ́ éɖesunɔ é ɖé mɛ, bo ka nɔ ɖó ‘linlin’ éɖesunɔ tɔn lɛ dó lee mimɛ̌jininɔ ɖó na cí é wu. Tagba tɛ lɛ ka nɔ fɔ́n?",polywrite,monolingual,fongbe
2918,"Ðò sɔgudo e AI na ɖò acɛ kpa wɛ é ɖé mɛ ɔ, gbeta gudogudo tɔn e è na gbè gbɛtɔ́ lɛ bɔ ye na wá é wɛ nyí nǔ e ye jló na flín kaka sɔyi é.",polywrite,monolingual,fongbe
2919,"Sɔ́ e-mail ɖé sɛ́dó azɔ̌mɛvígbɛ́ towe ɖěɖee ɖò azɔ̌ gbɛ̌ta tɔn ɖé bló wɛ lɛ é. Sɔ́ azɔ̌ lɛ nú mɛ lɛ, sɔ́ azǎn e jí è na fó azɔ̌ lɛ dó é, bo ɖɔ hwenu e è na bló kplé ɔ dó é, bo ɖɔ xó dó nukɔnyiyi jí.",polywrite,monolingual,fongbe
2920,Wlan e-mail sɛ́dó mɛ̌si towe bo byɔ ɖɔ è ni jla azɔ̌ ɖé ɖó nú emi. Tinmɛ ninɔmɛ towe bo na hwenu e a sixu fó azɔ̌ ɔ é ɖé.,polywrite,monolingual,fongbe
2921,"Mɛ e nɔ ba dò nú nǔ lɛ é sín gbɛ̌ta ɖé mɔ togun e ɖò hwlahwlá é ɖé, bɔ gbɛ̀ e ɖò kɔ́xota é ko ɖ’alɔ wu ǎ sín xwè kanweko mɔkpan ɖíe. Nɛ̌ ye ka nɔ wà nǔ xá gbɛ̌ta enɛ gbɔn?",polywrite,monolingual,fongbe
2922,Mɛɖé lɛ ɖi nǔ ɖɔ azɔ̌ kpo gbɛzán kpo sín jlɛ̌jininɔ vɛwǔ égbé hú ɖ’ayǐ tɔn. Bǎ tɛ mɛ a ka yí gbè nú xó enɛ alǒ gbɛ́ ɖó?,polywrite,monolingual,fongbe
2923,"Mi bló xójlawema ɖé sín mɛ e nɔ ba dò nú nǔ ɖò hwenuxó mɛ é ɖé gɔ́n, bɔ é klɛ́n afɔ dó ayikúngban e ma ɖò ɖiɖe ɖebǔ jí ǎ é jí.",polywrite,monolingual,fongbe
2924,"Mɛɖé lɛ ɖi nǔ ɖɔ mɛjitɔ́ lɛ kɛɖɛ wɛ ɖó na kpé nukún dó vǐ lɛ kpinkplɔn wu, bɔ mɛ ɖevo lɛ ka lin ɖɔ acɛkpikpa ɔ ɖó na ɖ’alɔ ɖò nǔ enɛ mɛ. Ðɔ xó dó linlin wè lɛ bǐ jí bo na linlin towe.",polywrite,monolingual,fongbe
2925,A bɛ́ azɔ̌ yɔyɔ̌ ɖé dìn bo jló na ɖè hwiɖée xlɛ́ gbɛ̌ta towe sín hagbɛ̌ lɛ. Wlan e-mail ɖé bo dó xlɛ́ hwiɖée bo lɛ́ ɖɔ lee akpàkpà sɔ́ we sɔ ɖɔ emi ɖò azɔ̌ wà ɖó kpɔ́ wɛ é.,polywrite,monolingual,fongbe
2926,"Mi lin tamɛ dó azɔ̌xɔsa ɖé jí bɔ azɔ̌watɔ́ ɖokpo ɖokpo nɔte nú lee nǔ nɔ cí nú mɛ é vovo (kpɔ́ndéwú ɔ, awǎjijɛ, xomɛsin, nukúnkɛ́n). Nɛ̌ ye ka nɔ kpé nukún dó azɔ̌ ayihɔngbe ayihɔngbe tɔn lɛ kpo kplé lɛ kpo wu gbɔn?",polywrite,monolingual,fongbe
2927,"Blǒ xóɖɔɖókpɔ́ ɖé ɖò jɔmɛhunkuntɔ́ ɖé kpo jonɔ e nɔ ɖɔ xó gbɔn sinmɛ lɛ gblamɛ, bo ma nɔ zán xógbe lɛ ǎ é kpo tɛntin.",polywrite,monolingual,fongbe
2928,"Wlan nǔ dó azɔ̌ e è nɔ wà ɖò axi e mɛ nǔsatɔ́ lɛ nɔ sà nǔ e ɖò gbɛ̀ ɔ mɛ lɛ é kpo nǔ e è nɔ zán ɖò majiki mɛ lɛ é kpo ɖè é wu, bɔ nǔxixa nɔ byɔ akwɛ kɛɖɛ ǎ, loɔ, adingban alǒ nǔjlɛdonǔwu e è nɔ zán kpo nǔnywɛ kpo lɛ é nɔ byɔ.",polywrite,monolingual,fongbe
2929,"Sɔ́ e-mail ɖé sɛ́dó axisinɔ xɔ akwɛ ɖé bo dókú n’i ɖó ajɔ̌ e é kpó ɖò yiyi wɛ é wu, bo lɛ́ ɖɔ nǔ bunɔ ɖé nú ye dó nǔjlajla ɖé alǒ nǔ e è xwlé mɛ é ɖé wu.",polywrite,monolingual,fongbe
2930,Dǒ nukún toxo ɖaxó e ɖò ayikúngban glɔ́ bɔ atín e nɔ kɔ́n lɛ é nɔ na hlɔnhlɔn é ɖé mɛ kpɔ́n. Wuvɛ̌ tɛ lɛ mɛ e nɔ nɔ finɛ lɛ é ka nɔ mɔ?,polywrite,monolingual,fongbe
2931,"Xwè gudogudo tɔn elɔ lɛ mɛ ɔ, nǔxixo ɖò Ɛntɛnɛti jí jɛji tawun. Etɛ lɛ ka zɔ́n bɔ nǔ enɛ ɖò jijɛ wɛ, bɔ etɛ é ka wà dó ajɔ̌watɔ́ xá ɔ mɛ tɔn lɛ wu?",polywrite,monolingual,fongbe
2932,"È lɛ́vɔ mɔ axɔsuɖuto e è lin ɖɔ é bú ɖò hwenuxó mɛ é ɖé, amɔ̌, togun tɔn ko kpò ɖò xwè kanweko mɔkpan ɖíe ǎ. Etɛ ka jɛ dó ye wu?",polywrite,monolingual,fongbe
2933,"Sɔ́ e-mail ɖé dó xlɛ́ ɖɔ mɛ yɔyɔ̌ ɖé wlan nyikɔ dó xójlawema azɔ̌xwé towe tɔn mɛ. Dókú nú ye ɖɔ ye wlan nyikɔ dó wema mɛ, ɖɔ nǔ e ye ɖó na ɖó nukún é nú ye, bo lɛ́ sɔ́ xó e è ylɔ ɖɔ ye ni wà nǔ é ɖé dó ɖ’emɛ.",polywrite,monolingual,fongbe
2934,"Wlan email bo na do xwedo azɔmɛ xokanbyɔmɛ e a blo ɖo azan we ɖie ɔ. Ðɔ ɖɔ tɛn ɔ kpó ɖò jlǒ ɖó wɛ nú we, dókú nú mɛ e ɖò nǔ kanbyɔ we wɛ é nú hwenu e é zán é, bo byɔ ɖɔ è ni ɖɔ xó yɔyɔ̌ lɛ.",polywrite,monolingual,fongbe
2935,Lin tamɛ dó axɔsuɖuto e mɛ lee nǔ nɔ cí nú mɛ é nɔ ɖu ɖò ninɔmɛ ɔ jí é ɖé jí. Ðɔ azǎn ɖé ɖò toví e nɔ nɔ finɛ é ɖé sín gbɛzán mɛ.,polywrite,monolingual,fongbe
2936,"Wlan xóɖɔɖókpɔ́ ɖé ɖò axɔsuví wè e ɖò gbè kpɔ́ wɛ bo na ɖè axɔsu vívɛ́ná ɖé sín acɛ jí é ɖé tɛntin, amɔ̌, bo ɖɔ ɖɔ ye mɛ ɖokpo ɖó ajenda e ɖò hwlahwlá é ɖé.",polywrite,monolingual,fongbe
2937,Dǒ nukún gbɛ̀ e mɛ è nɔ bɛ́ lee nǔ nɔ cí nú mɛ é dó go mɛ bo nɔ sà é ɖé mɛ kpɔ́n. Nɛ̌ enɛ ka na ɖyɔ lee gbɛtɔ́ lɛ nɔ wà nǔ xá yeɖée gbɔn é kpo gbɛ̌ta yetɔn kpo gbɔn?,polywrite,monolingual,fongbe
2938,"Mɛxomɔ gègě kpó ɖò nǔwukpikpé taji e kúnkplá nǔ e è nɔ zán ɖò alokan jí lɛ é ɖó wɛ ɖò gbɛ̀ égbé tɔn mɛ ǎ. Hwɛjijɔ tɛ lɛ ka ɖò mɔ̌, bɔ etɛ è ka sixu wà bo na dó bló bɔ è na tuùn wemaxixa ɖò alokan jí?",polywrite,monolingual,fongbe
2939,"Sɔ́ e-mail ɖé dó ylɔ xɔ́ntɔn towe lɛ wá xwè e a ɖò wiwa wɛ é ɖé tɛnmɛ. Sɔ́ nǔ ɖěɖee kúnkplá azǎn ɔ, ganmɛ ɔ, fí ɔ kpo nǔwiwa bunɔ ɖebǔ e è na bló é kpo.",polywrite,monolingual,fongbe
