id,prompt,source,task,language
3174,Weregodị ya na ị na-ebi n&#39;ụlọ nke nwere ike ịsacha onwe ya ma malite &#39;echiche&#39; nke ya banyere otú ịdị ọcha kwesịrị ịdị. Olee nsogbu na-ebilite?,polywrite,monolingual,igbo
3175,Cheedị echiche ka okike na-abụ abụ lullaby n&#39;ụwa tupu abalị adaa. Kedu okwu na onyonyo ọ ga-eji?,polywrite,monolingual,igbo
3176,Dee maka mbara ala nke ụdị dị elu mebere ya mana agbahapụla ya. Gịnị ka ndị ọhụrụ bi na ya chọpụtara banyere ezi nzube ya?,polywrite,monolingual,igbo
3177,"Teleportation bụ ụdị njem a na-ahụkarị, mana ọgbaghara na-eme ka ndị njem na-arapara nwa oge n&#39;etiti ebe. Kọwaa otu ndị mmadụ si edozi nsogbu a kwa ụbọchị.",polywrite,monolingual,igbo
3178,Dee mkparịta ụka n&#39;etiti onye dị ndụ na mmụọ nke na-enye ndụmọdụ ndụ na-atụghị anya ya.,polywrite,monolingual,igbo
3179,Weregodị ya na ị na-ahụ otu obodo dị n&#39;okpuru ala na-agbasa nke osisi bioluminescent na-akwado. Olee nsogbu ndị bi na ya na-enwe?,polywrite,monolingual,igbo
3180,Dee email na-esochi nye onye ahịa nwere ike igosi mmasị na ngwaahịa gị. Chetara ha uru ma nye azịza ajụjụ ọ bụla.,polywrite,monolingual,igbo
3181,Dee ozi-e na ngalaba ọrụ ndị ahịa nke ụlọ ọrụ iji lebara ahụmịhe na-adịghị mma ị nwere na ọrụ ha. Kọwaa nsogbu ahụ wee tụọ aro ka ị ga-achọ ka edozi ya.,polywrite,monolingual,igbo
3182,Dee ozi-e nye ezigbo enyi gị ma ọ bụ onye ezinaụlọ na-ekerịta ozi na-atọ ụtọ. Gwa ha nkọwa ya na mmetụta gị maka ya.,polywrite,monolingual,igbo
3183,Dee ozi-e na-ekele onye òtù ezinụlọ ma ọ bụ enyi maka onyinye ha nyere gị. Kwuo kpọmkwem ihe mere i ji jiri onyinye ahụ kpọrọ ihe na otú i si eme atụmatụ iji ya mee ihe.,polywrite,monolingual,igbo
3184,Mepụta mkparịta ụka n&#39;etiti onye na-enyocha mbara igwe na onye mbịarambịa nke na-eji agba na-ekwurịta okwu kama okwu.,polywrite,monolingual,igbo
3185,Dee akụkọ gbasara otu ndị dike lara ezumike nka bụ ndị si na ezumike nka pụta maka otu ozi ikpeazụ.,polywrite,monolingual,igbo
3186,Otu ndị enyi na-asụ ngọngọ n&#39;elu akwụkwọ ochie nke na-akọwa ememe ịkpọ chi echefuru echefu. Ha na-eme ya dị ka egwuregwu - ruo mgbe ọ ga-arụ ọrụ.,polywrite,monolingual,igbo
3187,"Dee email na ụlọ ọrụ nnabata nke mahadum na-arịọ ozi gbasara otu mmemme. Jụọ maka usoro ngwa, oge imecha, wdg.",polywrite,monolingual,igbo
3188,"Kọwaa usoro ọrụ ebe a na-atụgharị ọrụ ụlọ ọ bụla ka ọ bụrụ obere egwuregwu, juputara na ọkwa, ụgwọ ọrụ na ihe ịma aka ndị a na-atụghị anya ya.",polywrite,monolingual,igbo
3189,Dee ozi-e nye onye nnochite anya ndị ahịa na-ajụ ajụjụ maka nnweta na nkọwapụta nke ngwaahịa ị nwere mmasị ịzụrụ.,polywrite,monolingual,igbo
3190,"Kọwaa usoro ọrụ dịpụrụ adịpụ, mana kama isi n&#39;ụlọ na-arụ ọrụ, agwa ahụ na-arụ ọrụ site na ebe dị egwu dị iche iche (dị ka agwaetiti na-ese n&#39;elu mmiri ma ọ bụ oke ọhịa mara mma).",polywrite,monolingual,igbo
3191,"Dee ozi-e nye ụmụ klas gị na-ahazi ọrụ otu. Kenye ihe aga-eme, wepụta oge ngwụcha, ma tụọ oge nzụkọ iji kparịta ọganihu.",polywrite,monolingual,igbo
3192,"N&#39;ime ndụ mgbe a nwụsịrị, a na-ekpe mkpụrụ obi ikpe dabere na ncheta nke obiọma ha hapụrụ. Otu agwa na-achọpụta na ego agwụla ha.",polywrite,monolingual,igbo
3193,"Onye nyocha na-eteta n&#39;ụra na-enweghị ncheta nke awa 48 gara aga, naanị ịchọpụta na ha bụ onye a na-enyo enyo na nnukwu mpụ. Olee otú ha si egosi na aka ha dị ọcha?",polywrite,monolingual,igbo
3194,Ndị ọrụ ụgbọ mmiri tọrọ atọ n&#39;agwaetiti dị omimi nke na-agbanwe ọdịdị ala ya mgbe niile ma na-ezochi ihe nzuzo oge ochie.,polywrite,monolingual,igbo
3195,Dee ozi-e nye onye prọfesọ na-ajụ maka ohere nyocha nwere ike. Kọwapụta mmasị gị ma kọwaa ihe mere ị ga-eji chọọ ka gị na ha rụkọọ ọrụ.,polywrite,monolingual,igbo
3196,"Ụfọdụ kwenyere na mgbasa ozi mgbasa ozi nwere mmetụta dị mma na ọha mmadụ, ebe ndị ọzọ na-eche na ọ nwere mmetụta ọjọọ. Kwurịtara echiche abụọ ma kwuo echiche gị.",polywrite,monolingual,igbo
3197,"Ngwa ọhụrụ na-ekwu na ọ na-eṅomi &#39;ụbọchị ọrụ zuru oke&#39; dabere na omume na mmasị mmadụ. Dee banyere onye nwara ya, naanị chọpụta na ọ dị oke egwu karịa ka ha tụrụ anya ya.",polywrite,monolingual,igbo
