id,prompt,source,task,language
4074,"Wo fitness tracker no fi ase de afotu a ɛfa wo ho, ɛkame ayɛ sɛ psychic ho ma wo. Ɔkwan bɛn so na ɛsakra wo nhyehyɛe, na dɛn ne ne nhyehyɛe a ahintaw?",polywrite,monolingual,twi
4075,Twerɛ email kɔma w’adamfo paa anaa w’abusua muni bi a ɔka nsɛm a ɛyɛ anigyeɛ. Ka nsɛm a ɛkɔ akyiri ne sɛnea wote nka wɔ ho kyerɛ wɔn.,polywrite,monolingual,twi
4076,"Ka kuw bi a wɔsɔre tia asɛm wɔ nniso a ɛhyɛ nkurɔfo so wɔ abakɔsɛm mu ho asɛm, ne abrabɔ pa ho nsɛnnennen a wohyia na ama wɔatumi atra ase.",polywrite,monolingual,twi
4077,"Ka da biara da akwantu a ɛkɔ kurow bi a ɛyɛ nsusuwii hunu a abɔde a wɔyɛ nkonyaayi ahyɛ mu ma mu, baabi a ɔmanfo kar ka nteaseɛnam a wɔde nkonyaayi, abɔde a wotu, anaa apon ano ho asɛm.",polywrite,monolingual,twi
4078,Yɛ asɛm bi a da biara da aduan a wosiesie dan aduannoa ho anigye —nneɛma biara fi anwanwade asase so na ɛhwehwɛ sɛ wodi ho dwuma titiriw.,polywrite,monolingual,twi
4079,Kyerɛw email kɔma ɔbenfo bi bisa nhwehwɛmu hokwan ahorow a ebetumi aba ho asɛm. Twe adwene si nneɛma a w’ani gye ho so na kyerɛkyerɛ nea enti a wobɛpɛ sɛ wo ne wɔn yɛ adwuma no mu.,polywrite,monolingual,twi
4080,"Kyerɛkyerɛ adwuma bi a wɔyɛ wɔ akyirikyiri mu, nanso sɛ́ anka obefi fie ayɛ adwuma no, nea ɔyɛ nipa no fi mmeae ahorow a ɛyɛ nwonwa (te sɛ nsupɔw a ɛsensɛn nsu so anaa kwae a wɔayɛ no nwonwa) reyɛ adwuma.",polywrite,monolingual,twi
4081,Kyerɛw anwensɛm bi a wɔde bere biara yɛ onipa na wɔde wɔn ho hyɛ nkɔmmɔbɔ a ɛfa asetra mu kyinhyia ho mu.,polywrite,monolingual,twi
4082,Fa no sɛ wote ofie a etumi siesie ne ho nanso enya n’ankasa ‘adwene’ wɔ sɛnea ɛsɛ sɛ ahotew yɛ ho. Ɔhaw ahorow bɛn na ɛsɔre?,polywrite,monolingual,twi
4083,"Fa no sɛ daakye sotɔɔ bi a wɔtɔn nnuan a robɔt a wɔde AI di dwuma boa adetɔfo, nanso wɔwɔ wɔn ankasa adwene. Ɔkwan bɛn so na eyi ka adetɔ ho osuahu no?",polywrite,monolingual,twi
4084,Adwumayɛfo bi kɔda supɔw bi a ɛyɛ ahintasɛm a ɛsakra n’asase so bere nyinaa na ɛde tete ahintasɛm sie so.,polywrite,monolingual,twi
4085,Kyerɛw email kɔma adwumakuw bi atɔfo som dwumadibea de di osuahu bɔne bi a wunyae wɔ wɔn som adwuma no ho dwuma. Kyerɛkyerɛ ɔhaw no mu na kyerɛ sɛnea wobɛpɛ sɛ wosiesie.,polywrite,monolingual,twi
4086,Ebinom gye di sɛ adwuma ne asetra a wɔbɛkari pɛ no yɛ den nnɛ sen bere a atwam no. Wopene asɛm yi so anaasɛ wo ne no nyɛ adwene kodu he?,polywrite,monolingual,twi
