id,prompt,source,task,language
2700,አንድ አዲስ መተግበሪያ በግለሰብ ልማዶች እና ምርጫዎች ላይ በመመስረት &#39;ፍጹሙን የስራ ቀን&#39; አስመስሎ እንደሚሠራ ይናገራል። ስለሞከረው ሰው ይጻፉ፣ ከጠበቁት በላይ በጣም ኃይለኛ እንደሆነ ለማወቅ ብቻ።,polywrite,monolingual,amharic
2701,እንደ ሲምፎኒ የበዛበት ከተማ ሪትም እና ድምጾች የሚይዝ ግጥም ፃፉ።,polywrite,monolingual,amharic
2702,በተራቀቁ ዝርያዎች ስለተሠራች ነገር ግን ስለተተወች ፕላኔት ጻፍ። አዲሶቹ ነዋሪዎች ስለ እውነተኛ ዓላማው ምን አወቁ?,polywrite,monolingual,amharic
2703,በሕዝብ ማመላለሻ ላይ ከተለያዩ የሕይወት ዘርፎች በሚመጡ መንገደኞች መካከል ስለሚደረጉት ያልተለመዱ ግን አጭር ንግግሮች ይጻፉ።,polywrite,monolingual,amharic
2704,በጠፈር ተመራማሪ እና በቃላት ፈንታ ቀለማትን በመጠቀም በሚግባባ የውጭ ዜጋ መካከል ውይይት ይፍጠሩ።,polywrite,monolingual,amharic
2705,ስልጣኔዎች በሰማይ ላይ በሚገኙ ተንሳፋፊ ደሴቶች ላይ የሚኖሩበትን፣ እና ሀብቶች በግዙፍ ፊኛዎች መረብ የሚጓጓዙበትን ዓለም ይግለጹ።,polywrite,monolingual,amharic
2706,ለምርትዎ ፍላጎት ለገለጸ ደንበኛ ተከታይ ኢሜይል ይጻፉ። ጥቅሞቹን አስታውሳቸው እና ማንኛውንም ጥያቄ እንዲመልሱ ያቅርቡ።,polywrite,monolingual,amharic
2707,በአገልግሎታቸው ላይ ያጋጠመዎትን ደካማ ተሞክሮ ለመፍታት ለኩባንያው የደንበኞች አገልግሎት ክፍል ኢሜይል ይጻፉ። ችግሩን ያብራሩ እና እንዴት እንዲፈታ እንደሚፈልጉ ይጠቁሙ።,polywrite,monolingual,amharic
2708,አስደሳች ዜናን ለሚጋራ የቅርብ ጓደኛ ወይም የቤተሰብ አባል ኢሜይል ይጻፉ። ዝርዝሮቹን እና ስለሱ ምን እንደሚሰማዎት ይንገሯቸው።,polywrite,monolingual,amharic
2709,ለቤተሰብዎ አባል ወይም ጓደኛዎ ለሰጡዎት ስጦታ በማመስገን ኢሜይል ይጻፉ። ስጦታውን ለምን እንደሚያደንቁ እና እሱን እንዴት ለመጠቀም እንዳሰቡ በግልጽ ይናገሩ።,polywrite,monolingual,amharic
2710,በድብቅ የልጅነት ጓደኞች በሆኑ መርማሪ እና በወንጀለኞች ዋና አስተዳዳሪ መካከል ውይይት ይጻፉ።,polywrite,monolingual,amharic
2711,ወደፊት በ AI ቁጥጥር ስር፣ ሰዎች እንዲወስኑ የተፈቀደላቸው የመጨረሻው ውሳኔ የትኛውን ትውስታ ለዘላለም ማቆየት እንደሚፈልጉ ነው።,polywrite,monolingual,amharic
2712,የጓደኛዎች ቡድን የተረሳ አምላክን ለመጥራት የአምልኮ ሥርዓትን በሚገልጽ አሮጌ መጽሐፍ ላይ ይሰናከላል. እንደ ቀልድ ያከናውናሉ - እስኪሰራ ድረስ.,polywrite,monolingual,amharic
2713,ስለ አንድ የተወሰነ ፕሮግራም መረጃ ለመጠየቅ ለዩኒቨርሲቲ መግቢያ ቢሮ ኢሜይል ይጻፉ። ስለ ማመልከቻው ሂደት፣ የግዜ ገደቦች ወዘተ ይጠይቁ።,polywrite,monolingual,amharic
2714,ንጽህና ምን መምሰል እንዳለበት የራሱን ‘አመለካከቶች’ በሚያዳብር ቤት ውስጥ መኖርን አስብ። ምን ችግሮች ይነሳሉ?,polywrite,monolingual,amharic
2715,ለመግዛት የሚፈልጉትን ምርት ስለመገኘት እና ዝርዝር መግለጫ ለደንበኛ አገልግሎት ተወካይ ኢሜይል ይጻፉ።,polywrite,monolingual,amharic
2716,የርቀት ስራን ይግለጹ፣ ነገር ግን ከቤት ከመሥራት ይልቅ፣ ገፀ ባህሪው ከተለያዩ ድንቅ ቦታዎች (እንደ ተንሳፋፊ ደሴቶች ወይም የተደነቁ ደኖች) እየሰራ ነው።,polywrite,monolingual,amharic
2717,የቡድን ፕሮጀክትን የሚያስተባብሩ ለክፍል ጓደኞችዎ ኢሜይል ይጻፉ። ተግባሮችን ይመድቡ፣ የጊዜ ገደቦችን ያስቀምጡ እና ስለ ሂደት ለመወያየት የስብሰባ ጊዜ ይጠቁሙ።,polywrite,monolingual,amharic
