prompt,prompt_en
Farito ny andro iray eto an-tany izay nivadika tampoka ny herin&#39;ny sinton&#39;ny tany nandritra ny ora vitsivitsy. Ahoana no fihetsiky ny olona sy ny biby?,Describe a day on Earth where gravity suddenly reverses for a few hours. How do people and animals react?
Mamorona toetra iray izay mahery fo taloha fa lasa olon-dratsy noho ny tsy fifankahazoana mahatsiravina.,Create a character who was once a hero but has become a villain due to a tragic misunderstanding.
Manorata momba ny toetra iray izay farany amin&#39;ny karazany niainany tao amin&#39;ny tontolo iray izay nifindra tsy nisy azy ireo.,Write about a character who is the last of their kind living in a world that has moved on without them.
Mamorona toetra izay efa velona ny aloka ary miasa toy ny mpiara-miasa aminy.,Create a character whose shadow has come to life and acts as their mischievous counterpart.
"Manorata mailaka hanarahana ny dinidinika momba ny asa nataonao roa herinandro lasa izay. Asehoy ny fahaliananao mitohy amin&#39;ilay toerana, misaotra ny mpanadinadina tamin&#39;ny fotoanany, ary mangataha fanavaozam-baovao.","Write an email to follow up on a job interview you had two weeks ago. Express your continued interest in the position, thank the interviewer for their time, and ask for updates."
Mila mandamina fivoriana miaraka amin&#39;ny mpiara-miasa iray ianao mba hiresaka momba ny fandrosoan&#39;ny tetikasa iray. Manorata mailaka mihaja mangataka fotoana mety amin&#39;ny fivoriana ary manomeza drafitra fohy.,You need to schedule a meeting with a colleague to discuss the progress of a project. Write a polite email requesting a suitable time for the meeting and provide a brief outline.
Manorata mailaka any amin&#39;ny mpanara-maso anao hangataka valiny momba ny tatitra vao haingana nalefanao. Asehoy ny fahaliananao amin&#39;ny fanatsarana ny asanao ary mangataha soso-kevitra manokana.,Write an email to your supervisor asking for feedback on a recent report you submitted. Express your interest in improving your work and ask for specific suggestions.
"Mamorona mailaka amin&#39;ny mpitantana anao miala tsiny noho ny tsy fahampian&#39;ny fe-potoana farany amin&#39;ny tetikasa. Hazavao ny anton&#39;ny fahatarana, ary soraty ny dingana ataonao mba tsy hiverenan&#39;izany intsony.","Compose an email to your manager apologizing for missing a project deadline. Explain the reason for the delay, and outline your steps to ensure it won’t happen again."
"Manorata mailaka amin&#39;ny mpivarotra iray izay nandefa vokatra diso na simba. Hazavao amim-pahalalam-pomba ilay olana, omeo antsipiriany, ary mangataha famerenam-bola na fanoloana.","Write an email to a vendor who delivered incorrect or damaged products. Politely explain the issue, provide details, and request a refund or replacement."
Manorata mailaka any amin&#39;ny solontenan&#39;ny serivisy mpanjifa manontany momba ny fisian&#39;ny vokatra iray tianao hovidina.,Write an email to a customer service representative inquiring about the availability and specifications of a product you are interested in purchasing.
Nahatsikaritra fiampangana diso tamin&#39;ny faktiora isam-bolanao ianao. Manorata mailaka any amin&#39;ny departemantan&#39;ny faktiora manazava ny olana ary mangataha fanitsiana.,You’ve noticed an incorrect charge on your monthly bill. Write an email to the billing department explaining the issue and asking for a correction.
"Mamorona mailaka ho an&#39;ny mpanjifa manan-danja iray misaotra azy ireo noho ny fanohizana ny orinasany, ary ampahafantaro azy ireo momba ny fampiroboroboana na tolotra manokana.","Compose an email to a valued customer thanking them for their continued business, and inform them about a special promotion or offer."
Manorata mailaka any amin&#39;ny sampan-draharahan&#39;ny mpanjifan&#39;ny orinasa iray mba hamahana ny traikefa ratsy nanananao tamin&#39;ny serivisy. Hazavao ny olana ary soso-kevitra ny fomba tianao hamahana izany.,Write an email to a company’s customer service department to address a poor experience you had with their service. Explain the problem and suggest how you would like it resolved.
Mamorona mailaka hangataka fiverenana na takalo amin&#39;ny vokatra novidinao an-tserasera. Ampidiro ny laharan&#39;ny kaomandinao sy ny anton&#39;ny fiverenana.,Compose an email to request a return or exchange for a product you purchased online. Include your order number and reason for the return.
Manorata mailaka amin&#39;ny namana iray tsy niresahanao hatry ny ela. Ampahafantaro azy ireo ny zava-nitranga teo amin&#39;ny fiainanao ary anontanio azy ireo hoe manao ahoana izy ireo.,Write an email to a friend you haven’t spoken to in a while. Catch them up on what’s been happening in your life and ask them how they’re doing.
Manorata mailaka misaotra olona iray ao amin&#39;ny fianakaviana na namana noho ny fanomezana nomeny anao. Hazavao tsara ny antony ankasitrahanao ilay fanomezana sy ny fomba kasainao hampiasaina.,Write an email thanking a family member or friend for a gift they gave you. Be specific about why you appreciate the gift and how you plan to use it.
