id,prompt,source,task,language
700,Je iwapo nataka kuacha uzinzi nifanyeje?,aya,monolingual,swahili
701,Tumbo kuuma chini ya kitovu ni nini,aya,monolingual,swahili
702,ushairi wa kiswahili,aya,monolingual,swahili
703,Jinsi ya kupika makande.,aya,monolingual,swahili
704,"Sentensi ya kwanza: Septemba 22, 1918, mawasiliano ya kwanza ya telegrafu bila waya yalipelekwa Snowdonia kutoka Australia. Kifungu cha 2: Septemba 22, 1918 ujumbe wa kwanza wa telegrafu bila waya kwenda Australia ulitumwa kutoka Snowdonia. Swali: Je, Sentensi ya 1 na Sentensi ya 2 zina maana ileile? Ndiyo au La?",aya,monolingual,swahili
705,Mvulana ni nani?,aya,monolingual,swahili
706,Daftari ni nini?,aya,monolingual,swahili
707,bubu ni nani?,aya,monolingual,swahili
708,afya ni nini?,aya,monolingual,swahili
709,Ndege,aya,monolingual,swahili
710,Jibu swali linalofuata. Nani ambaye anashikilia rekodi ya dunia ya kuwa na rekodi nyingi duniani?,aya,monolingual,swahili
711,Kiswahili kama somo nchini Kenya.,aya,monolingual,swahili
712,"Kiwango gani cha orodha kati ya orodha nyingi za mji wa Grainger ni Grainger Market haijaorodheshwa kama? Kwa sababu ya swali lililotangulia, andika muktadha unaotoa jibu. Inaweza kuwa sentensi 1 - 20. Muktadha:",aya,monolingual,swahili
713,chakula ni nini?,aya,monolingual,swahili
714,Teknolojia inaleta mabadiliko kweli?,aya,monolingual,swahili
715,Ili kuandika katika mtandao wa kijamii ni mambo gani muhimu kuzingatia?,aya,monolingual,swahili
716,Chakula bora ni kipi?,aya,monolingual,swahili
717,Dawa za malaria ni nzuri. ,aya,monolingual,swahili
718,nabii ni nani?,aya,monolingual,swahili
719,"Swali: Je, ni lini Buffalo Sabres waliingia NHL? Jibu:",aya,monolingual,swahili
720,Papai ni tiba?,aya,monolingual,swahili
721,mwalimu ni nani?,aya,monolingual,swahili
722,Kwa nini miti ni muhimu kwa mazingira?,aya,monolingual,swahili
723,Embe ,aya,monolingual,swahili
724,Magufuri ni nani?,aya,monolingual,swahili
725,kujua aina za wanyama ,aya,monolingual,swahili
726,familia ni nini?,aya,monolingual,swahili
727,Fahamu machache kuhusu ziwa Victoria,aya,monolingual,swahili
728,Mahindi hulimwa wapi tanzania?,aya,monolingual,swahili
729,Kwanini shetani aliasi mbinguni?,aya,monolingual,swahili
730,Kiongozi bora anasifa gani?,aya,monolingual,swahili
731,ukimwi ni nin,aya,monolingual,swahili
732,Mjadala ni nini?,aya,monolingual,swahili
733,Pambo ni nini?,aya,monolingual,swahili
734,Babia husaidia nini?,aya,monolingual,swahili
735,je ni halali kuchumbia mpenzi kwa kutumia mitandao ya kijamii?,aya,monolingual,swahili
736,Nataka kufikia chuo kikuu nifanyeje?,aya,monolingual,swahili
737,Madhara ya televisheni kwa watoto,aya,monolingual,swahili
738,Msimu wa mvua,aya,monolingual,swahili
739,"Sentensi ya 1: Mwanamieleka kisha anaruka mbele na kuzungukazunguka na kuanguka nyuma na kuruhusu kichwa cha mpinzani kuanguka kwenye kitanda. Sentence 2: then the wrestler jumps around and swings forward to fall back and let the opponent's head fall into the mat. Kisha mwanamieleka huruka na kuteleza mbele kuanguka nyuma na kuruhusu kichwa cha mpinzani kuanguka kwenye mikeka. Swali: Je, Sentensi ya 1 na Sentensi ya 2 zina maana ileile? Ndiyo au La?",aya,monolingual,swahili
740,Mjane ni nani?,aya,monolingual,swahili
741,Je gari ni muhimu?,aya,monolingual,swahili
742,"Nini kinacho mvutia mwanamme kwa mwanamke,?",aya,monolingual,swahili
743,Mpera ni nini?,aya,monolingual,swahili
744,utumiaji wa lugha katika ushairi ,aya,monolingual,swahili
745,jinsiya kupika chapati ,aya,monolingual,swahili
746,Chungwa ni tiba?,aya,monolingual,swahili
747,Hujambo,aya,monolingual,swahili
748,zipo aina ngapi za fasihi katika lugha ya kiswahili,aya,monolingual,swahili
749,"Nataka kuwa mwimbaji, nifanyeje?",aya,monolingual,swahili
750,"Maharagwe ni nini, ?",aya,monolingual,swahili
751,Namna ya kuandaa ugali,aya,monolingual,swahili
752,Nyanya ni tunda au mboga,aya,monolingual,swahili
753,Mwendo wa gari tanzania ni upi?,aya,monolingual,swahili
754,jinsi ya kulima mahindi,aya,monolingual,swahili
755,namna ya kupanda mti?,aya,monolingual,swahili
756,Usafiri ni nini?,aya,monolingual,swahili
757,Ni nini kinachomsukuma mtu kujiunga na elimu ya juu?,aya,monolingual,swahili
758,historia ya nchi ya tanzania ,aya,monolingual,swahili
759,Ni jinsi gani ya kupika sambusa kwa nyama?,aya,monolingual,swahili
760,"Je, gari ni muhimu?",aya,monolingual,swahili
761,ni vema kukubaliana na kila usemi wa wahenga?,aya,monolingual,swahili
762,Jinsi wingu linavyoundwa,aya,monolingual,swahili
763,Complete the following phrase:  Tarehe 26 Januari 1887 jeshi la Waitaliano 587 walioelekea kaskazini lilishambuliwa karibu na Massawa kwenye kijiji cha,aya,monolingual,swahili
764,Ni nini dalili za ugonjwa wa kisukari?,aya,monolingual,swahili
765,Jinsi ya kupika makande.,aya,monolingual,swahili
766,Kitawe ni nini?,aya,monolingual,swahili
767,Alizeti ni zao gani?,aya,monolingual,swahili
768,Namna ya kutunza afya ya akili,aya,monolingual,swahili
769,Jinsi ya kupika ugali,aya,monolingual,swahili
770,je suala la malezi ya watoto ni jukumu la mama peke yake?,aya,monolingual,swahili
771,Nifanyeje niende mbinguni?,aya,monolingual,swahili
772,nini maana ya ndoa,aya,monolingual,swahili
773,Mchugaji ni nani?,aya,monolingual,swahili
774,"Je, ni kweli kwamba ndoa nyingi zinazofungwa siku hizi wahusika wake hawajakutana kimwili?",aya,monolingual,swahili
775,Nifanyeje mwanagu awe mrefu?,aya,monolingual,swahili
776,ni nini kinachomsukuma mtu kusafiri sehemu mbali mbali?,aya,monolingual,swahili
777,fasihi simulizi ni fasihi ya aina gani,aya,monolingual,swahili
778,"Tafuta jibu la swali hili: Ni nani mwanzilishi mwenza wa Big Gates Records ambaye alishirikiana na DJ Khaled kwenye albamu yake ya pili ""We the Best""?",aya,monolingual,swahili
779,mama ni nan?,aya,monolingual,swahili
780,Faida za kuosha mikono ni zipi,aya,monolingual,swahili
781,mazao gani hupatikana mlima meru?,aya,monolingual,swahili
782,jinsi ya kufua nguo ,aya,monolingual,swahili
783,Kupika rosti a maini,aya,monolingual,swahili
784,Rafiki ana manufaa gani kwa MTU?,aya,monolingual,swahili
785,"Tafuta jibu kwa swali hili la kutatanisha: Ni timu gani iliyoongozwa kwenye ushindi mwaka wa 1939 na mchezaji wa mpira wa kikapu wa All-American mara mbili na aliyepewa jina la utani ""Scat""?",aya,monolingual,swahili
786,"Je, malezi mabaya yanachangia katika kuharibu mahusiano kwa ndoa nyingi leo?",aya,monolingual,swahili
787,Umuhimu wa matunda.,aya,monolingual,swahili
788,Maziwa ni dawa,aya,monolingual,swahili
789,Mtoto,aya,monolingual,swahili
