id,prompt,source,task,language
1400,Deere mama m akwụkwọ ozi iji mee ka o kweta na m kwesịrị inwe ike inweta nwamba.,dolly,monolingual,igbo
1401,Nye m ọtụtụ ụzọ m ga-esi mee ka ụlọ m dị jụụ n'oge okpomọkụ,dolly,monolingual,igbo
1402,"N'ụgbọelu, naanị ihe atọ m nwere ike iwere n'ụgbọelu bụ: mma agha, akwụkwọ, ekwentị, akpa, nnekwu ọkụkọ, ụgbọelu. Olee nke m kwesịrị iburu?",dolly,monolingual,igbo
1403,Gịnị bụ ngwaa?,dolly,monolingual,igbo
1404,"Nchịkọta nke arụmụka ahụ ma gwa m onye meriri
Context:E nwere esemokwu dị n'etiti Crosby na onye nkwado ahụ banyere ihe e kwesịrị iji mee ihe. Woodbury Soap na ụlọ ọrụ ya, Lennon & Mitchell, chere na ụda ahụ bụ "" Loveliness "" nke bụ isiokwu nke mmemme Woodbury kwesịrị ịga n'ihu. Crosby rụrụ ụka na isiokwu ezi uche dị na ya maka amaokwu ahụ bụ ""Ebe Blue of the Night (Meets the Gold of the Day)"", n'ihi na abụ ahụ amatala ya kemgbe ọ nọ na ikuku. N'ikpeazụ, Woodbury kwetara ihe onye ahụ na-agụ egwú kwuru. Nsogbu ndị ọzọ bilitere na Dale Winbrow, onye ụlọ ọrụ Lennon & Mitchell zitere na West Coast site na New York iji dozie esemokwu egwu egwu na ileba anya na ngosi ahụ. Winbrow gere ntị n'usoro ihe omume ahụ Crosby na Lennie Hayton kwadebere maka mgbasa ozi ọzọ ma katọọ ya nke ukwuu. <unk>Mgba ọkụ nke Crosby kpalitere mechara mee ka Warbler na Hayton kwupụta na ha apụla n'ihe nkiri ahụ. Ndị na-ahụ maka ọrụ baritone ahụ mechara mee ka ọ nọgide ruo mgbe a na-edozi ọnọdụ ahụ na ụlọ ọrụ na njedebe New York. <unk>",dolly,monolingual,igbo
1405,Olee otú m kwesịrị isi tinye ego m?,dolly,monolingual,igbo
1406,"Dabere n'ihe e dere banyere Bitcoin, mba ole amachiela Bitcoin?
Context:Bitcoin (abbreviation: BTC[a] ma ọ bụ XBT[b]; akara: <unk>) bụ usoro iwu nke na-emejuputa akwụkwọ ndekọ dị elu, ọha, na-adịgide adịgide, na nke a na-achịkwa. Iji tinye na akwụkwọ ndekọ, onye ọrụ ga-egosi na ha na-achịkwa ntinye na akwụkwọ ndekọ. Usoro ahụ na-akọwapụta na ntinye ahụ na-egosi ọnụọgụ nke akara, bitcoin na obere b. Onye ọrụ nwere ike imelite akwụkwọ ndekọ ahụ, na-ekenye ụfọdụ bitcoin ha na ntinye ọzọ na akwụkwọ ndekọ ahụ. N'ihi na ihe ahụ e ji amata ego nwere àgwà ego, a pụrụ iwere ya dị ka ego dijitalụ.   A na-enyocha azụmahịa Bitcoin site na netwọk netwọk site na cryptography ma dekọọ na akwụkwọ ndekọ ọha na eze a na-akpọ blockchain. E mepụtara cryptocurrency na 2008 site na onye a na-amaghị ama ma ọ bụ otu ndị mmadụ na-eji aha Satoshi Nakamoto. A malitere iji ego ahụ eme ihe na 2009, mgbe a tọhapụrụ mmejuputa ya dị ka ngwanrọ mepere emepe.: ch. 1 E depụtara okwu ahụ bụ́ ""bitcoin"" n'akwụkwọ akụkọ e bipụtara n'October 31, 2008. Ọ bụ okwu e si n'okwu abụọ bụ́ bit na coin nweta.   Ọbá akwụkwọ nke Congress na-akọ na, site na Nọvemba 2021, mba itoolu amachibidoro iji bitcoin eme ihe kpamkpam, ebe iri anọ na abụọ ọzọ amachibidoro ya. Gọọmentị ole na ole ejirila bitcoin mee ihe n'ụzọ ụfọdụ. El Salvador anabatala Bitcoin dị ka ego iwu kwadoro, ọ bụ ezie na ndị ahịa na-eji ya eme ihe dị ala. Ukraine anabatala onyinye cryptocurrency iji kwado ndị na-eguzogide mwakpo ndị Russia na 2022. Iran ejirila bitcoin mee ihe iji gbochie mmachi.",dolly,monolingual,igbo
1407,Gịnị bụ ọdịiche dị n'etiti ọnụọgụgụ nkịtị na ọnụọgụgụ?,dolly,monolingual,igbo
1408,Olee otú egwurugwu ahụ na-acha?,dolly,monolingual,igbo
1409,"Depụta mba nke ọ bụla dị ka nke nwere ma ọ bụ nke na-enweghị mmiri: China, Bolivia, Paraguay, Morocco, Ireland, Austria, Switzerland",dolly,monolingual,igbo
