id,prompt,source,task,language
3374,"Limbola système ya misala ya ndako esika mosala nyonso ya ndako ebongwanaka na lisano moke, ekokisami na nivo, mbano, mpe mikakatano oyo ekanisamaki te.",polywrite,monolingual,lingala
3375,Kanisá ete biloko oyo ezalisamá ezali koyemba nzembo ya kolala na mabele liboso butu ekɔta. Maloba nini mpe bililingi nini elingaki kosalela?,polywrite,monolingual,lingala
3376,"Etuluku moko ya bato oyo bazali kolukaluka biloko basali mayele ya kopumbwa kati na bonene, kasi bonene mokomoko ezali na likama mingi koleka oyo ya nsuka na ndenge ya mayele mabe. Nini esalaka ete bákende liboso?",polywrite,monolingual,lingala
3377,"Komá na ntina na kosala misala na zando epai batekisi batɛkaka biloko ya mokili mpe ya maji, mpe kosala mombongo esɛngaka kaka mbongo te kasi mayele mabe to masese.",polywrite,monolingual,lingala
3378,Kokoma masolo kati na moto ya bomoi mpe molimo oyo apesi toli ya bomoi oyo okanisaki te.,polywrite,monolingual,lingala
3379,Kanisá naino engumba moko monene oyo ezali na nse ya mabelé oyo ezali na nguya ya ba izini oyo esalaka ete biloko oyo ezali na bomoi ezala makasi. Mikakatano nini bafandi na yango bakutanaka na yango?,polywrite,monolingual,lingala
3380,Koma email ya koteka na client moko oyo azali kopesa biloko oyo etali yango oyo bakoki kosepela na yango na kotalela biloko oyo asombaki liboso. Monisá ntina oyo biloko yango ebakisaka ndenge oyo basombaka.,polywrite,monolingual,lingala
3381,Koma email na moninga oyo osololaki na ye te banda kala. Bokanga bango na makambo oyo ebandaki koleka na vie na bino pe tuna bango ndenge bazali.,polywrite,monolingual,lingala
3382,Composer email na professeur moko ya kala kosenga bango bakoma mokanda ya recommandation pona yo. Pesá makambo ya mikemike oyo etali esika yango mpe pesá kopesa makambo mosusu.,polywrite,monolingual,lingala
3383,Koma email mpo na kopesa longonya na moninga to moninga ya mosala mpo na likambo moko oyo euti kosalema. Monisá esengo na yo mpo na bango mpe pesá maloba ya kolendisa.,polywrite,monolingual,lingala
3384,Salá lisolo kati na astronaute mpe mopaya oyo asololaka na lisalisi ya balangi na esika ya maloba.,polywrite,monolingual,lingala
3385,Koma lisolo moko na ntina ya etuluku ya bilombe minene oyo bazwi pansiɔ oyo babimi na pansiɔ mpo na misio moko ya nsuka.,polywrite,monolingual,lingala
3386,Ekipi moko ya bato oyo bazali kolukaluka bisika yango bamoni sivilizasio moko oyo ebombami oyo bato ya libándá basimbaki te banda bankama ya bambula. Ndenge nini ba interagir na société oyo?,polywrite,monolingual,lingala
3387,"Koma email officiel na mosali moko ya gouvernement oyo etali likambo moko ya mboka oyo ezali kotungisa yo. Lobá makambo oyo ezali kotungisa yo, pesá makambo oyo ekondimisa yo, mpe pesá ndenge oyo okoki kosilisa yango.",polywrite,monolingual,lingala
3388,Komá na ntina na ndako moko epai wapi baaparɛyi nyonso ekoki kosolola. Mokomoko na bango azali na bomoto ekeseni mpe apesaka toli (to komilelalela) ntango yo ozali kosala misala na yo ya mokolo na mokolo.,polywrite,monolingual,lingala
3389,"Kosala email na client moko ya motuya kopesa bango matondo mpo na mombongo na bango oyo ezali kokoba, mpe yebisa bango na ntina ya promotion to offrande moko ya sipesiale.",polywrite,monolingual,lingala
3390,"Na biro moko ya maji, basali basalelaka bankisi mpo na kotombola mosala na bango mpo na misala ndenge na ndenge. Nini esalemaka soki moto ameli nkisi ya mabe mpo na mosala ya mabe?",polywrite,monolingual,lingala
3391,Koma email na professeur na yo kosenga bolimbisi mpo azangaki kelasi mpo na ba circonstances imprévues. Tuna soki ezali na makambo oyo osengeli kokanga.,polywrite,monolingual,lingala
3392,"Na bomoi nsima ya liwa, milimo esambisamaka na kotalela makundoli ya boboto oyo batikaki nsima. Personnage moko a comprendre que bazo sila mbongo.",polywrite,monolingual,lingala
3393,"Na ndako moko ya mayemi oyo eyebani mingi, mayemi yango ebandi koloba na mongongo ya nse basekele mpo na bato oyo batalaka yango. Nini ezali nsima ya likambo yango ya kokamwa?",polywrite,monolingual,lingala
3394,"Detective moko alamuki na souvenir moko te ya ngonga 48 oyo eleki, kaka mpo amoni ete bazali ba suspects ya liboso na crime moko ya munene. Ndenge nini bamonisaka ete bazali na ngambo te?",polywrite,monolingual,lingala
3395,Composer email na professeur to mentor ya kala kosenga toli ya carrière. Limbolá na mokuse ezalela na yo ya lelo mpe sɛngá litambwisi mpo na ndenge ya kokende liboso.,polywrite,monolingual,lingala
3396,"Basusu bakanisaka ete mayemi ezali eloko ya ntina mingi na bato, nzokande basusu bakanisaka ete ezali eloko ya kitoko. Lobela makanisi nyonso mibale mpe pesá makanisi na yo.",polywrite,monolingual,lingala
3397,Kanisá kofanda na ndako oyo ekoki komipɛtola kasi ezali kobimisa ‘makanisi’ na yango moko mpo na koyeba ndenge bopɛto esengeli kozala. Mikakatano nini ebimaka?,polywrite,monolingual,lingala
3398,"Bosala format ya liste ya misala ya bokeli mpe ya momesano te oyo ebongoli misala ya mokolo na mokolo na lisano. Mibeko ezali nini, mpe ndenge nini etindaka yo?",polywrite,monolingual,lingala
3399,"Lobelá mokili oyo bato ya sivilizasio bafandaka na bisanga oyo ezali kopumbwapumbwa na likoló, mpe biloko oyo ezali na kati ezali komema na nzela ya réseau ya ba ballons minene.",polywrite,monolingual,lingala
3400,"Basusu balobaka ete esengeli kosala ekzamɛ ya banyama mpo na bolukiluki ya minganga, nzokande basusu bakanisaka ete esengeli kopekisa yango. Lobela makanisi nyonso mibale mpe pesá makanisi na yo.",polywrite,monolingual,lingala
3401,"Na mokili ya tekiniki ya likolo epai kuna kopema ezali malamu na siansi, limbolá momeseno ya mopɛpɛ ya moto na butu na kosaleláká bisaleli mpe mayele ya mikolo mizali koya.",polywrite,monolingual,lingala
3402,Etuluku moko ya ba pirates ya likoló bazali kotambola na bamasuwa ya mpɛpɔ na bisanga oyo ezali kopumbwapumbwa mpe na bingumba ya likoló mpo na koluka eloko moko ya motuya ya masapo oyo ebombami na mapata.,polywrite,monolingual,lingala
3403,"Mbongwana ya klima ezali na bopusi monene likoló na mokili na biso. Okanisi ete nini ezali bantina minene ya mbongwana ya klima, mpe bopusi nini ekoki kozala na yango likoló na ezingelo?",polywrite,monolingual,lingala
3404,"Bapesi yo liste ya biloko ya kolia oyo ezali na biloko oyo emonani lokola ezali te. Ntango ozali kolukaluka, omoni ete eloko mokomoko ezali elembo oyo ememaka na eloko moko ya monene koleka.",polywrite,monolingual,lingala
3405,Koma email na professeur moko kotuna na ntina ya mabaku ya bolukiluki oyo ekoki kozala. Monisá makambo oyo osepelaka na yango mpe limbolá ntina oyo okolinga kosala elongo na bango.,polywrite,monolingual,lingala
3406,Koma email ya malili na client potentiel oyo azali kolakisa entreprise na yo mpe kopesa ba services na yo. Monisá makambo ya ntina oyo ozali kosala mpe limbolá ndenge oyo okoki kosalisa mombongo na bango.,polywrite,monolingual,lingala
3407,Bozali ya mibembo ya mikili mingi emati mingi. Lobela matomba mpe mabe mpo na ba touristes mpe mikili oyo ekoyamba bango.,polywrite,monolingual,lingala
3408,Salá lisolo epai wapi kobongisa bilei ya mokolo na mokolo ebongwanaka na aventure culinaire —ingrédient moko na moko euti na mabele ya magie mpe esengaka kosimbama na ndenge ya sipesiale.,polywrite,monolingual,lingala
3409,Salá email mpo na kosɛnga bázongisa to bábongola biloko oyo osombi na nzela ya Internet. Tyá nimero na yo ya komande mpe ntina oyo ozongisaki yango.,polywrite,monolingual,lingala
3410,"Na mikolo mizali koya oyo AI etambwisaka, ekateli ya nsuka oyo bato bapesameli nzela ya kozwa ezali bokundoli nini balingi kobatela mpo na libela.",polywrite,monolingual,lingala
3411,"Otele moko ebimaka na ndenge ya kobombama na bisika ndenge na ndenge na mokili mobimba, kasi kaka na butu. Soki ntɔngɔ ekómi, elimwaka. Secret na yango eza nini?",polywrite,monolingual,lingala
3412,Mondialisation ezali komema na kobungisa identité culturelle. Na meko nini ondimi to ondimi te? Meko nini ekoki kozwama mpo na kobatela mimeseno ya mboka?,polywrite,monolingual,lingala
3413,Koma email na professeur na yo kosenga prolongation ya devoir. Limbolá ezalela na yo mpe pesá ntango oyo ebongi mpo na ntango oyo okoki kosilisa mosala yango.,polywrite,monolingual,lingala
3414,Ezali boni soki balangi nyonso oyo ezali na mokili ebandaki kolimwa mokomoko? Limbolá nini esalemaka ntango etikali kaka langi moko.,polywrite,monolingual,lingala
3415,Etuluku moko ya bato ya siansi bamoni ete bandoto ezali komona mwa moke makambo oyo ekokani na yango. Ndenge nini yango ebongoli bososoli na biso ya makanisi?,polywrite,monolingual,lingala
3416,"Koma email mpo na kolanda interview ya mosala oyo osalaki il y a deux semaines. Monisá ete ozali kokoba kosepela na esika yango, pesa matɔndi na moto oyo azali kotuna ye mituna mpo na ntango na ye, mpe sɛngá makambo ya sika.",polywrite,monolingual,lingala
3417,"Basusu bandimaka ete koyekola na nzela ya Internet ezali malamu koleka boyekoli ya bonkɔkɔ, nzokande basusu balobaka ete koyekola na kelasi ezali naino na ntina mingi. Lobela makanisi nyonso mibale mpe pesá makanisi na yo.",polywrite,monolingual,lingala
3418,"Koleka ya bato ezali kokóma likambo oyo ezali kotungisa mingi na bingumba mingi. Nini ezali bantina ya kolekisa bato, mpe bopusi nini ezali na bomoi ya bingumba?",polywrite,monolingual,lingala
3419,Kanisa na makanisi société oyo magie mpe technologie esangani sans soudure. Ndenge nini bato basalelaka nguya yango na bomoi na bango ya mokolo na mokolo?,polywrite,monolingual,lingala
3420,"Na esobe oyo etondi na mipɛpɛ makasi ya zɛlo mpe bikelamu oyo ebombami, bato oyo basalaka aventure babundaka na momekano ya mbangu oyo esalemaka mbula na mbula mpo na kozwa mbano oyo emonanaka mingi te.",polywrite,monolingual,lingala
3421,Komá email na moninga ya motema to moto ya libota oyo azali kokabola nsango ya kosepelisa. Yebisá bango makambo mikemike mpe ndenge oyo ozali koyoka mpo na yango.,polywrite,monolingual,lingala
3422,Komá email na departema ya service clientèle ya compagnie moko mpo na ko répondre na expérience ya mabe oyo ozalaki na yango na service na bango. Limbolá mokakatano yango mpe yebisá ndenge oyo okolinga ete esilisa yango.,polywrite,monolingual,lingala
3423,"Bokonzi moko oyo bakanisaki ete ebungaki na lisolo ya bato ezwami lisusu, kasi bato na yango bakómi mibange te banda bikeke mingi. Nini ekómelaki bango?",polywrite,monolingual,lingala
3424,"Na mokili oyo ba souvenirs ekoki koyiba, limbolá bomoi ya moyibi ya ba souvenirs oyo abandi kobungisa identité na bango moko.",polywrite,monolingual,lingala
3425,"Kanisa kelasi ya yoga oyo esalemaka na studio moko ya enchanté epai gravité ebalukaka, ntango egumbamaka, mpe ba poses ezuaka ba effets ya magie.",polywrite,monolingual,lingala
3426,"Salá lisolo zingazinga ya eloko moko ya kala oyo, ntango esimbami, elakisaka moto oyo azali na yango mwa moke avenire na bango, kasi kaka na boumeli ya segɔnde 10.",polywrite,monolingual,lingala
3427,"Application moko ya sika elobi ete esalaka lokola ‘mokolo ya mosala ya kokoka’ na kotalela mimeseno mpe makambo oyo moto alingaka. Komá na ntina na moto oyo amekaka yango, kaka mpo na komona ete ezali makasi mingi koleka ndenge bakanisaki.",polywrite,monolingual,lingala
3428,Bato moko ya masuwa bakangami na esanga moko ya kobombama oyo ebongwanaka ntango nyonso ndenge na yango mpe ebombaka basekele ya kala.,polywrite,monolingual,lingala
3429,"Lobelá mobembo moko oyo basalaki na eteni ya mozindo mpenza ya mbu, epai bakuti likambo moko oyo bakanisaki te​—engumba moko ya kala oyo bikelamu oyo eyebani te bakɛngɛli.",polywrite,monolingual,lingala
3430,Koma email ya bolandi na client potentiel oyo alakisaki intérêt na produit na yo. Kundwelá bango matomba mpe yebisa bango ete okoyanola na mituna nyonso.,polywrite,monolingual,lingala
3431,Lobelá mokolo moko na Mabelé epai nguya ya kobenda biloko ebalukaka na mbalakaka na boumeli ya mwa bangonga. Bato mpe banyama basalaka ndenge nini?,polywrite,monolingual,lingala
3432,"Na engumba oyo ezali na mikolo ezali koya, ebongiseli ya métro ezali labyrinthe oyo ezali kobongwana ntango nyonso. Koma na ntina ya mobembo ya routine ya moto na nzela ya système oyo imprévisible.",polywrite,monolingual,lingala
3433,Likita moko esalemaka kati na bikelamu ndenge na ndenge ya bapaya mpo na kosala boyokani ya kimya mpo na bato nyonso. Ndenge nini balongaka mikakatano ya monɔkɔ mpe ya mimeseno?,polywrite,monolingual,lingala
3434,"Composer email na baninga na yo ya kelasi oyo bazali ko coordonner projet ya groupe. Pesá misala, pesá mikolo ya nsuka, mpe pesá ngonga ya likita mpo na kolobela bokoli.",polywrite,monolingual,lingala
3435,"Mikóló mingi bazali naino na mayele ya moboko ya nimero te na mokili ya lelo. Nini ezali bantina oyo ezali sima ya likambo oyo, mpe nini ekoki kosalema mpo na kobongisa boyebi ya kotanga mpe kokoma na nimero?",polywrite,monolingual,lingala
3436,"Na bisika mingi ya mokili, motángo ya bato oyo bazali kotánga mikanda ekiti mpenza. Nini ezali bantina ya bokiti yango, mpe mbuma nini ezali kobimisa mpo na bato?",polywrite,monolingual,lingala
3437,Kokoma na ntina ya mosungi ya moto ye moko ya AI oyo abandi kolimbola misala na ndenge ya bokeli mpe azali kosala misala oyo ezali na litomba mpe oyo ekoki kokanisama te.,polywrite,monolingual,lingala
3438,Komá na ntina na planɛti moko oyo esalemaki na lolenge moko ya bikelamu oyo ekómi na mayele mingi kasi esundolami. Bafandi ya sika bamoni nini mpo na ntina na yango ya solosolo?,polywrite,monolingual,lingala
3439,"Composer email oyo eko confirmer abonné ya sika na bulletin ya sango ya entreprise na yo. Matɔndi bango mpo na kosala abonnément, yebisa bango nini basengeli kozela, mpe kotia libiangi ya kosala.",polywrite,monolingual,lingala
3440,"Composer email ya marketing oyo ekosakola lancement ya produit ya sika. Tyá makambo mosusu oyo etali makambo oyo ezali na biloko yango, matomba na yango, mpe makambo nyonso ya sipesiale oyo elobelaka to oyo ekitisaka mbongo.",polywrite,monolingual,lingala
3441,Ekuke moko ya kobombama ebimi na zamba oyo ememaka na bokonzi ya fae. Bato oyo basalaka mibembo ya liboso bazwaka nini na ngámbo mosusu?,polywrite,monolingual,lingala
3442,"Na bingumba mingi ya minene, kobebisa mopɛpɛ mpe mai ezali likambo ya ntina mingi. Nini ezali kobimisa mikakatano yango, mpe bibongiseli nini ekoki kozwama mpo na kobongisa makambo?",polywrite,monolingual,lingala
3443,Kokoma poeme esika saison moko na moko ezali personifiée mpe bamipesa na masolo na ntina ya cycle ya vie.,polywrite,monolingual,lingala
3444,Salá molɔngɔ ya ba haiku oyo mokomoko na yango ezali komonisa souvenir fragmenté ya bolingo oyo babosani.,polywrite,monolingual,lingala
3445,"Na bambula oyo euti koleka, mosala ya mosika ekómi mingi. Lobela matomba mpe mabe ya mosala ya mosika.",polywrite,monolingual,lingala
