id,prompt,source,task,language
0,ኢትዮጵያን ከ1889 እስከ 1913 ያስተዳደሩት ንጉሥ ማን ነበሩ?,aya,monolingual,amharic
1,"በአፋር ክልል ከሉሲ በተጨማሪ አዲስ የተገኘችው የሰው ቅሪተ አካል መቼ ተገኘች?""",aya,monolingual,amharic
2,ጥያቄ፦ የትኛው አህጉር ትልቁ ነው? መልስ፦ ,aya,monolingual,amharic
3,የጋናውያን ብሔራዊ ቋንቋ ምንድን ነው?,aya,monolingual,amharic
4,ስዋሂሊ ሁለተኛ ቋንቋቸው የሆኑ ምን ያህል ሕዝቦች አሉ?,aya,monolingual,amharic
5,በ17ኛ ምእት በቴሌስኮፕ የታገዘ የፀሓይ ምርምር ጀማሪ ማን ነበር?,aya,monolingual,amharic
6,ይህንን ጥያቄ አዎ ወይም አይደለም ብለው ይመልሱ እና ያብራሩ። ጥያቄ፡- ሰዎች በጥልቅ በሚተኙበት ጊዜ ሊያስነጥሱ ወይም ሊያሳልሱ ይችላሉ። መልስ፡- ,aya,monolingual,amharic
7,የኢፌል ማማ ምን ያህል ወለሎች አሉት? መልስ፦,aya,monolingual,amharic
8,የዚህን አንቀጽ ቀጣይነት ጻፍ - በጎዞ ወረራ ወቅት,aya,monolingual,amharic
9,በረዶ ለምን ውሀ ላይ ይንሳፈፋል?,aya,monolingual,amharic
10,ለሚከተለው ጥያቄ መልስ ስጥ። ባካ የሚለው የአያት ስም ከየት ነው የመጣው?,aya,monolingual,amharic
11,ለፒዛ ሊጥ የሚሆን የምግብ አዘገጃጀት መመሪያ ጻፍልኝ,aya,monolingual,amharic
12,ኢትዮ ሬይን ሜከርስ እንጦጦ አካባቢ ከኢትዮጵያ ቅርስ ባለደራ ጋር አንድ ላይ በመሆን ችግኝ የተከሉት መች ነበር?,aya,monolingual,amharic
13,በአስትራዜኔካ ላይ የተደረገው ጥናት ውጤት ስለክትባቱ ምንን አመላከተ?,aya,monolingual,amharic
14,ልዑል አለማየሁ ሲወለድ በደስታ አጼ ቴዎድሮስ ስንት እስረኞች ፈቱ?,aya,monolingual,amharic
