id,prompt,source,task,language
200,Wacce ce Fassara mai ‘yanci a Hausa?,aya,monolingual,hausa
201,Da wanne madannai ake yin kofi a kwamfuta,aya,monolingual,hausa
202,Menene sunan dan wasan kwallon kafa da aka baiwa kyautar zinare a gasar cin kofin duniya ta FIFA 2018?,aya,monolingual,hausa
203,Shin an taba samun tahirin guguwa a Afrika?,aya,monolingual,hausa
204,"Ƙirƙiri labarin don kanun labarai mai zuwa:
Najeriya za ta kulla yarjejeniya da Amurka kan kudin sata",aya,monolingual,hausa
205,TAMBAYA: Rubuta ɗari ɗaya da arba'in da shida a matsayin lamba?,aya,monolingual,hausa
206,Mene ne Ma’anar Adabin Zamani?,aya,monolingual,hausa
207,A ina Donald Trump ya kammala karatun digiri?,aya,monolingual,hausa
208," A sallar idi ana yin kabarbari bakwai a raka'ar farko, a raka'a ta biyu kuma a na yin kabarbari",aya,monolingual,hausa
209,Tambaya: Wace ta taka rawar sarauniya a cikin fim din 300: Tashin wata daular?,aya,monolingual,hausa
210,"Mi ake nufi da ""glasses"" da Hausa? ",aya,monolingual,hausa
211,"Wace sarauta ce ta shafi kula da baitulmali?

A)
Sarkin fada
B)
Ma’aji
C)
Sarkin gida
D)
Waziri",aya,monolingual,hausa
212,Menene taken jihar Kebbi?,aya,monolingual,hausa
213,"Me kalmar: ""help"" ke nufi a harshen Hausa?",aya,monolingual,hausa
