id,prompt,source,task,language
800,"Jubbantil mbind mii:
Nangeen di dimbandikoo muñ ak Julli: loolu lu diis la ci ku bokkul ci way-ragal Yàlla ña,",aya,monolingual,wolof
801,"Damas moy péeyu ban réw?
",aya,monolingual,wolof
802,"Ndàx mbind mii jub na?
Topp Nu dekkal leen ginnaaw ba ngeen deewee, ndax Yàlla ngeen di sant [seen Boroom].",aya,monolingual,wolof
803,Joxeel péeteg waat yi ci kàddu gii: Éy yéen ñi gëm! Ragalléen Yàlla kem ni mu yelle [tigi].,aya,monolingual,wolof
804,"Ban jiitu réew moo gën a yàgg ci nguur gi ci Afrig ?	
",aya,monolingual,wolof
805,"Fan mooy gëblag réewum Timor-Oriental ?
",aya,monolingual,wolof
806,Ñaata wet la hexagone di am ?,aya,monolingual,wolof
807,Na ngeen def?,aya,monolingual,wolof
808,"Fan moy péeyum réwum Russie
",aya,monolingual,wolof
809,"Fan moy péeyum réwum Pakistan
",aya,monolingual,wolof
810,Ban lakk la waa Senegaal ëpp li nuy lakk ?,aya,monolingual,wolof
811,"Joxeel péeteg waat yi ci kàddu gii: Da di kày, lu soof Màki Sàll sàf na nu.",aya,monolingual,wolof
812,"Laata
",aya,monolingual,wolof
813,"Joxeel péeteg waat yi ci kàddu gii: Reznikov yaakaar na ne dawalkat i Ikkren yi da na'ñ mokkal F-16 ci 4 weer, du àgg ci 6 weer yi doon xàw a baax.",aya,monolingual,wolof
814,"Ndàx mbind mii jub na?
Moom moo leen sàkkal lépp lu nekk ci suuf si, daldi jublu ci asamaan si def ko mu nekk juróoom-ñaari asamaan. Te moom nag lépp la xam.",aya,monolingual,wolof
815,"Ci ban kembaar la réwum Fidji nékk
",aya,monolingual,wolof
816,"Fan mooy gëblag réewum Espagne?
",aya,monolingual,wolof
817,"Amman mooy gëblag man réew ?
",aya,monolingual,wolof
818,"Mbabane mooy gëblag man réew ?
",aya,monolingual,wolof
819,Kañ geén di tàmbli wax wolof degantaan?,aya,monolingual,wolof
820,Fan lañuy defe coupe du monde 2022 ?,aya,monolingual,wolof
821,Fan mooy gëblag  réewum Yémen?,aya,monolingual,wolof
822,"Moroni mooy péeyu man réew ?
",aya,monolingual,wolof
823,Joxeel péeteg waat yi ci kàddu gii: Moom ìt mu daldi sippi séen jëf.,aya,monolingual,wolof
824,Fan moo ëpp fuy bay ataaya ?,aya,monolingual,wolof
825,Ci bann kembaar le reewum Moldavie nekk,aya,monolingual,wolof
826,Ñaata yoon la Kiriscaano Rónaldo jël balub wurus bi ?,aya,monolingual,wolof
827,Ñaata fan la jigéen di am ak dereeti mbaax ?,aya,monolingual,wolof
828,"Jubbantil mbind mii:
Aadama jot na baat ya [baati tuub] bawoo ca Boroomam, Mu daldi ko jéggal, ndax Moom moo di Jéggalaakoon bi, di Jaglewaakoon bi.",aya,monolingual,wolof
829,Fan la Saamóori Ture dëkkoon ?,aya,monolingual,wolof
830,"Jubbantil mbind mii:
–Malaaka ya ne ko: ""Tuddu nanu sa sell gi! Amunu benn xam-xam lu dul loo nu xamal. Ndax Yaw yaay ki xam, Yaay ki xereñ"".",aya,monolingual,wolof
831,"NAAR,SORI GANNAAR WARUT A TAX MU FATTEW SANTAM.",aya,monolingual,wolof
832,"Ci ban kembaar la réwum Yémen nékk
",aya,monolingual,wolof
833,"Ci ban kembaar la réwum France nékk
",aya,monolingual,wolof
834,"Fan mooy gëblag réewum Liechtenstein ?
",aya,monolingual,wolof
835,"Bucarest mooy gëblag man réew ?
",aya,monolingual,wolof
836,"Ci gan kembaar la réewum Saint-Marin nékk.
",aya,monolingual,wolof
837,"Sofia mooy gëblag man réew?
",aya,monolingual,wolof
838,"Jubbantil mbind mii:
Ba noppi ngeen rey aw nit, ci seen biir, am ca ab kurél bu ngeen génne seeni kër, ngeen dimbalante ci ay bàkkaar ak ug noonuwante. Te bi ngeen leen jàppee ci xare di leen fayloo ag njot te di leen génne te loolu araam na ci yéen. Ndax dangeen a dëggal lenn téere ba, weddi la ca des? Kuy def loolu ci yéen, dara du doon peyam lu dul toroxte ci dundug àddina, te Bis-pénc ba dees na leen delloo ci gën jaa tari mbugal. Yàlla dey nekkul Kuy ñàkk a seetlu li ngeen di def.",aya,monolingual,wolof
839,Wolof Njaay neena ,aya,monolingual,wolof
