id,prompt,source,task,language
600,Nhiri hono inonzi chii?,aya,monolingual,shona
601,"Muna 1890, yekutanga magetsi yakavhurwa muLondon?",aya,monolingual,shona
602,Ndipeiwo rondedzero yenzira dzandinogona kubatanidza nadzo kuita zvemuviri mumuitiro wangu wezuva nezuva.,aya,monolingual,shona
603,Murume wekutanga waCleopatra aiva ani?,aya,monolingual,shona
604,"Ini ndiri mutsva kudoro, ndinokurudzira 5 zvitaera zvedoro kwandiri",aya,monolingual,shona
605,"Mubvunzo ndewokuti: ""Ngoro ingori motokari ine mavhiri inotakurirwa vanhu, inowanzodhonzwa nemabhiza, madhongi kana mombe; motokari dzinotakuriswa vanhu dzinosanganisira ngoro dzinotakuriswa vanhu dzinotakuriswa vanhu uye zvigaro zvevanhu, nokuti motokari idzi hadzina mavhiri"".? Musoro wacho unonzi Kutakura.",aya,monolingual,shona
606,"Zadzisa dimikara rinotevera:
Kuwoma moyo",aya,monolingual,shona
607,"Tichifunga nezvechirevo chinotevera
 ""Hongu, ndaifunga kuti ndicharasikirwa nemwana."" “Neniwo ndanga ndichitya,” akadaro, achirevesa. “Iwe
vaiva?” ""Ehe saizvozvo. Sei uchibvunza?"" ""Mwana uyu haana kunyatsorongerwa."" uye Target mutsara:
""Unofunga zvechokwadi kuti ndinoda kuti uve ne _ ?"" kufanotaura shoko rinonangwa",aya,monolingual,shona
608,"Kushandiswa (""Consumption"") ndiro raimbove zita rechirwere chipi?
",aya,monolingual,shona
609,"Gadzira nyaya inoenderana nemusoro uyu: ""Morocco Yopinda Muchikamu cheChipiri kuWorld Cup Iri Pamusoro peGungano Rayo Uye Isina Kana Kukundwa.""",aya,monolingual,shona
610,"Ndivanaani boka reWagner The Wagner Group (Russian: Группа Вагнера, tr. Gruppa Vagnera), inozivikanwawo sePMC Wagner (Russian: ЧВК[a] «Вагнер», tr. ChVK «Vagner»; lit. 'Wagner Private Military Company '), isangano reRussia paramilitary. Inotsanangurwa zvakasiyana sekambani yakazvimirira yemauto (PMC), network yevamiriri, kana de facto mauto akazvimirira eMutungamiri weRussia Vladimir Putin. Iri boka rinoshanda kupfuura mutemo muRussia, uko makondirakiti emauto ega ega anorambidzwa zviri pamutemo",aya,monolingual,shona
611,"Mutsara 1: Gungwa reArauco kana Bahia de Araucan, igungwa riri pamhenderekedzo yeguta reBío Bío, mudunhu reArauco, Chile. Mutsara 2: Bay of Arauco kana Bahia de Araucan, ibako riri pamhenderekedzo yeBío Bío Region, yeArauco Province yeChile. Mubvunzo: Mutsara wokutanga nomutsara wechipiri unoreva chinhu chimwe chete here? Hungu kana kuti Kwete?",aya,monolingual,shona
612,"""Tichifunga rugwaro urwu rwereferenzi nezvechikero cheHawaii, mafungu akareba sei mafiti matanhatu eHawaiian? Hawaiian scale iratidziro yehurefu hwemasaisai emhepo anokanganisa mvura. Ndiko kutaura kunowanzo shandiswa nevafambi muHawaii uye kunoshandiswawo. muAustralia nedzimwe nzvimbo dzeSouth Africa.

Chirevo, chinogara chichipihwa mutsoka, chiumbwa chakamisikidzwa chinoenderana neinenge hafu chaiyo yakayerwa kana kufungidzirwa kureba kwechiso chemasaisai (mudhiriro kusvika kune kureba). Nokudaro, """"3-foot"""" wave inosvika mamita matanhatu kureba (chaizvoizvo kureba kwe ~ 1.8 m), kureva, musoro-kumusoro kusvika ku6-foot (~ 180 cm) munhu; """" 2-foot"""" wave inosvika mamita mana kureba (urefu hwe ~ 1.2 m), kureva, chipfuva-kumusoro kumunhu akadaro; uye ""6- kusvika 8-foot"" wave wave 2 kusvika kunosvika katatu kumusoro-kumusoro kumunhu akadaro (urefu hwe ~ 3.5 kusvika 5 m). Sezvo hurefu hwemafungu hunowedzera, zvakadaro, ndizvo zvakaitawo kuoma kwekutonga urefu ihwohwo, uye sehurefu hwemafungu hunosvika mamita makumi maviri (40 ft zviso kana 12 m kureba), huwandu hwehurefu hwemafungu hunoenderana neshoko rakapiwa rinowedzera kuwedzera. """,aya,monolingual,shona
613,Fungidzira rondedzero yezvikafu zvekurongedzera mwana ane makore matatu uye ane gore rimwe chete parwendo rwemumugwagwa.,aya,monolingual,shona
614,"Ndiani akahwina heptathlon yevakadzi kuSeoul korea muna 1988?
   ",aya,monolingual,shona
615,Ndiani akatengesa Louisiana kuUSA muna 1803?,aya,monolingual,shona
616,Ndeipi nyika huru muUSA?,aya,monolingual,shona
