prompt,prompt_en
Tinmɛ azǎn ɖé ɖò Ayikúngban jí bɔ nǔ e nɔ dɔn nǔ wá ayikúngban jí é nɔ wá huzu ajijimɛ nú ganxixo klewun ɖé. Nɛ̌ gbɛtɔ́ lɛ kpo kanlin lɛ kpo ka nɔ wà nǔ gbɔn?,Describe a day on Earth where gravity suddenly reverses for a few hours. How do people and animals react?
"Ðǒ mɛɖé bɔ é ko nyí ahwanfuntɔ́ ɖaxó ɖé ɖ’ayǐ, amɔ̌, é huzu mɛ nyanya ɖó nukúnnúmɔjɛnǔmɛ agɔ ɖé wu.",Create a character who was once a hero but has become a villain due to a tragic misunderstanding.
Wlan nǔ dó gbɛtɔ́ e nyí mɛ gudogudo tɔn e ɖò gbɛ̀ e mɛ ye mɛvo ɖè é ɖé mɛ é ɖé wu.,Write about a character who is the last of their kind living in a world that has moved on without them.
Ðǒ jijɔ e sín ɖiɖe wá gbɛ̀ bo wà nǔ mɛ nyanya yetɔn ɖɔhun é ɖé.,Create a character whose shadow has come to life and acts as their mischievous counterpart.
"Wlan email bo na do xwedo azɔmɛ xokanbyɔmɛ e a blo ɖo azan we ɖie ɔ. Ðɔ ɖɔ tɛn ɔ kpó ɖò jlǒ ɖó wɛ nú we, dókú nú mɛ e ɖò nǔ kanbyɔ we wɛ é nú hwenu e é zán é, bo byɔ ɖɔ è ni ɖɔ xó yɔyɔ̌ lɛ.","Write an email to follow up on a job interview you had two weeks ago. Express your continued interest in the position, thank the interviewer for their time, and ask for updates."
"A ɖó na bló tuto nú kplé ɖé xá azɔ̌gbɛ́ towe ɖé, bo na ɖɔ xó dó lee azɔ̌ ɖé ɖò nukɔn yì wɛ gbɔn é jí. Wlan e-mail ɖé kpo mɛsísí kpo bo byɔ hwenu e jɛxa kplé ɔ é ɖé, bo na xóta klewun ɖé.",You need to schedule a meeting with a colleague to discuss the progress of a project. Write a polite email requesting a suitable time for the meeting and provide a brief outline.
"Wlan e-mail ɖé sɛ́dó mɛ e ɖò nukún kpé dó wǔ we wɛ é bo byɔ ɛ ɖɔ é ni ɖɔ xó dó gbeɖiɖó e a sɛ́dó ɖò malin-malin mɛ é ɖé jí. Ðɔ ɖɔ emi jló na bló bɔ azɔ̌ emitɔn na kpɔ́n te d’eji, bo byɔ wěɖexámɛ tawun tawun lɛ.",Write an email to your supervisor asking for feedback on a recent report you submitted. Express your interest in improving your work and ask for specific suggestions.
"Wlan e-mail ɖé sɛ́dó gǎn towe bo byɔ hwɛsɔ́kɛ ɖó azǎn e jí azɔ̌ ɔ ɖó na fó dó é wu ǎ wutu. Tinmɛ nǔ e wu é gbɔ hwenu é, bo ɖɔ afɔ e a na ɖè bo na dó kudeji ɖɔ é kún sɔ́ na jɛ ó é.","Compose an email to your manager apologizing for missing a project deadline. Explain the reason for the delay, and outline your steps to ensure it won’t happen again."
"Wlan e-mail sɛ́dó nǔsatɔ́ e hɛn nǔ e ma sɔgbe ǎ lɛ é alǒ nǔ e gblé lɛ é wá é ɖé. Tinmɛ nǔ e jɛ é kpo mɛsísí kpo, ɖɔ nǔ lɛ céɖécéɖé, lobo byɔ ɖɔ è ni vɔ́ akwɛ ɔ na emi alǒ ɖyɔ emi.","Write an email to a vendor who delivered incorrect or damaged products. Politely explain the issue, provide details, and request a refund or replacement."
Wlan e-mail ɖé sɛ́dó mɛ e nɔ kpé nukún dó axisinɔ lɛ wu é ɖé bo kan nǔ byɔ ɛ dó nǔ e a jló na xɔ é ɖé wu à jí.,Write an email to a customer service representative inquiring about the availability and specifications of a product you are interested in purchasing.
A ɖ’ayi wu ɖɔ akwɛ e a nɔ yí ɖò sunmɛ sunmɛ é kún sɔgbe ó. Wlan e-mail ɖé sɛ́dó azɔ̌xɔsa e nɔ kpé nukún dó akwɛzinzan wu é bo tinmɛ xó ɔ bo byɔ ɖɔ è ni jla nǔ lɛ ɖó.,You’ve noticed an incorrect charge on your monthly bill. Write an email to the billing department explaining the issue and asking for a correction.
"Sɔ́ e-mail ɖé sɛ́dó axisinɔ xɔ akwɛ ɖé bo dókú n’i ɖó ajɔ̌ e é kpó ɖò yiyi wɛ é wu, bo lɛ́ ɖɔ nǔ bunɔ ɖé nú ye dó nǔjlajla ɖé alǒ nǔ e è xwlé mɛ é ɖé wu.","Compose an email to a valued customer thanking them for their continued business, and inform them about a special promotion or offer."
"Wlan e-mail ɖé sɛ́dó azɔ̌xɔsa e nɔ kpé nukún dó axisinɔ lɛ wu ɖò azɔ̌xwé ɖé é, bo na dó ɖɔ xó dó nǔ nyanya e a mɔ ɖò azɔ̌ yetɔn mɛ é ɖé jí. Tinmɛ tagba ɔ bo ɖɔ lee a jló ɖɔ è ni ɖeɖɛ gbɔn é.",Write an email to a company’s customer service department to address a poor experience you had with their service. Explain the problem and suggest how you would like it resolved.
Sɔ́ e-mail ɖé dó byɔ ɖɔ è ni lɛ́vɔ yí nǔ e a xɔ ɖò Ɛntɛnɛti jí é ɖé alǒ ɖyɔ ɛ. Sɔ́ kɛ́n nǔ e a sɛ́dó é tɔn kpo hwɛjijɔ e wu a lɛ́vɔ sɛ́ nǔ ɔ dó é kpo dó wema ɔ mɛ.,Compose an email to request a return or exchange for a product you purchased online. Include your order number and reason for the return.
Wlan email sɛ́dó xɔ́ntɔn towe e a ma ko ɖɔ xó xá ǎ é ɖé. Kpɔ́n nǔ e ɖò jijɛ wɛ ɖò gbɛzán towe mɛ é nú ye bo kan lee ye ɖè gbɔn é byɔ ye.,Write an email to a friend you haven’t spoken to in a while. Catch them up on what’s been happening in your life and ask them how they’re doing.
Wlan e-mail ɖé dó dókú nú hagbɛ̌ xwédo towe tɔn ɖé alǒ xɔ́ntɔn towe ɖé ɖó nùnina e ye na we é wu. Ðɔ nǔ e wu nùnina ɔ sù nukún towe mɛ é kpo lee a lin na zán gbɔn é kpo céɖécéɖé.,Write an email thanking a family member or friend for a gift they gave you. Be specific about why you appreciate the gift and how you plan to use it.
"Sɔ́ e-mail ɖé dó ylɔ xɔ́ntɔn towe lɛ wá xwè e a ɖò wiwa wɛ é ɖé tɛnmɛ. Sɔ́ nǔ ɖěɖee kúnkplá azǎn ɔ, ganmɛ ɔ, fí ɔ kpo nǔwiwa bunɔ ɖebǔ e è na bló é kpo.","Compose an informal email inviting friends to a party you’re hosting. Include details about the date, time, location, and any special activities."
Wlan e-mail bo do ku nu xɔntɔn towe alo azɔmɛgbɛ towe ɖo nuɖe e wa din ɔ wu. Ðɔ awǎjijɛ e a ɖó dó ye wu é bo lɛ́ ɖɔ xó wusyɛn dó lanmɛ nú mɛ tɔn lɛ.,Write an email congratulating a friend or colleague on a recent achievement. Express your happiness for them and offer words of encouragement.
Wlan e-mail sɛ́dó xɔ́ntɔn towe vívɛ́ ɖé alǒ hagbɛ̌ xwédo towe tɔn ɖé bo má wɛn ɖagbe ɖé. Ðɔ nǔ lɛ bǐ kpo lee nǔ cí nú we é kpo nú ye.,Write an email to a close friend or family member sharing exciting news. Tell them the details and how you’re feeling about it.
"Wlan e-mail ɖé sɛ́dó azɔ̌xɔsa e nɔ yí mɛ lɛ é ɖò wemaxɔmɛ ɖaxó ɖé bo byɔ nǔ dó tuto ɖé wu. Kanbyɔ lee è na bló wema ɔ gbɔn é, azǎn e jí è ɖó na fó azɔ̌ ɔ dó é, kpo nǔ ɖevo lɛ kpo.","Write an email to the admissions office of a university requesting information about a specific program. Ask about the application process, deadlines, etc."
Sɔ́ e-mail ɖé sɛ́dó mɛ̌si xóxó ɖé bo byɔ ɛ ɖɔ é ni wlan wema ɖé nú we bo dó xlɛ́ ɖɔ emi nyí mɛ ɖagbe. Ðɔ nǔ dó tɛn ɔ wu céɖécéɖé bo ɖɔ ɖɔ emi na lɛ́ na nǔ ɖevo lɛ.,Compose an email to a former professor asking them to write a recommendation letter for you. Provide details about the position and offer to provide further information.
"Wlan e-mail ɖé sɛ́dó acɛkpikpa sín azɔ̌watɔ́ ɖé bo ɖɔ xó dó xó e ɖò ayi towe mɛ é ɖé jí ɖò xá ɔ mɛ. Ðɔ nǔ e ɖò linkpɔ́n nyí nú we wɛ lɛ é, ɖɔ nǔ e nɔ gudo nú we lɛ é, bo ɖɔ lee a sixu ɖeɖɛ tagba lɛ gbɔn é.","Write a formal email to a government official addressing a local issue that concerns you. State your concerns, provide supporting facts, and suggest possible solutions."
A bɛ́ azɔ̌ yɔyɔ̌ ɖé dìn bo jló na ɖè hwiɖée xlɛ́ gbɛ̌ta towe sín hagbɛ̌ lɛ. Wlan e-mail ɖé bo dó xlɛ́ hwiɖée bo lɛ́ ɖɔ lee akpàkpà sɔ́ we sɔ ɖɔ emi ɖò azɔ̌ wà ɖó kpɔ́ wɛ é.,You’ve just started a new job and want to introduce yourself to your team members. Write a formal email introducing yourself and expressing your excitement about working together.
Sɔ́ e-mail ɖé sɛ́dó azɔ̌gán xóxó ɖé bo byɔ ɖɔ emi ni zán ye dó kpɔ́n azɔ̌ yɔyɔ̌ ɖé. Byɔ gbè yetɔn kpo mɛsísí kpo bo dókú nú ye ɖó alɔ e ye dó we é wu.,Compose an email to a former employer requesting to use them as a reference for a new job application. Politely ask for their permission and thank them for their support.
Wlan e-mail ɖé sɛ́dó mɛ e sixu wá xɔ nǔ nú we é ɖé bo xlɛ́ azɔ̌xwé towe bo lɛ́ xwlé azɔ̌ towe lɛ. Tɛɖɛ̌ nǔwukpikpé taji towe lɛ jí bo tinmɛ lee a sixu d’alɔ ajɔ̌ yetɔn gbɔn é.,Write a cold email to a potential client introducing your company and offering your services. Highlight your key strengths and explain how you can help their business.
"Sɔ́ e-mail ajɔ̌wiwa tɔn ɖé dó jla nǔ yɔyɔ̌ ɖé sín ɖiɖe tɔ́n. Sɔ́ nǔ e ɖò nǔ ɔ mɛ lɛ é, lè e ɖ’emɛ lɛ é kpo nǔjlajla bunɔ ɖebǔ alǒ nǔ e è ɖè kpò lɛ é kpo dó ɖ’emɛ.","Compose a marketing email announcing the launch of a new product. Include details about the product’s features, benefits, and any special promotions or discounts."
"Wlan e-mail ɖé dó mɛ e sixu wá xɔ nǔ nú we é ɖé, bɔ é ɖɔ ɖɔ nǔ e a nɔ sà é jló emi. Flín lè e ɖ’emɛ lɛ é ye, bo ɖɔ ɖɔ emi na na xósin nú nùkanbyɔ ɖebǔ.",Write a follow-up email to a potential client who expressed interest in your product. Remind them of the benefits and offer to answer any questions.
"Sɔ́ e-mail ɖé dó xlɛ́ ɖɔ mɛ yɔyɔ̌ ɖé wlan nyikɔ dó xójlawema azɔ̌xwé towe tɔn mɛ. Dókú nú ye ɖɔ ye wlan nyikɔ dó wema mɛ, ɖɔ nǔ e ye ɖó na ɖó nukún é nú ye, bo lɛ́ sɔ́ xó e è ylɔ ɖɔ ye ni wà nǔ é ɖé dó ɖ’emɛ.","Compose an email confirming a new subscriber to your company’s newsletter. Thank them for subscribing, tell them what to expect, and include a call to action."
"Wlan e-mail nǔxixa tɔn ɖé sɛ́dó axisinɔ e ko ɖò ayǐ é ɖé bo ɖò nǔ e cá kàn xá ye lɛ é xwlé ye wɛ, bo na sɔ́ nǔ e ye ko xɔ wá yì lɛ é dó xɔ na. Tɛɖɛ̌ nǔ e wu nǔ enɛ lɛ nɔ gɔ́ sò nú nǔ e ye xɔ é jí.",Write a sales email to an existing customer offering related products they might be interested in based on previous purchases. Highlight why these products complement their purchase.
Wlan e-mail sɛ́dó mɛ̌si towe bo byɔ ɖɔ è ni jla azɔ̌ ɖé ɖó nú emi. Tinmɛ ninɔmɛ towe bo na hwenu e a sixu fó azɔ̌ ɔ é ɖé.,Write an email to your professor requesting an extension for an assignment. Explain your situation and provide a reasonable timeline for when you can complete the work.
"Sɔ́ e-mail ɖé sɛ́dó azɔ̌mɛvígbɛ́ towe ɖěɖee ɖò azɔ̌ gbɛ̌ta tɔn ɖé bló wɛ lɛ é. Sɔ́ azɔ̌ lɛ nú mɛ lɛ, sɔ́ azǎn e jí è na fó azɔ̌ lɛ dó é, bo ɖɔ hwenu e è na bló kplé ɔ dó é, bo ɖɔ xó dó nukɔnyiyi jí.","Compose an email to your classmates coordinating a group project. Assign tasks, set deadlines, and suggest a meeting time to discuss progress."
