prompt,prompt_en
ንሓደ ኣባል ስድራቤትካ ወይ ዓርክኻ ንዝሃቡኻ ህያብ እናመስገንካ ኢመይል ጽሓፍ። ነቲ ህያብ ስለምንታይ ከም እተድንቖን ብኸመይ ክትጥቀመሉ ከም ዝሓሰብካን ብፍሉይ ተዛረብ።,Write an email thanking a family member or friend for a gift they gave you. Be specific about why you appreciate the gift and how you plan to use it.
ምዕቡል AI ዘለዎ ሮቦታዊ እንስሳ ዘቤት ዘለዎ ገጸ ባህሪ እሞ ናይ ገዛእ ርእሱ ስብእናን ድሌታትን ከማዕብል ዝጅምር ገጸ ባህሪ እሞ ሕሰብ።,Imagine a character who has a robotic pet with advanced AI that begins to develop its own personality and desires.
ስምዒታት ኣብ ጥርሙዝ ተዓሺጉ ዝሽየጠላ ዓለም እሞ ሕሰብ። እዚ ንርክባት ደቂ ሰባትን ሕብረተሰብን ብኸመይ ምቐየሮ?,Imagine a world where emotions are bottled and sold. How would this change human interactions and society?
ሓደ ሰብ ሕልሚ ቀትሪ ኣብ ሓቀኛ ህይወት ከስተማቕሮ ይጅምር። ካብ ድቃሶም ኣብ ዝበራበሩሉ እዋን ካልእ ቁራጽ ናይታ ሕልሚ ቀትሪ ዓለም ይስዕቦም ናብ ክውንነት።,"A person begins to experience their nightmares in real life. Every time they wake up, another piece of the nightmare world follows them into reality."
ሓደ ሰራሕ ኣሻንጉሊት ህይወት ዝመስላ ኣሻንጉሊት ይፈጥር፣ ድሕሪ ምስጢራዊ ምጥፋኡ ግን እተን ኣሻንጉሊት ብህይወት ከምዘለዋ ጌረን ክዋስኣ ይጅምራ፣ ነፍሲ ወከፈን ድማ ኣሰቃቒ ዕላማታት ኣለወን።,"A dollmaker creates lifelike dolls, but after his mysterious disappearance, the dolls begin to act as if they are alive, each with sinister intentions."
ናይ ርሑቕ ናይ ስራሕ ልምዲ ግለጽ፣ ግን ኣብ ክንዲ ካብ ገዛ ኮይኑ ዝሰርሕ፣ እቲ ገጸ ባህሪ ካብ ዝተፈላለየ ፍሉይ ቦታታት (ከም ተንሳፋፊ ደሴታት ወይ ዝተደናገሩ ኣግራብ) ይሰርሕ ኣሎ።,"Describe a remote work routine, but instead of working from home, the character is working from different fantastical locations (like floating islands or enchanted forests)."
ንናይ ቀረባ ዓርክኻ ወይ ኣባል ስድራቤትካ መሳጢ ዜና እናካፈልካ ኢመይል ጽሓፍ። ዝርዝራትን ብዛዕባኡ ዝስምዓካ ስምዒትን ንገሮም።,Write an email to a close friend or family member sharing exciting news. Tell them the details and how you’re feeling about it.
ኣብ ዝሓለፈ ዓመታት ብኢንተርነት ምዕዳግ ዝያዳ ተፈታዊ ኮይኑ ኣሎ። ናይዚ ኣንፈት ምኽንያታት እንታይ እዮም፣ ኣብ ውሽጢ ዓዲ ኣብ ዝርከባ ትካላት ንግዲከ እንታይ ጽልዋ ኣለዎ?,"Online shopping has become increasingly popular in recent years. What are the reasons for this trend, and what impact does it have on local businesses?"
ገሊኦም ሰባት ሚዛን ስራሕን ህይወትን ምርካብ ሎሚ ካብቲ ዝሓለፈ ዝያዳ ኣጸጋሚ ምዃኑ ይኣምኑ። ነዚ ኣበሃህላ እዚ ክሳብ ክንደይ ትሰማምዑሉ ወይ ዘይትሰማምዑሉ?,Some believe achieving work-life balance is more difficult today than in the past. To what extent do you agree or disagree with this statement?
ገሊኦም ቆልዑ ንምዕባይ ወለዲ ጥራይ ሓላፍነት ክወስዱ ከምዘለዎም ክኣምኑ እንከለዉ፡ ገሊኦም ድማ መንግስቲ ተራ ክጻወት ኣለዎ ኢሎም ይሓስቡ። ክልቲኡ ኣረኣእያታት ተዘራሪብኩም ርእይቶኹም ሃቡ።,"Some believe parents should be solely responsible for raising children, while others think the government should play a role. Discuss both views and give your opinion."
