id,prompt,source,task,language
3074,"Ka yi tunanin kantin kayan miya na nan gaba inda robobin AI ke taimakawa masu siyayya, amma suna da tunanin kansu. Ta yaya wannan ke shafar kwarewar sayayya?",polywrite,monolingual,hausa
3075,"Juya rana ta yau da kullun na gudanar da ayyuka zuwa ga almara, tare da kowane tasha yana gabatar da ƙalubale na musamman (misali, maido da abubuwan da ba kasafai ba, warware wasanin gwada ilimi, da sauransu).",polywrite,monolingual,hausa
3076,"Ƙungiyar masu bincike sun haɓaka fasaha don tsalle tsakanin girma, amma kowane girma yana da haɗari fiye da na ƙarshe. Me ya sa su ci gaba?",polywrite,monolingual,hausa
3077,"Otal a asirce yana bayyana a wurare daban-daban na duniya, amma da dare kawai. Da gari ya waye, sai ya bace. Menene sirrinsa?",polywrite,monolingual,hausa
3078,Rubuta imel zuwa ga farfesan ku na neman tsawaita aiki. Bayyana halin da ake ciki da kuma samar da madaidaicin lokaci don lokacin da za ku iya kammala aikin.,polywrite,monolingual,hausa
3079,"Wani jami&#39;in bincike ya tashi ba tare da tunawa da sa&#39;o&#39;i 48 da suka gabata ba, sai dai ya gano cewa su ne babban wanda ake zargi da aikata babban laifi. Ta yaya suke tabbatar da rashin laifi?",polywrite,monolingual,hausa
3080,"Ka yi tunanin ajin yoga da ke faruwa a cikin ɗakin karatu mai ban sha&#39;awa inda nauyi ke canzawa, lanƙwasa lokaci, da fa&#39;ida yana ɗaukar tasirin sihiri.",polywrite,monolingual,hausa
3081,"Duk lokacin da kuka hau bas don aiki, kuna samun nau&#39;ikan nau&#39;ikan tafiya iri ɗaya a cikin sararin samaniya. Wadanne alamu ko canje-canje kuka fara gani?",polywrite,monolingual,hausa
3082,Rubuta imel zuwa aboki na kud da kud ko memba na iyali yana raba labarai masu kayatarwa. Faɗa musu cikakkun bayanai da yadda kuke ji game da shi.,polywrite,monolingual,hausa
3083,Rubuta imel na gode wa dan uwa ko aboki don kyauta da suka ba ku. Ka bayyana ainihin dalilin da ya sa kake godiya da kyautar da kuma yadda kake shirin amfani da ita.,polywrite,monolingual,hausa
3084,"Rubuta saƙon imel zuwa ofishin shiga na jami&#39;a yana neman bayani game da takamaiman shiri. Tambayi game da tsarin aikace-aikacen, kwanakin ƙarshe, da sauransu.",polywrite,monolingual,hausa
3085,Rubuta saƙon imel zuwa sashen sabis na abokin ciniki na kamfani don magance ƙarancin gogewar da kuka samu game da sabis ɗin su. Bayyana matsalar kuma ba da shawarar yadda kuke son warware ta.,polywrite,monolingual,hausa
3086,Rubuta imel zuwa wakilin sabis na abokin ciniki yana tambaya game da samuwa da ƙayyadaddun samfurin da kuke sha&#39;awar siya.,polywrite,monolingual,hausa
3087,"Manya da yawa har yanzu ba su da ainihin ƙwarewar dijital a duniyar yau. Menene dalilan wannan, kuma menene za a iya yi don inganta ilimin dijital?",polywrite,monolingual,hausa
3088,Ci gaban fasaha ya canza yadda mutane ke sadarwa. Menene fa&#39;idodi da rashin amfanin wannan ci gaban?,polywrite,monolingual,hausa
3089,Ka yi tunanin zama a cikin gidan da zai iya tsaftace kansa amma yana da &#39;ra&#39;ayin&#39; game da yadda tsabta ya kamata ya kasance. Wadanne matsaloli ne suka taso?,polywrite,monolingual,hausa
3090,Tawagar masu bincike sun gano wata boyayyiyar wayewa wacce duniyar waje ba ta taba ta ba tsawon shekaru aru-aru. Ta yaya suke mu&#39;amala da wannan al&#39;umma?,polywrite,monolingual,hausa
3091,Rubuta tattaunawa tsakanin mai rai da fatalwa wanda ke ba da shawarar rayuwa mara tsammani.,polywrite,monolingual,hausa
3092,"Bayyana tsarin aikin nesa, amma maimakon yin aiki daga gida, halin yana aiki daga wurare daban-daban (kamar tsibirai masu iyo ko gandun daji masu sihiri).",polywrite,monolingual,hausa
3093,"A cikin duniyar da za a iya sace abubuwan tunawa, kwatanta rayuwar barawon ƙwaƙwalwar ajiya wanda ya fara rasa gano ainihin su.",polywrite,monolingual,hausa
3094,"Ka yi tunanin cewa duk lokacin da ka yi aiki, ana kai ka zuwa wata gaskiya ta dabam inda ƙarfin jikinka ya shafi duniyar da ke kewaye da kai. Bayyana zaman motsa jiki guda ɗaya.",polywrite,monolingual,hausa
3095,"An sake gano wata masarauta da ake tunanin bata a tarihi, amma mutanenta ba su yi shekaru aru-aru ba. Me ya same su?",polywrite,monolingual,hausa
3096,Rubuta imel ga farfesa yana tambaya game da yuwuwar damar bincike. Bayyana abubuwan da kuke so kuma ku bayyana dalilin da yasa kuke son yin aiki tare da su.,polywrite,monolingual,hausa
3097,Rubuta game da mataimaki na sirri na AI wanda ya fara fassara ayyuka da ƙirƙira kuma yana ɗaukar ayyuka waɗanda duka biyu masu taimako ne kuma waɗanda ba za a iya faɗi ba.,polywrite,monolingual,hausa
3098,"Wasu na ganin yakamata iyaye su kasance masu alhakin tarbiyyar yara, yayin da wasu ke ganin yakamata gwamnati ta taka rawa. Ku tattauna duka ra&#39;ayoyi kuma ku ba da ra&#39;ayin ku.",polywrite,monolingual,hausa
3099,"Rubuta imel zuwa ga abokan karatunku masu daidaita aikin rukuni. Sanya ayyuka, saita kwanakin ƙarshe, da ba da shawarar lokacin taro don tattauna ci gaba.",polywrite,monolingual,hausa
3100,Rubuta saƙon imel mai zuwa ga abokin ciniki mai yuwuwa wanda ya nuna sha&#39;awar samfurin ku. Tunatar da su fa&#39;idodin kuma bayar da amsa kowace tambaya.,polywrite,monolingual,hausa
3101,Ka yi tunanin wani masarauta inda motsin rai ke sarrafa yanayi. Bayyana rana a cikin rayuwar ɗan ƙasa da ke zaune a can.,polywrite,monolingual,hausa
3102,Ƙirƙirar tattaunawa tsakanin ɗan sama jannati da baƙo wanda ke sadarwa ta amfani da launuka maimakon kalmomi.,polywrite,monolingual,hausa
3103,Wasu sun yi imanin samun daidaiton rayuwar aiki ya fi wahala a yau fiye da na baya. Har yaushe kuka yarda ko kin yarda da wannan magana?,polywrite,monolingual,hausa
3104,Wasu gungun &#39;yan fashin teku na sararin sama suna zirga-zirgar jiragen ruwa a cikin tsibirai masu iyo da kuma biranen sararin sama don neman taska ta almara da ke boye a cikin gajimare.,polywrite,monolingual,hausa
3105,Ana gudanar da wani taro tsakanin nau&#39;ikan baƙo daban-daban don samar da yarjejeniyar zaman lafiya ta duniya. Ta yaya suke shawo kan matsalolin harshe da al&#39;adu?,polywrite,monolingual,hausa
3106,"Wani sabon ƙa&#39;ida yana da&#39;awar siffanta &#39;cikakkiyar ranar aiki&#39; bisa ɗabi&#39;a da abubuwan zaɓin mutum. Rubuta game da wanda ya gwada shi, kawai don gano yana da tsanani fiye da yadda suke tsammani.",polywrite,monolingual,hausa
3107,Yanzu kun fara sabon aiki kuma kuna son gabatar da kanku ga membobin ƙungiyar ku. Rubuta imel na yau da kullun don gabatar da kanku da bayyana jin daɗin ku game da yin aiki tare.,polywrite,monolingual,hausa
3108,"Kasuwancin kan layi ya zama sananne a cikin &#39;yan shekarun nan. Menene dalilan wannan yanayin, kuma wane tasiri yake da shi ga kasuwancin gida?",polywrite,monolingual,hausa
3109,"Rubuta game da wanda ya yi yarjejeniya da sihiri don tsayawa kan manufofin lafiyar su. Kowace rana sun tsallake wani aiki, suna fuskantar wani sakamako mai ban mamaki amma mara daɗi.",polywrite,monolingual,hausa
3110,"Rubuta imel zuwa ga abokin ciniki mai ƙima yana gode musu don ci gaba da kasuwancin su, kuma sanar da su game da haɓaka ko tayi na musamman.",polywrite,monolingual,hausa
3111,Rubuta tattaunawa tsakanin mai bincike da mai aikata laifuka wadanda abokanan yara ne a asirce.,polywrite,monolingual,hausa
3112,"Ƙirƙiri labari a kusa da wani tsohon kayan tarihi wanda, lokacin da aka taɓa shi, yana nuna wa mai riƙe da hangen nesa na makomarsu, amma na daƙiƙa 10 kawai.",polywrite,monolingual,hausa
3113,"A cikin gaba mai sarrafawa ta AI, yanke shawara ta ƙarshe da aka ba wa ɗan adam damar yin ita ce ƙwaƙwalwar da suke son adanawa har abada.",polywrite,monolingual,hausa
3114,"Shirya imel mai tabbatar da sabon mai biyan kuɗi zuwa wasiƙar kamfanin ku. Na gode musu don biyan kuɗi, gaya musu abin da za su jira, kuma sun haɗa da kiran aiki.",polywrite,monolingual,hausa
3115,"Ka yi tunanin ofishin da kowane ma&#39;aikaci ke wakiltar motsin rai daban-daban (misali, farin ciki, fushi, hassada). Ta yaya suke kewaya ayyuka na yau da kullun da tarurruka?",polywrite,monolingual,hausa
3116,"Ƙirƙirar duniyar da kawai tushen ruwa shi ne wani yanki na sufanci wanda ke motsawa kowane wata, yana haifar da ƙaura na dukan mazauna.",polywrite,monolingual,hausa
3117,A lahira ana yin shari’ar rayuka ne bisa tunanin alherin da suka bari. Wani hali ya gane cewa kuɗin kuɗi ya ƙare.,polywrite,monolingual,hausa
3118,"Rubuta imel don bin diddigin hirar aiki da kuka yi makonni biyu da suka gabata. Bayyana ci gaba da sha&#39;awar ku ga matsayi, gode wa mai tambayoyin don lokacinsu, kuma ku nemi sabuntawa.",polywrite,monolingual,hausa
3119,Rubuta saƙon imel zuwa ga farfesan ku yana neman afuwar rashin aji saboda yanayin da ba a zata ba. Tambayi idan akwai wani abu da kuke buƙatar cim ma.,polywrite,monolingual,hausa
3120,"Mai yin tsana ya ƙirƙiri ƴan tsana masu kama da rai, amma bayan bacewarsa na ban mamaki, tsana ta fara aiki kamar suna raye, kowanne da mugun nufi.",polywrite,monolingual,hausa
3121,Yi bayanin maraice na yau da kullun da aka yi amfani da shi tare da dabbar sihiri wanda ke da ikon canza siffarsa don dacewa da yanayin mai shi.,polywrite,monolingual,hausa
3122,"Mutum ya fara dandana mafarkinsa a rayuwa ta ainihi. A duk lokacin da suka farka, wani yanki na duniyar mafarki yana biye da su cikin gaskiya.",polywrite,monolingual,hausa
3123,"Shirya saƙon imel na yau da kullun wanda ke gayyatar abokai zuwa liyafa da kuke shiryawa. Haɗa cikakkun bayanai game da kwanan wata, lokaci, wuri, da kowane ayyuka na musamman.",polywrite,monolingual,hausa
3124,"A cikin jeji mai cike da hadari mai yashi da boyayyun halittu, masu kasada suna gasa a gasar tseren shekara-shekara don samun kyauta mai yawa.",polywrite,monolingual,hausa
3125,Kun lura da cajin da ba daidai ba akan lissafin ku na wata-wata. Rubuta saƙon imel zuwa sashen lissafin kuɗi yana bayyana batun da neman gyara.,polywrite,monolingual,hausa
3126,"Wasu sun yi imanin cewa kafofin watsa labarun na da tasiri mai kyau ga al&#39;umma, yayin da wasu ke tunanin yana da mummunan tasiri. Ku tattauna duka ra&#39;ayoyi kuma ku ba da ra&#39;ayin ku.",polywrite,monolingual,hausa
3127,Ka yi tunanin duniyar da ake sayar da motsin rai. Ta yaya wannan zai canza mu&#39;amala da al&#39;umma?,polywrite,monolingual,hausa
3128,Ma&#39;aikatan jirgin sun makale a wani tsibiri mai ban mamaki wanda koyaushe yana jujjuya yanayin yanayinsa kuma yana ɓoye tsoffin sirrin.,polywrite,monolingual,hausa
3129,Ka yi tunanin kana da babban iko wanda zai baka damar dakatar da lokaci na mintuna 10 kowane awa. Ta yaya kuke shigar da wannan cikin ayyukanku na yau da kullun?,polywrite,monolingual,hausa
3130,"A cikin ofishin sihiri, ma&#39;aikata suna amfani da potions don haɓaka aikin su don ayyuka daban-daban. Menene zai faru idan wani ya ɗauki maganin da bai dace ba don aikin da bai dace ba?",polywrite,monolingual,hausa
3131,Rubuta game da mutumin da ba da sani ba ya sanya hannu kan kwangila tare da matsafi mai ƙarfi kuma yanzu dole ne ya cika wani aiki na kusa da ba zai yuwu ba.,polywrite,monolingual,hausa
3132,"Ka kwatanta balaguro zuwa zurfin teku, inda suka sami wani abin da ba zato ba tsammani—wani tsohon birni da halittun da ba a san su ba suke tsaro.",polywrite,monolingual,hausa
3133,Rubuta imel mai sanyi ga mai yuwuwar abokin ciniki yana gabatar da kamfanin ku kuma yana ba da sabis ɗin ku. Hana mahimman ƙarfin ku kuma bayyana yadda zaku iya taimakawa kasuwancin su.,polywrite,monolingual,hausa
3134,Kwatanta rana a Duniya inda nauyi ke juyawa ba zato ba tsammani na &#39;yan sa&#39;o&#39;i. Yaya mutane da dabbobi suke yi?,polywrite,monolingual,hausa
3135,"Sauyin yanayi yana yin tasiri sosai a duniyarmu. Me kuke ganin su ne manyan musabbabin sauyin yanayi, kuma mene ne illarsa ga muhalli?",polywrite,monolingual,hausa
3136,Ka yi tunanin yanayi yana rera waƙa a ƙasa kafin dare ya faɗi. Wadanne kalmomi da hoto za ta yi amfani da su?,polywrite,monolingual,hausa
3137,Rubuta imel ɗin tallace-tallace zuwa abokin ciniki na yanzu yana ba da samfuran alaƙa waɗanda za su iya sha&#39;awar dangane da sayayya na baya. Bayyana dalilin da yasa waɗannan samfuran suka dace da siyan su.,polywrite,monolingual,hausa
3138,"Kiba na zama babbar matsala a kasashe da dama. Menene musabbabin wannan batu, kuma wadanne matakai za a dauka don magance shi?",polywrite,monolingual,hausa
