id,prompt,source,task,language
400,"Fenoy ny banga _
""Valala tsy _ tsy atolo-jaza""",aya,monolingual,malagasy
401,"Fenoy ny banga _: 
""Lasa be famaliana ny _ ankehitriny""",aya,monolingual,malagasy
402,"Fenoy ny banga:
 “Ny anongotsongoana ny maty, _”",aya,monolingual,malagasy
403," Fenoy ny banga _ :
« _ no nanjanaka an’i Madagasikara nanomboka ny taona 1896 ka hatramin’ny taona 1960 »",aya,monolingual,malagasy
404,"Fehezanteny voalohany : Mila hajaina  ny ray aman-dreniny.
Fehezanteny faharoa : Ny ray aman-dreny nahitana masoandro dia lolohavina an-tampin-doha.
Misy hitovizany ve ireo fehezanteny roa ireo ?",aya,monolingual,malagasy
405,Inona no atao hoe mpanampy feo manan-tsaina?,aya,monolingual,malagasy
406,"Andininy voalohany: Ny fanaovana vaksiny dia fomba mahomby hisorohana ny areti-mifindra sasany.
Fehezan-teny faharoa: Misy ray aman-dreny mandà tsy hanao vaksiny ny zanany noho ny ahiahy momba ny voka-dratsiny.",aya,monolingual,malagasy
407,Manomeza anarana boky malaza fampianarana malagasy?,aya,monolingual,malagasy
408,"Inona no fomba mahafinaritra sy manabe mba hampandraisana anjara ny fianakavianao miaraka amin'ny fianarana?
",aya,monolingual,malagasy
409,Oviana no niandohan'ny haisoratra malagasy?,aya,monolingual,malagasy
410,"Inona no anaran’ny vadin’ny rahavavinao?
a) Ray
b) Dadatoa
d) Rahalahy
e) zaodahy",aya,monolingual,malagasy
411,"Iza no anaran'ilay mpamily alemà malaza Formula 1 nahazo anaram-boninahitra tompondaka eran-tany fito, mitovy amin'ny firaketan'i Michael Schumacher?
a) Lewis Hamilton
b) Sebastian Vettel
c) Fernando Alonso
d) Michael Schumacher",aya,monolingual,malagasy
