prompt,prompt_en
አንድ አዲስ መተግበሪያ በግለሰብ ልማዶች እና ምርጫዎች ላይ በመመስረት &#39;ፍጹሙን የስራ ቀን&#39; አስመስሎ እንደሚሠራ ይናገራል። ስለሞከረው ሰው ይጻፉ፣ ከጠበቁት በላይ በጣም ኃይለኛ እንደሆነ ለማወቅ ብቻ።,"A new app claims to simulate the ‘perfect workday’ based on an individual’s habits and preferences. Write about someone who tries it, only to discover it's far more intense than they expected."
እንደ ሲምፎኒ የበዛበት ከተማ ሪትም እና ድምጾች የሚይዝ ግጥም ፃፉ።,Write a poem that captures the rhythm and sounds of a bustling city as if it were a symphony.
በተራቀቁ ዝርያዎች ስለተሠራች ነገር ግን ስለተተወች ፕላኔት ጻፍ። አዲሶቹ ነዋሪዎች ስለ እውነተኛ ዓላማው ምን አወቁ?,Write about a planet that was engineered by an advanced species but has been abandoned. What do the new inhabitants discover about its true purpose?
በሕዝብ ማመላለሻ ላይ ከተለያዩ የሕይወት ዘርፎች በሚመጡ መንገደኞች መካከል ስለሚደረጉት ያልተለመዱ ግን አጭር ንግግሮች ይጻፉ።,Write about the unusual but brief conversations that take place on public transit between passengers who come from very different walks of life.
በጠፈር ተመራማሪ እና በቃላት ፈንታ ቀለማትን በመጠቀም በሚግባባ የውጭ ዜጋ መካከል ውይይት ይፍጠሩ።,Create a conversation between an astronaut and an alien who communicates using colors instead of words.
ስልጣኔዎች በሰማይ ላይ በሚገኙ ተንሳፋፊ ደሴቶች ላይ የሚኖሩበትን፣ እና ሀብቶች በግዙፍ ፊኛዎች መረብ የሚጓጓዙበትን ዓለም ይግለጹ።,"Describe a world where civilizations live on floating islands in the sky, and resources are transported through a network of giant balloons."
ለምርትዎ ፍላጎት ለገለጸ ደንበኛ ተከታይ ኢሜይል ይጻፉ። ጥቅሞቹን አስታውሳቸው እና ማንኛውንም ጥያቄ እንዲመልሱ ያቅርቡ።,Write a follow-up email to a potential client who expressed interest in your product. Remind them of the benefits and offer to answer any questions.
በአገልግሎታቸው ላይ ያጋጠመዎትን ደካማ ተሞክሮ ለመፍታት ለኩባንያው የደንበኞች አገልግሎት ክፍል ኢሜይል ይጻፉ። ችግሩን ያብራሩ እና እንዴት እንዲፈታ እንደሚፈልጉ ይጠቁሙ።,Write an email to a company’s customer service department to address a poor experience you had with their service. Explain the problem and suggest how you would like it resolved.
አስደሳች ዜናን ለሚጋራ የቅርብ ጓደኛ ወይም የቤተሰብ አባል ኢሜይል ይጻፉ። ዝርዝሮቹን እና ስለሱ ምን እንደሚሰማዎት ይንገሯቸው።,Write an email to a close friend or family member sharing exciting news. Tell them the details and how you’re feeling about it.
ለቤተሰብዎ አባል ወይም ጓደኛዎ ለሰጡዎት ስጦታ በማመስገን ኢሜይል ይጻፉ። ስጦታውን ለምን እንደሚያደንቁ እና እሱን እንዴት ለመጠቀም እንዳሰቡ በግልጽ ይናገሩ።,Write an email thanking a family member or friend for a gift they gave you. Be specific about why you appreciate the gift and how you plan to use it.
በድብቅ የልጅነት ጓደኞች በሆኑ መርማሪ እና በወንጀለኞች ዋና አስተዳዳሪ መካከል ውይይት ይጻፉ።,Write a dialogue between a detective and a criminal mastermind who are secretly childhood friends.
ወደፊት በ AI ቁጥጥር ስር፣ ሰዎች እንዲወስኑ የተፈቀደላቸው የመጨረሻው ውሳኔ የትኛውን ትውስታ ለዘላለም ማቆየት እንደሚፈልጉ ነው።,"In a future controlled by AI, the last decision humans are allowed to make is which memory they want to preserve for eternity."
የጓደኛዎች ቡድን የተረሳ አምላክን ለመጥራት የአምልኮ ሥርዓትን በሚገልጽ አሮጌ መጽሐፍ ላይ ይሰናከላል. እንደ ቀልድ ያከናውናሉ - እስኪሰራ ድረስ.,A group of friends stumbles upon an old book that describes a ritual to summon a forgotten deity. They perform it as a joke—until it works.
ስለ አንድ የተወሰነ ፕሮግራም መረጃ ለመጠየቅ ለዩኒቨርሲቲ መግቢያ ቢሮ ኢሜይል ይጻፉ። ስለ ማመልከቻው ሂደት፣ የግዜ ገደቦች ወዘተ ይጠይቁ።,"Write an email to the admissions office of a university requesting information about a specific program. Ask about the application process, deadlines, etc."
ንጽህና ምን መምሰል እንዳለበት የራሱን ‘አመለካከቶች’ በሚያዳብር ቤት ውስጥ መኖርን አስብ። ምን ችግሮች ይነሳሉ?,Imagine living in a house that can clean itself but develops its own 'opinions' on what cleanliness should look like. What problems arise?
