prompt,prompt_en
Weregodị ya na ị na-ebi n&#39;ụlọ nke nwere ike ịsacha onwe ya ma malite &#39;echiche&#39; nke ya banyere otú ịdị ọcha kwesịrị ịdị. Olee nsogbu na-ebilite?,Imagine living in a house that can clean itself but develops its own 'opinions' on what cleanliness should look like. What problems arise?
Cheedị echiche ka okike na-abụ abụ lullaby n&#39;ụwa tupu abalị adaa. Kedu okwu na onyonyo ọ ga-eji?,Imagine nature singing a lullaby to the earth before the night falls. What words and imagery would it use?
Dee maka mbara ala nke ụdị dị elu mebere ya mana agbahapụla ya. Gịnị ka ndị ọhụrụ bi na ya chọpụtara banyere ezi nzube ya?,Write about a planet that was engineered by an advanced species but has been abandoned. What do the new inhabitants discover about its true purpose?
"Teleportation bụ ụdị njem a na-ahụkarị, mana ọgbaghara na-eme ka ndị njem na-arapara nwa oge n&#39;etiti ebe. Kọwaa otu ndị mmadụ si edozi nsogbu a kwa ụbọchị.","Teleportation is the most common form of transportation, but a glitch causes commuters to temporarily get stuck between locations. Describe how people handle this daily inconvenience."
Dee mkparịta ụka n&#39;etiti onye dị ndụ na mmụọ nke na-enye ndụmọdụ ndụ na-atụghị anya ya.,Write a dialogue between a living person and a ghost who offers unexpected life advice.
Weregodị ya na ị na-ahụ otu obodo dị n&#39;okpuru ala na-agbasa nke osisi bioluminescent na-akwado. Olee nsogbu ndị bi na ya na-enwe?,Imagine a sprawling underground city powered by bioluminescent plants. What challenges do its inhabitants face?
Dee email na-esochi nye onye ahịa nwere ike igosi mmasị na ngwaahịa gị. Chetara ha uru ma nye azịza ajụjụ ọ bụla.,Write a follow-up email to a potential client who expressed interest in your product. Remind them of the benefits and offer to answer any questions.
Dee ozi-e na ngalaba ọrụ ndị ahịa nke ụlọ ọrụ iji lebara ahụmịhe na-adịghị mma ị nwere na ọrụ ha. Kọwaa nsogbu ahụ wee tụọ aro ka ị ga-achọ ka edozi ya.,Write an email to a company’s customer service department to address a poor experience you had with their service. Explain the problem and suggest how you would like it resolved.
Dee ozi-e nye ezigbo enyi gị ma ọ bụ onye ezinaụlọ na-ekerịta ozi na-atọ ụtọ. Gwa ha nkọwa ya na mmetụta gị maka ya.,Write an email to a close friend or family member sharing exciting news. Tell them the details and how you’re feeling about it.
Dee ozi-e na-ekele onye òtù ezinụlọ ma ọ bụ enyi maka onyinye ha nyere gị. Kwuo kpọmkwem ihe mere i ji jiri onyinye ahụ kpọrọ ihe na otú i si eme atụmatụ iji ya mee ihe.,Write an email thanking a family member or friend for a gift they gave you. Be specific about why you appreciate the gift and how you plan to use it.
