id,prompt,source,task,language
2200,Andika barua kwa mama yangu ili kumshawishi kwamba naweza kupata paka.,dolly,monolingual,swahili
2201,Nipe kundi la njia naweza kuweka nyumba yangu baridi katika majira ya joto,dolly,monolingual,swahili
2202,"Ninaposafiri kwa ndege, ninaweza kubeba vitu vitatu tu kati ya vitu vifuatavyo: upanga, kitabu, simu, mkoba, kasa, ndege. Ninapaswa kubeba ipi?",dolly,monolingual,swahili
2203,Kitenzi ni nini?,dolly,monolingual,swahili
2204,"Fupisha hoja na niambie nani alishinda
Context:Kulikuwa na mzozo kati ya Crosby na mdhamini juu ya nini wimbo wa mandhari unapaswa kutumika. Sabuni ya Woodbury na wakala wake, Lennon & Mitchell, walidhani kuwa wimbo ""Upendo"" ambao ulikuwa mada ya programu za Woodbury unapaswa kuendelea. Crosby alisema kuwa mandhari ya kimantiki kwa kifungu hicho ilikuwa ""Where the Blue of the Night (Meets the Gold of the Day)"", kwa misingi ya kwamba wimbo huo ulikuwa umejulikana naye tangu alipokuwa hewani. Hatimaye Woodbury alimkubali mwimbaji huyo. Matatizo mengine yalitokea na Dale Winbrow, ambaye alikuwa ametumwa nje ya pwani ya Magharibi kutoka New York na Lennon & Mitchell shirika la kutatua mada tune hoja na kusimamia show. Winbrow alisikiliza programu ambayo Crosby na Lennie Hayton walikuwa wametayarisha kwa ajili ya kipindi kingine cha televisheni naye akaichambua sana. <unk>Flare up kwamba ilitokezwa kutoka Crosby kumalizika na warbler na Hayton kutangaza wenyewe nje ya show. Usimamizi wa baritone baadaye alishinda juu yake kushikilia wakati hali ilikuwa kusahihishwa nje na shirika la juu ya mwisho New York. <unk>",dolly,monolingual,swahili
2205,Ninapaswa kuwekeza pesa zangu jinsi gani?,dolly,monolingual,swahili
2206,"Kulingana na maandishi ya kumbukumbu kuhusu Bitcoin, nchi ngapi zimepiga marufuku Bitcoin?
Context:Bitcoin (kifupisho: BTC[a] au XBT[b]; ishara: <unk>) ni itifaki ambayo inatekeleza kitabu kinachopatikana sana, cha umma, cha kudumu, na kilichotengwa. Ili kuongeza kwa kitabu, mtumiaji lazima kuthibitisha wao kudhibiti kuingia katika kitabu. Itifaki inabainisha kwamba kuingia inaonyesha kiasi cha ishara, Bitcoin na ndogo b. mtumiaji anaweza update leja, kugawa baadhi ya Bitcoin yao kwa kuingia nyingine katika leja. Kwa sababu ishara ina sifa za pesa, inaweza kufikiriwa kama sarafu ya dijiti.   Bitcoin shughuli ni kuthibitishwa na nodes mtandao kwa njia ya cryptography na kumbukumbu katika umma kusambazwa ledger aitwaye blockchain. Cryptocurrency ilibuniwa mnamo 2008 na mtu asiyejulikana au kikundi cha watu wanaotumia jina Satoshi Nakamoto. Sarafu ilianza kutumika mwaka 2009, wakati utekelezaji wake ulitolewa kama programu ya chanzo wazi.: ch. 1 Neno ""bitcoin"" lilifafanuliwa katika karatasi nyeupe iliyochapishwa Oktoba 31, 2008. Ni mchanganyiko wa maneno kidogo na sarafu.   Maktaba ya Congress inaripoti kuwa, kufikia Novemba 2021, nchi tisa zimepiga marufuku kabisa matumizi ya bitcoin, wakati nchi nyingine arobaini na mbili zimepiga marufuku moja kwa moja. Serikali chache zimetumia Bitcoin kwa uwezo fulani. El Salvador imepitisha Bitcoin kama pesa halali, ingawa matumizi ya wafanyabiashara bado ni ya chini. Ukraine imepokea michango ya cryptocurrency ili kufadhili upinzani kwa uvamizi wa Urusi wa 2022. Iran imetumia Bitcoin kuzunguka vikwazo.",dolly,monolingual,swahili
2207,Ni nini tofauti kati ya idadi ya asili na halisi?,dolly,monolingual,swahili
2208,Upinde wa mvua una rangi gani?,dolly,monolingual,swahili
2209,"Jamii kila nchi kama ndani ya nchi au nje ya nchi: China, Bolivia, Paraguay, Morocco, Ireland, Austria, Uswisi",dolly,monolingual,swahili
