id,prompt,source,task,language
3974,ንሓደ ኣባል ስድራቤትካ ወይ ዓርክኻ ንዝሃቡኻ ህያብ እናመስገንካ ኢመይል ጽሓፍ። ነቲ ህያብ ስለምንታይ ከም እተድንቖን ብኸመይ ክትጥቀመሉ ከም ዝሓሰብካን ብፍሉይ ተዛረብ።,polywrite,monolingual,tigrinya
3975,ምዕቡል AI ዘለዎ ሮቦታዊ እንስሳ ዘቤት ዘለዎ ገጸ ባህሪ እሞ ናይ ገዛእ ርእሱ ስብእናን ድሌታትን ከማዕብል ዝጅምር ገጸ ባህሪ እሞ ሕሰብ።,polywrite,monolingual,tigrinya
3976,ስምዒታት ኣብ ጥርሙዝ ተዓሺጉ ዝሽየጠላ ዓለም እሞ ሕሰብ። እዚ ንርክባት ደቂ ሰባትን ሕብረተሰብን ብኸመይ ምቐየሮ?,polywrite,monolingual,tigrinya
3977,ሓደ ሰብ ሕልሚ ቀትሪ ኣብ ሓቀኛ ህይወት ከስተማቕሮ ይጅምር። ካብ ድቃሶም ኣብ ዝበራበሩሉ እዋን ካልእ ቁራጽ ናይታ ሕልሚ ቀትሪ ዓለም ይስዕቦም ናብ ክውንነት።,polywrite,monolingual,tigrinya
3978,ሓደ ሰራሕ ኣሻንጉሊት ህይወት ዝመስላ ኣሻንጉሊት ይፈጥር፣ ድሕሪ ምስጢራዊ ምጥፋኡ ግን እተን ኣሻንጉሊት ብህይወት ከምዘለዋ ጌረን ክዋስኣ ይጅምራ፣ ነፍሲ ወከፈን ድማ ኣሰቃቒ ዕላማታት ኣለወን።,polywrite,monolingual,tigrinya
3979,ናይ ርሑቕ ናይ ስራሕ ልምዲ ግለጽ፣ ግን ኣብ ክንዲ ካብ ገዛ ኮይኑ ዝሰርሕ፣ እቲ ገጸ ባህሪ ካብ ዝተፈላለየ ፍሉይ ቦታታት (ከም ተንሳፋፊ ደሴታት ወይ ዝተደናገሩ ኣግራብ) ይሰርሕ ኣሎ።,polywrite,monolingual,tigrinya
3980,ንናይ ቀረባ ዓርክኻ ወይ ኣባል ስድራቤትካ መሳጢ ዜና እናካፈልካ ኢመይል ጽሓፍ። ዝርዝራትን ብዛዕባኡ ዝስምዓካ ስምዒትን ንገሮም።,polywrite,monolingual,tigrinya
3981,ኣብ ዝሓለፈ ዓመታት ብኢንተርነት ምዕዳግ ዝያዳ ተፈታዊ ኮይኑ ኣሎ። ናይዚ ኣንፈት ምኽንያታት እንታይ እዮም፣ ኣብ ውሽጢ ዓዲ ኣብ ዝርከባ ትካላት ንግዲከ እንታይ ጽልዋ ኣለዎ?,polywrite,monolingual,tigrinya
3982,ገሊኦም ሰባት ሚዛን ስራሕን ህይወትን ምርካብ ሎሚ ካብቲ ዝሓለፈ ዝያዳ ኣጸጋሚ ምዃኑ ይኣምኑ። ነዚ ኣበሃህላ እዚ ክሳብ ክንደይ ትሰማምዑሉ ወይ ዘይትሰማምዑሉ?,polywrite,monolingual,tigrinya
3983,ገሊኦም ቆልዑ ንምዕባይ ወለዲ ጥራይ ሓላፍነት ክወስዱ ከምዘለዎም ክኣምኑ እንከለዉ፡ ገሊኦም ድማ መንግስቲ ተራ ክጻወት ኣለዎ ኢሎም ይሓስቡ። ክልቲኡ ኣረኣእያታት ተዘራሪብኩም ርእይቶኹም ሃቡ።,polywrite,monolingual,tigrinya
3984,ንሓንቲ ዕለታዊት መዓልቲ ናይ ጉያ ዕዮታት ናብ ቅያዊ ጕዕዞ ቀይርዋ፣ ነፍሲ ወከፍ ደውታ ፍሉይ ብድሆ (ንኣብነት፣ ብርቂ ቀመማት ምውሳድ፣ ምፍታሕ ሕንቅልሕንቅሊተይ ወዘተ)።,polywrite,monolingual,tigrinya
3985,ስሕበትን ቴክኖሎጅን ብዘይ ገለ ጸገም ዝተዋሃሃደ ሕብረተሰብ ኣብ ኣእምሮኻ ስኣሎ። ሰባት ነዚ ሓይልታት እዚ ኣብ መዓልታዊ ህይወቶም ብኸመይ ይጥቀሙሉ፧,polywrite,monolingual,tigrinya
3986,ብዛዕባ ሓደ ፍሉይ ፕሮግራም ሓበሬታ ንምሕታት ናብ ቤት ጽሕፈት ምቕባል ዩኒቨርሲቲ ኢመይል ጽሓፉ። ብዛዕባ መስርሕ ምምልካት፡ ናይ መወዳእታ ግዜ ወዘተ ሕተት።,polywrite,monolingual,tigrinya
3987,ንኣንባቢ ብተኸታታሊ ልዕሊ ክውንነት ዝኾነ ሕልሚ ዝወስድ ግጥሚ ኣዳልዉ፣ ክውንነትን ምናኔን ብምውህሃድ።,polywrite,monolingual,tigrinya
3988,ምስጢራዊ ናይ ዕዳጋ ስራሕ ዕማም ተዋሂቡካ ኣሎ፡ እተን እትለኣኸለን ድኳናት ግን ካብ ተራ ወጻኢ ካልእ እየን-ነፍሲ ወከፈን ክቕላዕ ዘለዎ ምስጢር ኣለወን።,polywrite,monolingual,tigrinya
3989,ሓደ ክመውት ዘይክእል ግን ከኣ ካብቲ ዝወረዶ መጉዳእቲ ነፍሲ ወከፍ ቃንዛ ዝስምዖ ገጸ ባህሪ ግለጽ። ነዚ ህላወ እዚ ብኸመይ እዮም ዚዋጽእዎ፧,polywrite,monolingual,tigrinya
3990,ሓደ መሸፈኒ ኣፍን ኣፍንጫን ዝለበሰ ጓና ኣብ ዝተፈላለየ ቦታታት ገበን ብቐጻሊ ይቐርብ እምበር ምስቲ ገበን ዝተኣሳሰር ኣይመስልን። መን እዮም፡ እንታይከ ይፈልጡ?,polywrite,monolingual,tigrinya
3991,ኣብ ሓደ ትካል ክፍሊ ኣገልግሎት ዓማዊል ብኢመይል ጽሓፉ፡ ነቲ ኣብ ኣገልግሎቶም ዘጋጠመካ ድኹም ተመክሮ ንምፍታሕ። ነቲ ጸገም ግለጽ እሞ ብኸመይ ክፍታሕ ከም እትደሊ ሓሳብ ሃቦ።,polywrite,monolingual,tigrinya
3992,ንወኪል ኣገልግሎት ዓማዊል ብዛዕባ ምህላውን ስፔሲፊኬሽንን ናይቲ ክትገዝኦ እትደሊ ፍርያት ክትሓትት ኢመይል ጽሓፍ።,polywrite,monolingual,tigrinya
3993,ጕጅለ ሸፋቱ ባሕሪ ሰማይ፡ ኣብ ደበናታት ዝተሓብአ ኣፈ-ታሪኻዊ ሃብቲ ንምድላይ ኣብ ተንሳፋፊ ደሴታትን ከተማታት ሰማይን ኣብ መራኽብ ኣየር ይጓዓዙ።,polywrite,monolingual,tigrinya
