prompt,prompt_en
"Ka yi tunanin kantin kayan miya na nan gaba inda robobin AI ke taimakawa masu siyayya, amma suna da tunanin kansu. Ta yaya wannan ke shafar kwarewar sayayya?","Imagine a futuristic grocery store where AI-driven robots assist shoppers, but they have a mind of their own. How does this affect the shopping experience?"
"Juya rana ta yau da kullun na gudanar da ayyuka zuwa ga almara, tare da kowane tasha yana gabatar da ƙalubale na musamman (misali, maido da abubuwan da ba kasafai ba, warware wasanin gwada ilimi, da sauransu).","Turn a mundane day of running errands into an epic quest, with each stop presenting a unique challenge (e.g., retrieving rare ingredients, solving puzzles, etc.)."
"Ƙungiyar masu bincike sun haɓaka fasaha don tsalle tsakanin girma, amma kowane girma yana da haɗari fiye da na ƙarshe. Me ya sa su ci gaba?","A group of explorers has developed technology to jump between dimensions, but each dimension is subtly more dangerous than the last. What keeps them going?"
"Otal a asirce yana bayyana a wurare daban-daban na duniya, amma da dare kawai. Da gari ya waye, sai ya bace. Menene sirrinsa?","A hotel mysteriously appears in different locations around the world, but only at night. Once morning comes, it vanishes. What’s its secret?"
Rubuta imel zuwa ga farfesan ku na neman tsawaita aiki. Bayyana halin da ake ciki da kuma samar da madaidaicin lokaci don lokacin da za ku iya kammala aikin.,Write an email to your professor requesting an extension for an assignment. Explain your situation and provide a reasonable timeline for when you can complete the work.
"Wani jami&#39;in bincike ya tashi ba tare da tunawa da sa&#39;o&#39;i 48 da suka gabata ba, sai dai ya gano cewa su ne babban wanda ake zargi da aikata babban laifi. Ta yaya suke tabbatar da rashin laifi?","A detective wakes up with no memory of the last 48 hours, only to find that they’re the prime suspect in a major crime. How do they prove their innocence?"
"Ka yi tunanin ajin yoga da ke faruwa a cikin ɗakin karatu mai ban sha&#39;awa inda nauyi ke canzawa, lanƙwasa lokaci, da fa&#39;ida yana ɗaukar tasirin sihiri.","Imagine a yoga class that takes place in an enchanted studio where gravity shifts, time bends, and poses take on magical effects."
"Duk lokacin da kuka hau bas don aiki, kuna samun nau&#39;ikan nau&#39;ikan tafiya iri ɗaya a cikin sararin samaniya. Wadanne alamu ko canje-canje kuka fara gani?","Every time you take the bus to work, you experience a different version of the same commute in a parallel universe. What patterns or changes do you begin to notice?"
Rubuta imel zuwa aboki na kud da kud ko memba na iyali yana raba labarai masu kayatarwa. Faɗa musu cikakkun bayanai da yadda kuke ji game da shi.,Write an email to a close friend or family member sharing exciting news. Tell them the details and how you’re feeling about it.
Rubuta imel na gode wa dan uwa ko aboki don kyauta da suka ba ku. Ka bayyana ainihin dalilin da ya sa kake godiya da kyautar da kuma yadda kake shirin amfani da ita.,Write an email thanking a family member or friend for a gift they gave you. Be specific about why you appreciate the gift and how you plan to use it.
"Rubuta saƙon imel zuwa ofishin shiga na jami&#39;a yana neman bayani game da takamaiman shiri. Tambayi game da tsarin aikace-aikacen, kwanakin ƙarshe, da sauransu.","Write an email to the admissions office of a university requesting information about a specific program. Ask about the application process, deadlines, etc."
Rubuta saƙon imel zuwa sashen sabis na abokin ciniki na kamfani don magance ƙarancin gogewar da kuka samu game da sabis ɗin su. Bayyana matsalar kuma ba da shawarar yadda kuke son warware ta.,Write an email to a company’s customer service department to address a poor experience you had with their service. Explain the problem and suggest how you would like it resolved.
Rubuta imel zuwa wakilin sabis na abokin ciniki yana tambaya game da samuwa da ƙayyadaddun samfurin da kuke sha&#39;awar siya.,Write an email to a customer service representative inquiring about the availability and specifications of a product you are interested in purchasing.
"Manya da yawa har yanzu ba su da ainihin ƙwarewar dijital a duniyar yau. Menene dalilan wannan, kuma menene za a iya yi don inganta ilimin dijital?","Many adults still do not have basic digital skills in today's world. What are the reasons behind this, and what can be done to improve digital literacy?"
Ci gaban fasaha ya canza yadda mutane ke sadarwa. Menene fa&#39;idodi da rashin amfanin wannan ci gaban?,Technological advancements have changed how people communicate. What are the advantages and disadvantages of this development?
Ka yi tunanin zama a cikin gidan da zai iya tsaftace kansa amma yana da &#39;ra&#39;ayin&#39; game da yadda tsabta ya kamata ya kasance. Wadanne matsaloli ne suka taso?,Imagine living in a house that can clean itself but develops its own 'opinions' on what cleanliness should look like. What problems arise?
Tawagar masu bincike sun gano wata boyayyiyar wayewa wacce duniyar waje ba ta taba ta ba tsawon shekaru aru-aru. Ta yaya suke mu&#39;amala da wannan al&#39;umma?,A team of explorers discovers a hidden civilization that has been untouched by the outside world for centuries. How do they interact with this society?
Rubuta tattaunawa tsakanin mai rai da fatalwa wanda ke ba da shawarar rayuwa mara tsammani.,Write a dialogue between a living person and a ghost who offers unexpected life advice.
"Bayyana tsarin aikin nesa, amma maimakon yin aiki daga gida, halin yana aiki daga wurare daban-daban (kamar tsibirai masu iyo ko gandun daji masu sihiri).","Describe a remote work routine, but instead of working from home, the character is working from different fantastical locations (like floating islands or enchanted forests)."
"A cikin duniyar da za a iya sace abubuwan tunawa, kwatanta rayuwar barawon ƙwaƙwalwar ajiya wanda ya fara rasa gano ainihin su.","In a world where memories can be stolen, describe the life of a memory thief who begins to lose track of their own identity."
"Ka yi tunanin cewa duk lokacin da ka yi aiki, ana kai ka zuwa wata gaskiya ta dabam inda ƙarfin jikinka ya shafi duniyar da ke kewaye da kai. Bayyana zaman motsa jiki guda ɗaya.","Imagine that every time you work out, you are transported to an alternate reality where your physical strength affects the world around you. Describe one workout session."
"An sake gano wata masarauta da ake tunanin bata a tarihi, amma mutanenta ba su yi shekaru aru-aru ba. Me ya same su?","A kingdom thought to be lost in history is rediscovered, but its people haven’t aged in centuries. What happened to them?"
Rubuta imel ga farfesa yana tambaya game da yuwuwar damar bincike. Bayyana abubuwan da kuke so kuma ku bayyana dalilin da yasa kuke son yin aiki tare da su.,Write an email to a professor inquiring about potential research opportunities. Highlight your interests and explain why you’d like to work with them.
Rubuta game da mataimaki na sirri na AI wanda ya fara fassara ayyuka da ƙirƙira kuma yana ɗaukar ayyuka waɗanda duka biyu masu taimako ne kuma waɗanda ba za a iya faɗi ba.,Write about an AI personal assistant that starts to interpret tasks creatively and takes actions that are both helpful and wildly unpredictable.
"Wasu na ganin yakamata iyaye su kasance masu alhakin tarbiyyar yara, yayin da wasu ke ganin yakamata gwamnati ta taka rawa. Ku tattauna duka ra&#39;ayoyi kuma ku ba da ra&#39;ayin ku.","Some believe parents should be solely responsible for raising children, while others think the government should play a role. Discuss both views and give your opinion."
"Rubuta imel zuwa ga abokan karatunku masu daidaita aikin rukuni. Sanya ayyuka, saita kwanakin ƙarshe, da ba da shawarar lokacin taro don tattauna ci gaba.","Compose an email to your classmates coordinating a group project. Assign tasks, set deadlines, and suggest a meeting time to discuss progress."
Rubuta saƙon imel mai zuwa ga abokin ciniki mai yuwuwa wanda ya nuna sha&#39;awar samfurin ku. Tunatar da su fa&#39;idodin kuma bayar da amsa kowace tambaya.,Write a follow-up email to a potential client who expressed interest in your product. Remind them of the benefits and offer to answer any questions.
Ka yi tunanin wani masarauta inda motsin rai ke sarrafa yanayi. Bayyana rana a cikin rayuwar ɗan ƙasa da ke zaune a can.,Imagine a kingdom where emotions control the weather. Describe a day in the life of a citizen living there.
Ƙirƙirar tattaunawa tsakanin ɗan sama jannati da baƙo wanda ke sadarwa ta amfani da launuka maimakon kalmomi.,Create a conversation between an astronaut and an alien who communicates using colors instead of words.
Wasu sun yi imanin samun daidaiton rayuwar aiki ya fi wahala a yau fiye da na baya. Har yaushe kuka yarda ko kin yarda da wannan magana?,Some believe achieving work-life balance is more difficult today than in the past. To what extent do you agree or disagree with this statement?
Wasu gungun &#39;yan fashin teku na sararin sama suna zirga-zirgar jiragen ruwa a cikin tsibirai masu iyo da kuma biranen sararin sama don neman taska ta almara da ke boye a cikin gajimare.,A band of sky pirates navigates airships through floating islands and sky cities in search of a legendary treasure hidden in the clouds.
Ana gudanar da wani taro tsakanin nau&#39;ikan baƙo daban-daban don samar da yarjejeniyar zaman lafiya ta duniya. Ta yaya suke shawo kan matsalolin harshe da al&#39;adu?,A conference is held between various alien species to form a universal peace treaty. How do they overcome language and cultural barriers?
"Wani sabon ƙa&#39;ida yana da&#39;awar siffanta &#39;cikakkiyar ranar aiki&#39; bisa ɗabi&#39;a da abubuwan zaɓin mutum. Rubuta game da wanda ya gwada shi, kawai don gano yana da tsanani fiye da yadda suke tsammani.","A new app claims to simulate the ‘perfect workday’ based on an individual’s habits and preferences. Write about someone who tries it, only to discover it's far more intense than they expected."
Yanzu kun fara sabon aiki kuma kuna son gabatar da kanku ga membobin ƙungiyar ku. Rubuta imel na yau da kullun don gabatar da kanku da bayyana jin daɗin ku game da yin aiki tare.,You’ve just started a new job and want to introduce yourself to your team members. Write a formal email introducing yourself and expressing your excitement about working together.
"Kasuwancin kan layi ya zama sananne a cikin &#39;yan shekarun nan. Menene dalilan wannan yanayin, kuma wane tasiri yake da shi ga kasuwancin gida?","Online shopping has become increasingly popular in recent years. What are the reasons for this trend, and what impact does it have on local businesses?"
"Rubuta game da wanda ya yi yarjejeniya da sihiri don tsayawa kan manufofin lafiyar su. Kowace rana sun tsallake wani aiki, suna fuskantar wani sakamako mai ban mamaki amma mara daɗi.","Write about someone who makes a deal with a magical being to stick to their health goals. Each day they skip a task, they face a quirky but inconvenient consequence."
"Rubuta imel zuwa ga abokin ciniki mai ƙima yana gode musu don ci gaba da kasuwancin su, kuma sanar da su game da haɓaka ko tayi na musamman.","Compose an email to a valued customer thanking them for their continued business, and inform them about a special promotion or offer."
Rubuta tattaunawa tsakanin mai bincike da mai aikata laifuka wadanda abokanan yara ne a asirce.,Write a dialogue between a detective and a criminal mastermind who are secretly childhood friends.
"Ƙirƙiri labari a kusa da wani tsohon kayan tarihi wanda, lokacin da aka taɓa shi, yana nuna wa mai riƙe da hangen nesa na makomarsu, amma na daƙiƙa 10 kawai.","Create a narrative around an ancient artifact that, when touched, shows the holder a glimpse of their future, but only for 10 seconds."
"A cikin gaba mai sarrafawa ta AI, yanke shawara ta ƙarshe da aka ba wa ɗan adam damar yin ita ce ƙwaƙwalwar da suke son adanawa har abada.","In a future controlled by AI, the last decision humans are allowed to make is which memory they want to preserve for eternity."
"Shirya imel mai tabbatar da sabon mai biyan kuɗi zuwa wasiƙar kamfanin ku. Na gode musu don biyan kuɗi, gaya musu abin da za su jira, kuma sun haɗa da kiran aiki.","Compose an email confirming a new subscriber to your company’s newsletter. Thank them for subscribing, tell them what to expect, and include a call to action."
"Ka yi tunanin ofishin da kowane ma&#39;aikaci ke wakiltar motsin rai daban-daban (misali, farin ciki, fushi, hassada). Ta yaya suke kewaya ayyuka na yau da kullun da tarurruka?","Imagine an office where every employee represents a different emotion (e.g., joy, anger, envy). How do they navigate daily tasks and meetings?"
"Ƙirƙirar duniyar da kawai tushen ruwa shi ne wani yanki na sufanci wanda ke motsawa kowane wata, yana haifar da ƙaura na dukan mazauna.","Create a world where the only source of water is a mystical oasis that moves every month, leading to constant migration of all inhabitants."
A lahira ana yin shari’ar rayuka ne bisa tunanin alherin da suka bari. Wani hali ya gane cewa kuɗin kuɗi ya ƙare.,"In the afterlife, souls are judged based on the memories of kindness they left behind. A character realizes they are running out of currency."
"Rubuta imel don bin diddigin hirar aiki da kuka yi makonni biyu da suka gabata. Bayyana ci gaba da sha&#39;awar ku ga matsayi, gode wa mai tambayoyin don lokacinsu, kuma ku nemi sabuntawa.","Write an email to follow up on a job interview you had two weeks ago. Express your continued interest in the position, thank the interviewer for their time, and ask for updates."
Rubuta saƙon imel zuwa ga farfesan ku yana neman afuwar rashin aji saboda yanayin da ba a zata ba. Tambayi idan akwai wani abu da kuke buƙatar cim ma.,Write an email to your professor apologizing for missing a class due to unforeseen circumstances. Ask if there is any material you need to catch up on.
