id,prompt,source,task,language
2600,Tam kong ni itye ki teko ma weko i juku cawa pi dakika 10 i cawa acel acel. I keto man i yub ni me nino ducu nining?,polywrite,monolingual,acholi
2601,"Wil i intanet odoko gin ma dano maro i mwaka manok ma okato ni. Ngo ma tye ka kelo kit man, ki adwogi ango ma en tye kwede i kom biacara ma i kabedo moni?",polywrite,monolingual,acholi
2602,Co waraga ma ki lwongo ni email bot ngat ma twero bedo lawil kun inyutu kampuni ni ki miiyo kony ni. Nyut teko ni ma pire tek ki itit kit ma itwero konyo kwede biacara gi.,polywrite,monolingual,acholi
2603,Dano mogo gitamo ni nongo tic ki kwo ma rwate tek i kare ni ma loyo kare mukato angec. I rwom mene ma in iyee onyo pe iye ki lok man?,polywrite,monolingual,acholi
2604,"I kare me anyim ma ki loyo ki AI, tam me agiiki ma dano ki yee me moko en tye tam mene ma gi miito gwoko pi naka.",polywrite,monolingual,acholi
2605,Co lok i kom nino mo acel i kwo pa ngat ma tye ki yub maber ma yubo dakika acel acel me nino ne. Ngo ma time ka jami ocako wot ma pe opore?,polywrite,monolingual,acholi
2606,"Tit lok ma mako wot me nino ducu i boma ma opong ki ler me aura, ma motoka ma tero dano tye iye gadigadi ma ki yubu me aura, ler ma tware, onyo doggola.",polywrite,monolingual,acholi
2607,"Co lok i kom boma ma, acel acel, dano tye ka rweny labongo tyen lok mo. Dano ma odong pe gi po i kom jo ma orweny.",polywrite,monolingual,acholi
2608,"Yub yoo me coyo lok ma pat pat me neno jami ma otimme i nino meno, kun itiyo ki lok ma mako kare manok me pwoc, diro, onyo nongo ngec i komi keni.",polywrite,monolingual,acholi
2609,Coo email bot lapwony ma tye ka penyo pi kare me kwan ma twero bedo tye. Nyut jami ma imaro ki itit pingo imito tic kwed gi.,polywrite,monolingual,acholi
2610,"I boma mo matidi, ceng rweny woko oyotoyot dok kare ducu bedo dyewor. Pe tye ngat mo ma twero aa ki i boma ni, ki ler ma pe ngeyo gi ocako nen ki i piny macol.",polywrite,monolingual,acholi
2611,Coo email bot lapwony ni me kwayo kica pi rwenyo kwan pi jami ma pi ki tamo. Peny ka tye gin mo ma imito kwano.,polywrite,monolingual,acholi
2612,"Yub kit me lwoko jami nino ducu i lobo ma nino weng kelo jami ma kelo peko, ma calo buru ma opong ki jami me lwoko jami.",polywrite,monolingual,acholi
2613,"Co email bot ladit tic ni me kwayo kica pi rwenyo kare me agiki me tic. Tit tyen lok me galo wang, ki iket jami ma myero itim me neno ni pe dok otimme.",polywrite,monolingual,acholi
2614,"Layub buru yubu buru ma nen calo kwo, ento i nge rweny ne labongo ngeyo, buru ni oyabo timo calo gii kwo, gin acel acel ki tam marac.",polywrite,monolingual,acholi
2615,Lutic mo gupoto i cula nam mo ma pe ki ngeyo ma kare ki kare loko kabedo ne ki kano jami macon ma ki kano.,polywrite,monolingual,acholi
2616,"I boma madongo mapol, balo yamo ki pii obedo gin ma pire tek. Gin ango ma kelo pekki magi, dok yo ango ma kiromo timone me yubone?",polywrite,monolingual,acholi
2617,Tit lok ma mako otyeno ma ibedo kwede ki ler ma ki gwoko ma tye ki kero me loko kit ne me rwate ki kit ma wone winyo kwede.,polywrite,monolingual,acholi
2618,"Dano cako winyo lek maraco i kwo me ada. Kare weny ma gucoo, gin mukene me lobo ma nen marac lubo kor gi i lok adaa.",polywrite,monolingual,acholi
2619,Cokke kitimo i kin ler ma pat pat me yubu gicikke me kuc. Gin gi loyo peko me leb ki tekwaro nining?,polywrite,monolingual,acholi
2620,Coo email bot ladit tic macon kun ipenye me tic kwede macalo lanyut me penyo pi tic manyen. Penygi ki mwolo pi twerogi dok ipwogi pi cwakgi.,polywrite,monolingual,acholi
2621,Co waraga me pwoyo ngat mo ma i gang nyo larem pi mic ma omini. Tit gin mumiyo imaro mic meno ki kit ma imito tic kwede.,polywrite,monolingual,acholi
