prompt,prompt_en
Andika barua pepe kumshukuru mwanafamilia au rafiki kwa zawadi aliyokupa. Taja wazi kwa nini unathamini zawadi hiyo na jinsi unavyopanga kuitumia.,Write an email thanking a family member or friend for a gift they gave you. Be specific about why you appreciate the gift and how you plan to use it.
Fikiria mhusika ambaye ana kipenzi cha roboti na AI ya hali ya juu ambayo huanza kukuza utu na matamanio yake.,Imagine a character who has a robotic pet with advanced AI that begins to develop its own personality and desires.
"Hebu fikiria ulimwengu ambapo hisia huwekwa kwenye chupa na kuuzwa. Je, hii ingebadilisha vipi mwingiliano wa binadamu na jamii?",Imagine a world where emotions are bottled and sold. How would this change human interactions and society?
"Mtu huanza kupata ndoto zao mbaya katika maisha halisi. Kila wakati wanapoamka, kipande kingine cha ulimwengu wa ndoto huwafuata katika ukweli.","A person begins to experience their nightmares in real life. Every time they wake up, another piece of the nightmare world follows them into reality."
"Mtengenezaji wa wanasesere huunda wanasesere wanaofanana na maisha, lakini baada ya kutoweka kwake kwa njia isiyoeleweka, wanasesere hao huanza kutenda kana kwamba wako hai, kila mmoja akiwa na nia mbaya.","A dollmaker creates lifelike dolls, but after his mysterious disappearance, the dolls begin to act as if they are alive, each with sinister intentions."
"Eleza utaratibu wa kufanya kazi wa mbali, lakini badala ya kufanya kazi nyumbani, mhusika anafanya kazi kutoka maeneo tofauti ya kupendeza (kama vile visiwa vinavyoelea au misitu iliyorogwa).","Describe a remote work routine, but instead of working from home, the character is working from different fantastical locations (like floating islands or enchanted forests)."
Andika barua pepe kwa rafiki wa karibu au mwanafamilia ukishiriki habari za kusisimua. Waambie maelezo na jinsi unavyohisi kulihusu.,Write an email to a close friend or family member sharing exciting news. Tell them the details and how you’re feeling about it.
"Ununuzi mtandaoni umezidi kuwa maarufu katika miaka ya hivi karibuni. Ni sababu gani za mwelekeo huu, na una athari gani kwa biashara za ndani?","Online shopping has become increasingly popular in recent years. What are the reasons for this trend, and what impact does it have on local businesses?"
"Wengine wanaamini kufikia usawa wa maisha ya kazi ni ngumu zaidi leo kuliko zamani. Je, unakubaliana au hukubaliani na kauli hii kwa kiasi gani?",Some believe achieving work-life balance is more difficult today than in the past. To what extent do you agree or disagree with this statement?
"Baadhi wanaamini kwamba wazazi wanapaswa kuwa na jukumu la kulea watoto, wakati wengine wanafikiri serikali inapaswa kuchukua jukumu. Jadili maoni yote mawili na toa maoni yako.","Some believe parents should be solely responsible for raising children, while others think the government should play a role. Discuss both views and give your opinion."
"Geuza siku isiyo ya kawaida ya shughuli fupi kuwa pambano kuu, na kila kuacha kuwasilisha changamoto ya kipekee (km, kupata viungo adimu, kutatua mafumbo, n.k.).","Turn a mundane day of running errands into an epic quest, with each stop presenting a unique challenge (e.g., retrieving rare ingredients, solving puzzles, etc.)."
"Tazama jamii ambapo uchawi na teknolojia zimeunganishwa bila mshono. Je, watu hutumiaje nguvu hizi katika maisha yao ya kila siku?",Envision a society where magic and technology are seamlessly integrated. How do people use these powers in their daily lives?
"Andika barua pepe kwa ofisi ya uandikishaji ya chuo kikuu ukiomba habari kuhusu programu maalum. Uliza kuhusu mchakato wa maombi, tarehe za mwisho, nk.","Write an email to the admissions office of a university requesting information about a specific program. Ask about the application process, deadlines, etc."
"Tunga shairi ambalo humchukua msomaji kupitia safu ya picha za ndoto, kuchanganya ukweli na mawazo.","Compose a poem that takes the reader through a series of surreal dreamscapes, blending reality and imagination."
"Umekabidhiwa kazi ya ajabu ya ununuzi, lakini maduka unayotumwa si ya kawaida—kila moja lina siri inayohitaji kufichuliwa.","You are tasked with a mystery shopping job, but the stores you're sent to are anything but ordinary—each one has a secret that needs to be uncovered."
"Eleza mhusika ambaye hawezi kufa lakini anahisi kila uchungu kutokana na majeraha yao. Je, wanakabilianaje na kuwepo huku?",Describe a character who cannot die but feels every bit of pain from their injuries. How do they cope with this existence?
