id,prompt,source,task,language
3474,"Amin&#39;ny hoavy fehezin&#39;ny AI, ny fanapahan-kevitra farany azon&#39;ny olombelona atao dia ny fahatsiarovana tiany hotehirizina ho mandrakizay.",polywrite,monolingual,malagasy
3475,Tanàna maro no mampiasa vola amin&#39;ny fitateram-bahoaka mba hampihenana ny fitohanan&#39;ny fifamoivoizana. Ifanakalozy hevitra ny tombony sy ny tsy fahampian&#39;ity fampiasam-bola ity.,polywrite,monolingual,malagasy
3476,"Manoritsoritra tontolo iray taorian&#39;ny apokaliptika izay nanangana ny tenany ho utopia, saingy misy tsiambaratelo fototra izay manohintohina ny fiadanany.",polywrite,monolingual,malagasy
3477,"Manorata mailaka any amin&#39;ny biraon&#39;ny fidirana amin&#39;ny oniversite mangataka fampahalalana momba ny programa manokana. Anontanio ny fizotran&#39;ny fangatahana, ny fe-potoana, sns.",polywrite,monolingual,malagasy
3478,Nisy andiana namana tafintohina teo amin&#39;ny boky tranainy iray izay milaza ny fombafomba hiantsoana andriamanitra adino. Manao vazivazy izy ireo—mandra-pahoviana.,polywrite,monolingual,malagasy
3479,Manorata mailaka any amin&#39;ny sampan-draharahan&#39;ny mpanjifan&#39;ny orinasa iray mba hamahana ny traikefa ratsy nanananao tamin&#39;ny serivisy. Hazavao ny olana ary soso-kevitra ny fomba tianao hamahana izany.,polywrite,monolingual,malagasy
3480,"Ao amin&#39;ny tanàna futuristika, ny rafitry ny metro dia maze tsy mitsaha-miova. Manorata momba ny fivezivezen&#39;ny olona iray amin&#39;ny alàlan&#39;ity rafitra tsy ampoizina ity.",polywrite,monolingual,malagasy
3481,Manorata mailaka amin&#39;ny mpampianatra anao hiala tsiny noho ny tsy fahampian&#39;ny kilasy noho ny toe-javatra tsy ampoizina. Anontanio raha misy fitaovana ilainao ho tratrarina.,polywrite,monolingual,malagasy
3482,"Avereno ho fikatsahana epic ny andro mahazatra amin&#39;ny fampandehanana ny asa, ary ny fiatoana tsirairay dia manolotra fanamby tokana (ohatra, maka ireo akora tsy fahita firy, famahana piozila, sns.).",polywrite,monolingual,malagasy
3483,Manorata mailaka any amin&#39;ny solontenan&#39;ny serivisy mpanjifa manontany momba ny fisian&#39;ny vokatra iray tianao hovidina.,polywrite,monolingual,malagasy
