prompt,prompt_en
Tit nino mo i lobo ma teko me ywayo piny odok cen pi cawa manok. Dano ki lee gidok iye nining?,Describe a day on Earth where gravity suddenly reverses for a few hours. How do people and animals react?
"Coo imeil me lubo lok ma mako tic ma onongo itye kwede cabit aryo mukato angec. Nyut miti ni i kom tic ni, pwo ngat ma tye ka penyo pi kare ne, ki peny pi ngec manyen.","Write an email to follow up on a job interview you had two weeks ago. Express your continued interest in the position, thank the interviewer for their time, and ask for updates."
Myero i yub yub me rwate ki latic lawoti me nyamo kit ma yub moni tye ka wot kwede anyim. Coo imeil ma mwol kun ipenyo cawa ma opore pi cokke ki mi lok manok.,You need to schedule a meeting with a colleague to discuss the progress of a project. Write a polite email requesting a suitable time for the meeting and provide a brief outline.
Coo email bot ladit tic ni me penyo pi tam i kom ripot ma i cwalo cok cok ni. Nyut miti ni me medo rom pa tic ni ki peny pi tam mogo ma opore.,Write an email to your supervisor asking for feedback on a recent report you submitted. Express your interest in improving your work and ask for specific suggestions.
"Co email bot ladit tic ni me kwayo kica pi rwenyo kare me agiki me tic. Tit tyen lok me galo wang, ki iket jami ma myero itim me neno ni pe dok otimme.","Compose an email to your manager apologizing for missing a project deadline. Explain the reason for the delay, and outline your steps to ensure it won’t happen again."
"Coo email bot lacat ma okelo jami ma pi opore onyo ma obale. Tit lok ni ki mwolo, mi ngec matut, ki peny pi dwoko cente onyo loko gin mukene.","Write an email to a vendor who delivered incorrect or damaged products. Politely explain the issue, provide details, and request a refund or replacement."
Ineno ni wel cul ma pi opore i kom wel cente ma iculo dwe ki dwe. Coo email bot jang gang kal ma kwako cul me tito peko ni ki penyo pi yubu ne.,You’ve noticed an incorrect charge on your monthly bill. Write an email to the billing department explaining the issue and asking for a correction.
"Co email bot lawil ma pire tek me pwoyo gi pi tic gi ma tye ka mede, ki mi ngec bot gi pi lok ma mako cato wil onyo gin ma ki miini.","Compose an email to a valued customer thanking them for their continued business, and inform them about a special promotion or offer."
Co email me penyo pi dwoko onyo loko gin ma i wilo ki i intanet. Ket namba me wil ni ki tyen lok me dwoko ne.,Compose an email to request a return or exchange for a product you purchased online. Include your order number and reason for the return.
Co imeil bot laremi mo ma pe iloko kwede pi kare malac. Tit bot gi ngo ma tye ka time i kwo ni ki ipeny gi kit ma gitye ka timo kwede.,Write an email to a friend you haven’t spoken to in a while. Catch them up on what’s been happening in your life and ask them how they’re doing.
Co waraga me pwoyo ngat mo ma i gang nyo larem pi mic ma omini. Tit gin mumiyo imaro mic meno ki kit ma imito tic kwede.,Write an email thanking a family member or friend for a gift they gave you. Be specific about why you appreciate the gift and how you plan to use it.
"Co waraga ma ki lwongo ni email ma pe ki ngeyo me lwongo lurem me bino i yub ma itye ka yubu. Ket lok matut i kom nino dwe, cawa, kabedo, ki jami mogo ma pigi tego ma bitimme.","Compose an informal email inviting friends to a party you’re hosting. Include details about the date, time, location, and any special activities."
Co waraga me pwoyo larem nyo latic lawoti pi gin mo ma en otimo cok cok ni. Nyut yom cwinyi pi gin ki mi lok me cuko cwiny.,Write an email congratulating a friend or colleague on a recent achievement. Express your happiness for them and offer words of encouragement.
Coo email bot larem macok nyo ngat mo me ot kun inywako kwena maber. Tit bot gi lok ma mako ne ki kit ma iwiinyo kwede.,Write an email to a close friend or family member sharing exciting news. Tell them the details and how you’re feeling about it.
"Coo email bot jang gang kwan me univacite kun ipenyo pi ngec ma mako yub mo. Peny pi kit me keto fom, kare me agiki, ki mukene.","Write an email to the admissions office of a university requesting information about a specific program. Ask about the application process, deadlines, etc."
Coo email bot lapwony macon me penyo gi me coyo waraga me miini tam. Mii ngec ma mako tic ni ki miini ngec mukene.,Compose an email to a former professor asking them to write a recommendation letter for you. Provide details about the position and offer to provide further information.
"Co waraga me email bot latic pa gamente ma mako lok ma mako kwo ni. Tit jami ma tye ka yelo cwinyi, mi lok ada ma miiyo kony, ki mi tam i kom yoo ma itwero cobo ne.","Write a formal email to a government official addressing a local issue that concerns you. State your concerns, provide supporting facts, and suggest possible solutions."
I tye ka cako tic manyen ki imito nyute bot lutic luwoti. Coo imeil ma nyutu komi ki nyutu yom cwiny ni me tic kacel.,You’ve just started a new job and want to introduce yourself to your team members. Write a formal email introducing yourself and expressing your excitement about working together.
Coo email bot ladit tic macon kun ipenye me tic kwede macalo lanyut me penyo pi tic manyen. Penygi ki mwolo pi twerogi dok ipwogi pi cwakgi.,Compose an email to a former employer requesting to use them as a reference for a new job application. Politely ask for their permission and thank them for their support.
Co waraga ma ki lwongo ni email bot ngat ma twero bedo lawil kun inyutu kampuni ni ki miiyo kony ni. Nyut teko ni ma pire tek ki itit kit ma itwero konyo kwede biacara gi.,Write a cold email to a potential client introducing your company and offering your services. Highlight your key strengths and explain how you can help their business.
"Co waraga me cato wil ma tito pi yabo gin manyen. Ket ngec ma mako jami ma ki yubu ni, ber ne, ki jami ma ki cato onyo ma ki dwoko piny.","Compose a marketing email announcing the launch of a new product. Include details about the product’s features, benefits, and any special promotions or discounts."
Co waraga me lubo bot ngat ma twero bedo lawil ma onyutu miti i kom gin ma i cato ni. Poyo wigi i kom adwogi maber ma bino ki iye ni ibi gamo lapeny mo keken.,Write a follow-up email to a potential client who expressed interest in your product. Remind them of the benefits and offer to answer any questions.
"Coo email ma moko ni in itye ngat manyen ma tye ka donyo i karatac me lok angeya pa kampuni ni. Wapyo gi pi coyo nying gi, wac gi ngo ma omyera gu bed ka kuro, ki medo lwongo me timo gin mo.","Compose an email confirming a new subscriber to your company’s newsletter. Thank them for subscribing, tell them what to expect, and include a call to action."
Co waraga me cato wil bot lawil ma dong tye ma tye ka miiyo jami ma rwate ki jami ma en twero bedo ki miti iye malube ki jami ma en owilo con. Nyut pingo jami eni gi konyo wil gi.,Write a sales email to an existing customer offering related products they might be interested in based on previous purchases. Highlight why these products complement their purchase.
Coo email bot lapwony ni me penyo pi kare me tic ma kimiyo. Tit kit ma itye kwede ki mi kare ma opore pi kare ma itwero tyeko kwede tic ni.,Write an email to your professor requesting an extension for an assignment. Explain your situation and provide a reasonable timeline for when you can complete the work.
"Co email bot lutino kwan luwoti ma tye ka yubu yub me gurup. Mi tic, ket kare me agiki, ki mi kare me rwate me nyamo lok ma tye ka time.","Compose an email to your classmates coordinating a group project. Assign tasks, set deadlines, and suggest a meeting time to discuss progress."
Coo email bot lapwony ma tye ka penyo pi kare me kwan ma twero bedo tye. Nyut jami ma imaro ki itit pingo imito tic kwed gi.,Write an email to a professor inquiring about potential research opportunities. Highlight your interests and explain why you’d like to work with them.
Coo email bot lapwony ni me kwayo kica pi rwenyo kwan pi jami ma pi ki tamo. Peny ka tye gin mo ma imito kwano.,Write an email to your professor apologizing for missing a class due to unforeseen circumstances. Ask if there is any material you need to catch up on.
Coo email bot lapwony macon onyo lapwony ma ipenye pi tam i kom tic. Tit lok ma mako kwo ni i kare ni ki peny pi kony ma mako kit me mede anyim.,Compose an email to a former professor or mentor asking for career advice. Briefly explain your current situation and ask for guidance on how to move forward.
"Dano mogo gi tamo ni kwan i intanet ber loyo kwan macon, jo mukene gi waco ni kwan i ot kwan pwod pire tek. Lok i kom tam aryo magi ducu dok imi tammi.","Some believe online learning is more effective than traditional learning, while others argue classroom learning is still crucial. Discuss both views and give your opinion."
"Dano mogo tamo ni peko ma mako kwo pa dano omyera ki cobo ne i wilobo weny, jo mukene tamo ni omyera ki cobo ne i kabedo moni. Lok i kom tam aryo magi ducu dok imi tammi.","Some people believe environmental problems should be solved globally, while others think they should be tackled locally. Discuss both views and give your opinion."
Dano mogo gitamo ni nongo tic ki kwo ma rwate tek i kare ni ma loyo kare mukato angec. I rwom mene ma in iyee onyo pe iye ki lok man?,Some believe achieving work-life balance is more difficult today than in the past. To what extent do you agree or disagree with this statement?
