id,prompt,source,task,language
3674,"Nako le nako ge o namela pese go ya mošomong, o itemogela phetolelo ye e fapanego ya go sepela ka tsela ye e swanago legohleng leo le bapilego. Ke dipaterone goba diphetogo dife tšeo o thomago go di lemoga?",polywrite,monolingual,sepedi
3675,Akanya ka motse o phatlaletšego wa ka tlase ga mobu wo o šomišwago ke dimela tša biluminescent. Badudi ba yona ba lebeletšana le ditlhohlo dife?,polywrite,monolingual,sepedi
3676,Ngwala imeile go moprofesara o botšiša ka ga dibaka tšeo di ka bago gona tša nyakišišo. Gatelela dikgahlego tša gago gomme o hlalose lebaka leo ka lona o ratago go šoma le tšona.,polywrite,monolingual,sepedi
3677,Ngwala imeile go moprofesara wa gago o kgopela katološo ya kabelo. Hlalosa boemo bja gago gomme o nee lenaneo la nako le le kwagalago la gore o ka fetša neng mošomo.,polywrite,monolingual,sepedi
3678,"Lefelong la bokgabo leo le tumilego, diswantšho di thoma go sebela diphiri ka batho bao ba di bogelago. Ke eng seo se lego ka morago ga tiragalo ye e makatšago?",polywrite,monolingual,sepedi
3679,Akanya o na le matla a magolo ao a go dumelelago go khutša nako ka metsotso e 10 iri e nngwe le e nngwe. O tsenya se bjang mokgweng wa gago wa letšatši le letšatši?,polywrite,monolingual,sepedi
3680,"Hlama mokgwa wa moswananoši wa go ngwala dijenale wa go naganišiša ka ditiragalo tša letšatši, o šomiša ditšhišinyo tšeo di lebišitšego tlhokomelo dinakong tše nnyane tša tebogo, boitlhamelo, goba go ikhwetša.",polywrite,monolingual,sepedi
3681,Hlama lelokelelo la di-haiku tšeo e nngwe le e nngwe e emelago kgopotšo e aroganego ya lerato leo le lebetšwego.,polywrite,monolingual,sepedi
3682,Akanya ka lefase leo go lona maikwelo a tsenywago ka mabotlelong gomme a rekišwa. Se se be se tla fetoša bjang ditirišano tša batho le setšhaba?,polywrite,monolingual,sepedi
3683,"Sedirišwa se sefsa se bolela gore se ekiša ‘letšatši la mošomo le le phethagetšego’ go ya ka mekgwa le dikgetho tša motho ka noši. Ngwala ka motho yo a e lekago, feela go utolla gore e tseneletšego kudu go feta kamoo ba bego ba letetše ka gona.",polywrite,monolingual,sepedi
3684,"Batho ba bantši ba bagolo ba sa dutše ba se na bokgoni bja motheo bja dijithale lefaseng la lehono. Mabaka afe ao a lego ka morago ga se, gomme ke eng seo se ka dirwago go kaonafatša go bala le go ngwala ka dijithale?",polywrite,monolingual,sepedi
3685,Ngwala poledišano magareng ga motho yo a phelago le sepoko seo se fago keletšo ya bophelo yeo e sa letelwago.,polywrite,monolingual,sepedi
3686,"Akanya ka klase ya yoga yeo e diregago setudio seo se loilego moo matla-kgogedi a fetogago, nako e kobegago gomme dipopego di tšea mafelelo a maleatlana.",polywrite,monolingual,sepedi
3687,"Akanya gore nako le nako ge o itšhidulla, o išwa go selo sa kgonthe se sengwe moo matla a gago a mmele a kgomago lefase leo le go dikologilego. Hlalosa lenaneo le tee la go itšhidulla.",polywrite,monolingual,sepedi
3688,Ngwala imeile o leboga setho sa lapa goba mogwera ka mpho yeo ba go filego yona. E-ba yo a lebanyago mabapi le lebaka leo ka lona o lebogago mpho yeo le kamoo o rulaganyago go e diriša ka gona.,polywrite,monolingual,sepedi
3689,"Ngwala imeile go ofisi ya kamogelo ya yunibesithi o kgopela tshedimošo ka ga lenaneo le itšego. Botšiša ka ga tshepedišo ya kgopelo, matšatši a mafelelo, bj.bj.",polywrite,monolingual,sepedi
3690,"Hlama imeile go bao o tsenago le bona ka klaseng bao ba rulaganyago projeke ya sehlopha. Abela mešomo, bea matšatši a mafelelo gomme o šišinye nako ya kopano ya go ahlaahla tšwelopele.",polywrite,monolingual,sepedi
3691,"Lefaseng leo ditoro di ka laolwago ka go latela mekgwa e itšego, hlalosa kamoo motho a itokišeletšago toro ya gagwe e phethagetšego.",polywrite,monolingual,sepedi
3692,"Hotele ka sephiri hlaha libakeng tse fapaneng lefatšeng ka bophara, empa feela bosiu. Gatee ge mesong e fihla, e a nyamelela. Sephiri sa yona ke eng?",polywrite,monolingual,sepedi
3693,Hlama poledišano magareng ga mosepelasebakeng le moeng yo a boledišanago ka go šomiša mebala go e na le mantšu.,polywrite,monolingual,sepedi
3694,Ngwala imeile go mogwera wa kgauswi goba setho sa lapa o abelana ditaba tše di kgahlišago. Ba botše dintlha ka botlalo le kamoo o ikwago ka gona ka yona.,polywrite,monolingual,sepedi
3695,Ngwala imeile go lefapha la tirelo ya bareki la khamphani go rarolla maitemogelo a mabe ao o bilego le ona ka tirelo ya bona. Hlalosa bothata gomme o šišinye kamoo o ka ratago gore bo rarollwe ka gona.,polywrite,monolingual,sepedi
3696,Ngwala imeile go moemedi wa tirelo ya bareki o botšiša ka ga go hwetšagala le ditlhalošo tša setšweletšwa seo o nago le kgahlego ya go se reka.,polywrite,monolingual,sepedi
3697,Ngwala imeile ye e tonyago go moreki yo a ka bago gona o tsebiša khamphani ya gago le go fa ditirelo tša gago. Gatelela matla a gago a bohlokwa gomme o hlalose kamoo o ka thušago kgwebo ya bona ka gona.,polywrite,monolingual,sepedi
3698,Akanya o dula ka ntlong yeo e kgonago go itlhwekiša eupša e hlagolela ‘dikgopolo’ tša yona mabapi le gore bohlweki bo swanetše go ba bjang. Ke mathata afe ao a tšwelelago?,polywrite,monolingual,sepedi
3699,Ngwala kanegelo ka sehlopha sa bagale ba bagolo bao ba rotšego modiro bao ba tšwago go rola modiro bakeng sa thomo e tee ya mafelelo.,polywrite,monolingual,sepedi
3700,Nagana ka moanegwa yo a nago le phoofolo ya lapeng ya roboto yeo e nago le AI e tšwetšego pele yeo e thomago go hlagolela semelo sa yona le dikganyogo tša yona.,polywrite,monolingual,sepedi
3701,"Go reka ka Inthanete go thomile go ratwa kudu nywageng ya morago bjale. Mabaka afe a tshekamelo ye, gomme e na le khuetšo efe go dikgwebo tša selegae?",polywrite,monolingual,sepedi
3702,"Fetola letšatši la letšatši le letšatši la go kitima dithoto go ba go tsoma ga epic, ka setopong se sengwe le se sengwe se tšweletša tlhohlo ya moswananoši (mohlala, go hwetša metswako ye e sa tlwaelegago, go rarolla dithai, bjalobjalo).",polywrite,monolingual,sepedi
3703,"Akanya ka lebenkele la go rekiša dijo la nakong e tlago moo diroboto tšeo di sepedišwago ke AI di thušago bareki, eupša di e-na le monagano wa tšona. Se se kgoma bjang phihlelo ya go reka?",polywrite,monolingual,sepedi
3704,"Nakong e tlago e sa le kgaufsi, temogo e ka fetišetšwa mebeleng e fapanego. Go direga’ng ge motho a fetišetša mmeleng wa maitirelo gomme a nyaka go boela sebopegong sa gagwe sa mathomo?",polywrite,monolingual,sepedi
3705,Go swarwa khonferentshe magareng ga mehuta e fapa-fapanego ya diphedi tše dingwe bakeng sa go bopa kwano ya khutšo ya legohle. Ba fenya bjang mapheko a polelo le setšo?,polywrite,monolingual,sepedi
