prompt,prompt_en
Pangani nkhani yomwe kukonzekera chakudya chatsiku ndi tsiku kumakhala kosangalatsa - chilichonse chimachokera kudziko lamatsenga ndipo chimafunika kuchitidwa mwapadera.,Create a story where daily meal prepping turns into a culinary adventure—each ingredient comes from a magical land and requires special handling.
Lembani imelo kwa mnzanu wapamtima kapena wachibale kugawana nkhani zosangalatsa. Auzeni mwatsatanetsatane komanso momwe mukumvera.,Write an email to a close friend or family member sharing exciting news. Tell them the details and how you’re feeling about it.
"Lembani za zochitika pamsika pomwe ogulitsa amagulitsa zinthu wamba komanso zamatsenga, ndipo kugulitsana sikufuna ndalama zokha, koma zidule zanzeru kapena miyambi.","Write about running errands in a marketplace where vendors sell both mundane and magical items, and haggling requires not just money but clever tricks or riddles."
"Tangoganizirani malo ogulitsira am&#39;tsogolo momwe maloboti oyendetsedwa ndi AI amathandizira ogula, koma ali ndi malingaliro awoawo. Kodi izi zimakhudza bwanji kugula?","Imagine a futuristic grocery store where AI-driven robots assist shoppers, but they have a mind of their own. How does this affect the shopping experience?"
Pangani mndandanda wa haikus yomwe iliyonse imayimira kukumbukira pang&#39;ono kwa chikondi choyiwalika.,Create a series of haikus that each represent a fragmented memory of a forgotten love.
Lembani imelo kwa pulofesa wofunsa za mwayi wofufuza. Onetsani zokonda zanu ndikufotokozera chifukwa chake mukufuna kugwira nawo ntchito.,Write an email to a professor inquiring about potential research opportunities. Highlight your interests and explain why you’d like to work with them.
"Fotokozani za ulendo watsiku ndi tsiku mumzinda wongopeka wodzaza ndi zamatsenga, momwe zoyendera za anthu onse zimakhala ndi ngolo zamatsenga, zowuluka, kapena madoko.","Describe a daily commute in a fantasy city filled with magical creatures, where public transportation includes enchanted carriages, flying creatures, or portals."
"Tangoganizani ofesi yomwe wogwira ntchito aliyense akuyimira malingaliro osiyana (monga chisangalalo, mkwiyo, kaduka). Kodi amayendetsa bwanji ntchito za tsiku ndi tsiku ndi misonkhano?","Imagine an office where every employee represents a different emotion (e.g., joy, anger, envy). How do they navigate daily tasks and meetings?"
"Ena amakhulupirira kuti makolo ayenera kukhala ndi udindo wolera ana, pamene ena amaganiza kuti boma liyenera kuchitapo kanthu. Kambiranani maganizo onse awiri ndikupereka maganizo anu.","Some believe parents should be solely responsible for raising children, while others think the government should play a role. Discuss both views and give your opinion."
"Mumapatsidwa mndandanda wa golosale wokhala ndi zinthu zomwe zikuwoneka kuti palibe. Pamene mukufufuza, mumapeza kuti chinthu chilichonse ndi chidziwitso chotsogolera ku chinthu china chachikulu.","You are given a grocery list with items that don't seem to exist. As you search, you discover that each item is a clue leading to something much bigger."
"Kugula pa intaneti kwatchuka kwambiri m&#39;zaka zaposachedwa. Kodi zifukwa zamtunduwu ndi zotani, ndipo zimakhudza bwanji mabizinesi amderalo?","Online shopping has become increasingly popular in recent years. What are the reasons for this trend, and what impact does it have on local businesses?"
Lembani imelo ku dipatimenti yothandizira makasitomala a kampani kuti muthetse vuto lomwe munakumana nalo ndi ntchito yawo. Fotokozani vuto ndikuwonetsa momwe mungafune kuti lithetsedwe.,Write an email to a company’s customer service department to address a poor experience you had with their service. Explain the problem and suggest how you would like it resolved.
Ena amakhulupirira kuti kukhala ndi moyo wabwino pantchito ndizovuta kwambiri masiku ano kuposa kale. Kodi mumavomereza kapena kusagwirizana ndi mawuwa mpaka pati?,Some believe achieving work-life balance is more difficult today than in the past. To what extent do you agree or disagree with this statement?
Lembani imelo kwa woimira kasitomala wofunsa za kupezeka ndi kutsimikizika kwa chinthu chomwe mukufuna kugula.,Write an email to a customer service representative inquiring about the availability and specifications of a product you are interested in purchasing.
"Lembani imelo ku ofesi yovomerezeka ya yunivesite kufunsa zambiri za pulogalamu inayake. Funsani za njira yofunsira, masiku omaliza, ndi zina.","Write an email to the admissions office of a university requesting information about a specific program. Ask about the application process, deadlines, etc."
"Lembani zokambirana pakati pa akuluakulu awiri omwe akufuna kugonjetsa mfumu yokondedwa, koma mokhota kuti mmodzi wa iwo ali ndi zolinga zobisika.","Write a dialogue between two courtiers conspiring to overthrow a beloved monarch, but with a twist that one of them has a hidden agenda."
"Hotelo imawoneka modabwitsa m&#39;malo osiyanasiyana padziko lonse lapansi, koma usiku wokha. Kukangocha, zimasowa. Chinsinsi chake ndi chiyani?","A hotel mysteriously appears in different locations around the world, but only at night. Once morning comes, it vanishes. What’s its secret?"
Tangoganizani chilengedwe chikuyimba nyimbo yoyimba pansi usiku usanakwane. Ndi mawu otani ndi zithunzi zomwe zidzagwiritse ntchito?,Imagine nature singing a lullaby to the earth before the night falls. What words and imagery would it use?
"Ena amakhulupirira kuti malo ochezera a pa Intaneti ali ndi chikoka chabwino pa anthu, pamene ena amaganiza kuti ali ndi zotsatira zoipa. Kambiranani maganizo onse awiri ndikupereka maganizo anu.","Some believe social media has a positive influence on society, while others think it has a negative impact. Discuss both views and give your opinion."
Lembani zokambirana pakati pa wapolisi wofufuza milandu ndi katswiri wodziwa zigawenga omwe ali mabwenzi mobisa aubwana.,Write a dialogue between a detective and a criminal mastermind who are secretly childhood friends.
Lembani imelo kwa pulofesa wanu wopempha kuti awonjezere ntchito. Fotokozani zomwe zikuchitika ndipo perekani nthawi yoyenera yoti mutsirize ntchitoyo.,Write an email to your professor requesting an extension for an assignment. Explain your situation and provide a reasonable timeline for when you can complete the work.
"Muli ndi ntchito yogula zinthu mosadziwika bwino, koma masitolo omwe mumatumizidwako ndiachilendo - iliyonse ili ndi chinsinsi chomwe chiyenera kuwululidwa.","You are tasked with a mystery shopping job, but the stores you're sent to are anything but ordinary—each one has a secret that needs to be uncovered."
Lembani imelo yotsatila kwa omwe angakhale kasitomala amene wasonyeza chidwi ndi malonda anu. Akumbutseni za ubwino wake ndipo perekani kuyankha mafunso aliwonse.,Write a follow-up email to a potential client who expressed interest in your product. Remind them of the benefits and offer to answer any questions.
Lembani nkhani yaifupi kuchokera mumalingaliro a chombo cham&#39;mlengalenga chomwe chimalakalaka kukhala ndi anzawo koma chomwe chili papulaneti lopanda anthu.,Write a short story from the perspective of a sentient spaceship that longs for companionship but is stuck on an uninhabited planet.
Lembani nkhani ya anthu amene makina amatsimikizira kuti munthu ali ndi makhalidwe abwino. Kodi chimachitika ndi chiyani ngati munthu amene ali ndi makhalidwe oipa akutsutsa dongosolo?,Write a story about a society where a machine determines a person's moral worth. What happens when someone with a low moral score challenges the system?
