id,prompt,source,task,language
3000,Tsɔɔmɔ gbi ko yɛ Shikpɔŋ nɔ ni hewalɛ ni tsiɔ nii kɛbaa shikpɔŋ lɛ nɔ lɛ kuɔ esɛɛ trukaa ŋmɛlɛtswai fioo komɛi. Te gbɔmɛi kɛ kooloi feɔ amɛnii amɛhaa tɛŋŋ?,polywrite,monolingual,ga
3001,"Ŋmaa email ni okɛnyiɛ nitsumɔ he sanebimɔ ko ni ofee otsii enyɔ ni eho nɛ lɛ sɛɛ. Tsɔɔmɔ miishɛɛ ni oyɔɔ yɛ nitsumɔ lɛ he lɛ, shidaa aha mɔ ni biɔ bo saji lɛ yɛ amɛbe lɛ hewɔ, ni obi ni aha bo saji heei.",polywrite,monolingual,ga
3002,Ŋmaa email kɛya nitsumɔhe ko nitsumɔhe ni kwɛɔ mɛi ni heɔ nii lɛ anɔ lɛ koni okɛtsu niiashikpamɔ gbonyo ko ni oná yɛ amɛ nitsumɔ lɛ he lɛ he nii. Tsɔɔmɔ naagba lɛ mli ni otsɔɔ bɔ ni obaasumɔ ni atsu he nii aha.,polywrite,monolingual,ga
3003,Ŋmaa email ni oda oweku lɛ mlinyo loo onaanyo ko shi yɛ nikeenii ko ni amɛkɛha bo lɛ hewɔ. Tsɔɔmɔ nɔ hewɔ ni ohiɛ sɔɔ nikeenii lɛ kɛ bɔ ni oto gbɛjianɔ akɛ okɛbaatsu nii lɛ mli tɛ̃ɛ.,polywrite,monolingual,ga
3004,"Ŋmaa e-mail kɛya univɛsiti ko nitsumɔhe nine ni kwɛɔ mɛi anɔ lɛ ni obi saji ni kɔɔ gbɛjianɔtoo pɔtɛɛ ko he. Bi gbɛ ni atsɔɔ nɔ abiɔ nitsumɔ, bei ni ato, kɛ ekrokomɛi.",polywrite,monolingual,ga
3005,"Ŋmaa email kɛha maŋ onukpa ko ni wieɔ maŋ sane ko ni haoɔ bo lɛ he. Tsɔɔmɔ nɔ ni haoɔ bo, kɛ anɔkwalei ni fiɔ sɛɛ lɛ aha, ni otsɔɔ tsabaai ni abaanyɛ atsu he nii.",polywrite,monolingual,ga
3006,Ŋmaa email ni mli ejɔ kɛyaha mɔ ko ni baanyɛ abahe nii lɛ ni ojie onitsumɔhe lɛ kpo ni okɛ onitsumɔi lɛ aha. Maa ohewalɛ titrii lɛ anɔ mi ni otsɔɔ bɔ ni obaanyɛ oye obua amɛ nitsumɔ lɛ mli.,polywrite,monolingual,ga
3007,Ŋmaa jarayeli email kɛha jarayelɔ ko ni yɔɔ momo ni kɛ nibii ni kɔɔ he ni amɛbaanyɛ amɛsumɔ lɛ haa yɛ nibii ni amɛhe tsutsu lɛ ahe. Tsɔɔmɔ nɔ hewɔ ni nɛkɛ nibii nɛɛ yeɔ ebuaa amɛ nihɔɔmɔ lɛ nɔ mi.,polywrite,monolingual,ga
3008,Ŋmaa email kɛyaha tsɔɔlɔ ko ni biɔ niiamlitaomɔ hegbɛi ni baanyɛ aba lɛ he sane. Maa nibii ni osumɔɔ lɛ anɔ mi ni otsɔɔ nɔ hewɔ ni obaasumɔ ni okɛ amɛ atsu nii lɛ mli.,polywrite,monolingual,ga
3009,Ŋmaa email kɛyaha otsɔɔlɔ lɛ ni okpa lɛ fai akɛ obɛ klas yɛ shihilɛi ni anyɛɛɛ akɛɛ nɔ ko hewɔ. Bi kɛji saji komɛi yɛ ni esa akɛ oshɛ he.,polywrite,monolingual,ga
3010,"Mɛi komɛi heɔ amɛyeɔ akɛ Intanɛt nɔ nikasemɔ tsuɔ nii jogbaŋŋ fe blema nikasemɔ, yɛ be mli ni mɛi krokomɛi wieɔ akɛ klas mli nikasemɔ he hiaa lolo. Susumɔ susumɔi enyɔ lɛ fɛɛ he ni oha osusumɔ.",polywrite,monolingual,ga
3011,"Mɛi komɛi heɔ amɛyeɔ akɛ esa akɛ atsu shihilɛ mli naagbai ahe nii yɛ jeŋ fɛɛ, yɛ be mli ni mɛi krokomɛi susuɔ akɛ esa akɛ atsu he nii yɛ maŋ lɛ mli. Susumɔ susumɔi enyɔ lɛ fɛɛ he ni oha osusumɔ.",polywrite,monolingual,ga
3012,Mɛi komɛi heɔ amɛyeɔ akɛ nitsumɔ kɛ shihilɛ ni akɛaafee ekome lɛ wa ŋmɛnɛ fe tsutsu lɛ. Te okpɛlɛɔ wiemɔ nɛɛ nɔ loo okpɛlɛɛɛ nɔ kɛyashɛɔ tɛŋŋ?,polywrite,monolingual,ga
3013,"Gbɔmɔ ni fa fe nine miifee naagba ko ni hiɛdɔɔ yɔɔ mli yɛ maji babaoo amli. Mɛni ji nibii ni kɛ sane nɛɛ baa, ni mɛɛ gbɛi abaanyɛ atsɔ nɔ atsu enɛ he nii?",polywrite,monolingual,ga
3014,"Yɛ maji wuji pii amli lɛ, kɔɔyɔɔ kɛ nu mli mujiwoo ji sane ko ni he hiaa waa. Mɛni kɛ naagbai nɛɛ baa, ni mɛɛ nibii abaanyɛ afee koni shihilɛ lɛ aya hiɛ?",polywrite,monolingual,ga
3015,"Mɛi ni eda lɛ ateŋ mɛi pii bɛ shishijee nibii ni akɛtsuɔ nii yɛ ŋmɛnɛŋmɛnɛ je lɛ mli lolo. Mɛni ji yiŋtoi ni yɔɔ enɛ sɛɛ, ni mɛni ji nɔ ni abaanyɛ afee koni akɛ dijitaal nikasemɔ aya hiɛ?",polywrite,monolingual,ga
3016,"Yɛ maŋtiasei babaoo amli lɛ, mɛi ni bɛ shia lɛ miiya hiɛ. Mɛni ji yiŋtoi ni haa nɛkɛ yifalɛ nɛɛ baa, ni mɛni abaanyɛ afee koni naagba lɛ aba shi?",polywrite,monolingual,ga
3017,"Kɔɔyɔŋ tsakemɔ miiná wɔ shibɔlemɔ ŋulami lɛ nɔ hewalɛ waa. Mɛni osusuɔ akɛ eji nibii titri ni kɛ kɔɔyɔŋ tsakemɔ baa, ni mɛni ji nɔ ni ebaanyɛ ená shihilɛ ni yɔɔ jɛmɛ lɛ nɔ hewalɛ?",polywrite,monolingual,ga
3018,"Intanɛt nɔ nihɔɔmɔ ebafee nɔ ni ehe gbɛi waa yɛ nyɛsɛɛ afii nɛɛ amli. Mɛni ji yiŋtoi ni haa nɛkɛ nifeemɔ nɛɛ baa, ni mɛɛ hewalɛ enáa yɛ maŋ lɛ mli jarayeli nitsumɔi anɔ?",polywrite,monolingual,ga
3019,"Yɛ je lɛŋ hei pii lɛ, mɛi ni kaneɔ woji lɛ ayibɔ eba shi kwraa. Mɛni ji yiŋtoi ni haa nɛkɛ shigbeemɔ nɛɛ baa, ni mɛni ji nɔ ni jɛɔ mli kɛbaa kɛhaa gbɔmɛi?",polywrite,monolingual,ga
3020,"Jeŋ muu fɛɛ nifeemɔ kɛ sɛɛnamɔi babaoo eba, shi ekɛ naagbai komɛi hu eba shihilɛ mli nibii komɛi anɔ. Mɛni ji nibii ni kɛ jeŋ muu fɛɛ nifeemɔ baa, ni te esaa je lɛ nɔ eha tɛŋŋ?",polywrite,monolingual,ga
3021,Mɛi babaoo miifã kɛmiijɛ akrowai amli kɛmiiya maji wuji amli. Susumɔ sɛɛnamɔi kɛ naagbai ni yɔɔ nifeemɔ nɛɛ he.,polywrite,monolingual,ga
