id,prompt,source,task,language
1200,Ka rubuta wa mahaifiyata wasiƙa don ta yarda cewa zan iya samun cat.,dolly,monolingual,hausa
1201,Ka ba ni hanyoyi da yawa da zan iya kiyaye gidana ya zama mai sanyi a lokacin rani,dolly,monolingual,hausa
1202,"A cikin jirgi, zan iya ɗaukar abubuwa uku kawai daga cikin waɗannan abubuwa: takobi, littafi, waya, akwati, kunkuru, jirgin sama. Waɗanne ne ya kamata in ɗauka?",dolly,monolingual,hausa
1203,Mene ne kalmar aikatau?,dolly,monolingual,hausa
1204,"Ka taƙaita gardamar kuma ka gaya mani wanda ya ci nasara
Context:Akwai rikici tsakanin Crosby da mai tallafawa game da abin da ya kamata a yi amfani da shi. Woodbury Soap da kamfanin dillancin labaransa, Lennon & Mitchell, sun yi la'akari da cewa waƙar ""Loveliness"" wacce koyaushe take taken shirye-shiryen Woodbury ya kamata a ci gaba. Crosby ya yi jayayya cewa ma'anar ma'ana ga waƙar ita ce ""A ina Blue of the Night (Meets the Gold of the Day)"", bisa dalilin cewa an gano waƙar tare da shi tun lokacin da yake cikin iska. Daga bisani Woodbury ya yarda da mawaƙa. Sauran matsaloli sun taso ne tare da Dale Winbrow, wanda aka aika zuwa gabar yamma daga New York ta kamfanin Lennon & Mitchell don warware batun jayayya da kuma kula da wasan kwaikwayon. Winbrow ya saurari shirin da Crosby da Lennie Hayton suka shirya don watsawa ta gaba kuma ya soki shi sosai. <unk>Flare up da aka jawo daga Crosby ya ƙare tare da Warbler da Hayton suna bayyana kansu daga wasan kwaikwayon. Daga bisani shugabancin baritone ya rinjaye shi ya ci gaba yayin da ake daidaita lamarin tare da hukumar a karshen New York.",dolly,monolingual,hausa
1205,Ta yaya zan saka kuɗina?,dolly,monolingual,hausa
1206,"Dangane da rubutun nassi game da Bitcoin, kasashe nawa ne suka haramta Bitcoin?
Context:Bitcoin (taƙaice: BTC[a] ko XBT[b]; alama: <unk>) wata yarjejeniya ce wacce ke aiwatar da babban littafi mai wadatacce, na jama'a, na dindindin, da rarrabawa. Don ƙarawa zuwa littafin, mai amfani dole ne ya tabbatar da cewa suna sarrafa shigarwa a cikin littafin. A yarjejeniya ƙayyade cewa shigarwa ya nuna adadin wani alama, bitcoin da karamin b. Mai amfani zai iya sabunta babban littafin, sanya wasu daga cikin bitcoin zuwa wani shigarwa a cikin babban littafin. Saboda alamar tana da halaye na kuɗi, ana iya tunaninsa azaman kuɗin dijital.   Ana tabbatar da ma'amaloli na Bitcoin ta hanyar hanyoyin sadarwa ta hanyar cryptography kuma an rubuta su a cikin babban littafin da aka rarraba da ake kira blockchain. An kirkiro cryptocurrency ne a cikin 2008 ta wani mutum da ba a san shi ba ko rukuni na mutane ta amfani da sunan Satoshi Nakamoto. An fara amfani da kuɗin a cikin 2009, lokacin da aka saki aiwatar da shi azaman software mai buɗewa.: ch. 1 An bayyana kalmar ""bitcoin"" a cikin wani farin littafi da aka buga a ranar 31 ga Oktoba, 2008. Yana da haɗin kalmomin bit da tsabar kudi.   Laburaren Majalisa ya ba da rahoton cewa, a watan Nuwamba na 2021, ƙasashe tara sun hana amfani da bitcoin gaba ɗaya, yayin da wasu arba'in da biyu suka hana shi a bayyane. Wasu 'yan gwamnatoci sun yi amfani da bitcoin a wani matsayi. El Salvador ya karɓi Bitcoin a matsayin doka, kodayake amfani da 'yan kasuwa ya kasance kaɗan. Ukraine ta karɓi gudummawar cryptocurrency don tallafawa juriya ga mamayar Rasha ta 2022. Iran ta yi amfani da bitcoin don kauce wa takunkumi.",dolly,monolingual,hausa
1207,Menene bambanci tsakanin lambobi na zahiri da na ainihi?,dolly,monolingual,hausa
1208,Wane launi ne Rainbow?,dolly,monolingual,hausa
1209,"Rarraba kowace ƙasa a matsayin ƙasa ko ba ta da ƙasa: China, Bolivia, Paraguay, Morocco, Ireland, Austria, Switzerland",dolly,monolingual,hausa
