id,prompt,source,task,language
300,"Nwata si suo agbara ọkụ,",aya,monolingual,igbo
301,"N'iburu n'uche usoro nke echiche, nye ajụjụ na azịza ezi uche dị na ya. Ihe mere o ji dị otú ahụ: Iji zaa ajụjụ a, anyị kwesịrị ịma nke a: Mgbe ndị akaebe matachara Nikolas Cruz, onye dị afọ iri na itoolu, ndị uwe ojii Broward County jidekwara ya n'oge na-adịghị anya ka nke ahụ gasịrị, Nikolas Cruz kwetara na ọ bụ ya gburu nwoke ahụ.  Ajụjụ na azịza:",aya,monolingual,igbo
302,Kedu mgbe agbara ụlo Igwe Oliver Nnaji ọkụ? ,aya,monolingual,igbo
303,N'ahịrịokwu anọ gwa m maka Rivers steeti? ,aya,monolingual,igbo
304,"Mezue ahịrịokwu a: ""Ejighi oke iwe ... """,aya,monolingual,igbo
305,Iberibe ,aya,monolingual,igbo
306,"Doc iji chịkọta: A na-ekpe Sarakị ikpe maka ekwuputachaghị ihe niile o nwere

N'ọnụ ya,""ebere m na-emere onye n'ahụ maka ikpe m a akpọrọ Danladị Umar,onye ndị EFCC nọkatara kpụagharịwa ka ọ fọrọ abali anọ iji malite ikpe ọzọ.""

""Lotanu na n'afọ 2016,mgbe ndị ome iwu gwara Umar ka o wepu onwe ya n'ikpe a maka nyocha mpu na nrụrụaka ana-eme gbasara ya na ndị EFCC si na aka ya dị ọcha.

O si na ọ na tọ ọchi ka EFCC si tugharịa kita si kwazia na Umar nwere mmetọ,""kedu ihe mebiri ka mgbe ọnwa Aprelu na arọ 2016""

Ọ bụ eziokwu na ndị Naijiria ka kwetere na ya bụ ikpe bụ maka aghụghọ gbasara ikọpụta ihe onye nwere mana aghụghọ sonye goro ya egosila na ya bu ikpe enweghị isi.

""A ka na-eche  ma ndị hụrụ gọọmentị aghọtakwara otu agwa ndị EFCC Kpara si emebesi agha megidere mpụ na nrụruaka.""

""Mana n'ime ihe niile a ka m nwere okwukwe na ndị omeiwu Naijirịa na ikike ha nwere iji kpezi ikpe ọbụla.

kedu ihe nchịkọta nke doc dị n'elu?",aya,monolingual,igbo
307,Nkume,aya,monolingual,igbo
308,"Kọwaa ilu a:

Ebe aka ruru nwaanyị, ọ tụkwasị dị ya. ",aya,monolingual,igbo
309,Onye bụ gọvanọ chiri Anambra Steeti n'afọ 2007?,aya,monolingual,igbo
310,"Mejuo ma kọwaa ahịrị okwu a:

Ọ bụ onye lụrụ onye ngwọrọ.... ",aya,monolingual,igbo
311,"Gịnị bụ azịza gwam gwam gwam a(riddle):

Gwa m ihe otu onye nwe ma ọha na-anụ olu akwa ya?",aya,monolingual,igbo
312,"Gini bu azịza gwam gwam gwam(riddle) a

Gwa m ọdara ọbụ ereghi ure",aya,monolingual,igbo
313,"Lion Heart: Ejije Genevieve Nnaji wepụtara nwere ike ituru ugo 'Oscar'. Lion Heart bụ ejije izizi Gnevieve Nnaji mepụtara n'onwe ya.

Otu a kpọrọ 'Nigerian Oscars Selection Committee' (NOSC) bụ ndị họpụtara ejije a ka o soro na ndị a ga-atule maka nturuugo 'Oscar'.

Ụmụnwaanyị Imo state bụ ""a kwaa a kwụrụ"" na Nigeria

Ugboro atọ mgbọ egbe 'stray bullet' tụrụ ndị Nollywood

'Lion Heart' bụ ejije maka onye ọgaranya nwere ụlọọrụ na-ahụ maka njem ụgbọala.

Mgbe ụlọọrụ ahụ chọrọ imechi n'ihi ụgwọ ha ji otu ụlọakụ, ada ọgaranya ahụ gbalịrị ike ya iji hụ na-emechighi ya.

",aya,monolingual,igbo
314,Gịnị bụ okpukpe ọdịnala ndị Igbo?,aya,monolingual,igbo
315,Gwam ọ n'aka ekwe n'isi,aya,monolingual,igbo
316,"Tweet a dị n'okpuru na-egosipụta mmetụta dị mma, nke na-adịghị mma, ka ọ bụ mmetụta na-anọpụ iche?

Ezigbote onye nzuzu ",aya,monolingual,igbo
317,Gwam nkirike nkirike juru uko,aya,monolingual,igbo
318,"Ajụjụ: Ònye bụ onye mbụ bụrụ abụ 'It's a wonderful world?'
Azịza ya:",aya,monolingual,igbo
319,Ọ mara mma ka,aya,monolingual,igbo
320,"Mejuo ilu a:

A tụọ ịlụ ngiriga nkata... ",aya,monolingual,igbo
321,gini bu gwam gwam gwam,aya,monolingual,igbo
322,Ọchịchị ime obodo ole dị na Bauchi?,aya,monolingual,igbo
323,Generate an article for the following headline: Naịjirịa ga-ere akụnaụba ọha iji mezuo ego bọjeetị 2018,aya,monolingual,igbo
324,Gịnị na-ebute ọrịa shuga?,aya,monolingual,igbo
325,Kwuzuo okwu a: Agbachaa ọsọ... ,aya,monolingual,igbo
326,Ònye bụ Onyeisiala Gambia?,aya,monolingual,igbo
327,Kedu mgbe abụ Igbo dere malitere^,aya,monolingual,igbo
328,Kedụ afọ a mụrụ Seun Adigun?,aya,monolingual,igbo
329,Kedụ afọ egwuregwu olimpik bidoro?,aya,monolingual,igbo
330,Gịnị bụ mkpụrụokwu?,aya,monolingual,igbo
331,"Kọrọ m akụkọ malitere site na ahịrịokwu a: Ka m batara n'obodo Abomege, amaghị m na iwu ha bụ na onye mba anaghị abata obodo ha ụbọchị ana efe Chi ha.",aya,monolingual,igbo
332,"Isi Okwu: Inec ekwuola ka ihe ga-esi gaa na ntuliaka 2019

N'inye aha dị n'elu nke akụkọ ifo, chee echiche banyere isiokwu ahụ.",aya,monolingual,igbo
333,Ajụjụ: Ebee ka a ga-eme Rugby World Cup n'afọ ọzọ,aya,monolingual,igbo
334,Kedụ ihe e ji egosipụta nnabata onye ọbịa n'ala Igbo? ,aya,monolingual,igbo
335,Kedụ mgbe amụrụ Joshua Uzoigwe?,aya,monolingual,igbo
336,"Nkebi ahịrịokwu 1: Lakhang bụ aha ezinụlọ nke Singpho ma ọ bụ agbụrụ Jinghpaw nke na-ebi obere na India na Lahkang Ga nke Kachin steeti, Myanmar. Nkebi ahịrịokwu 2: Lakhang bụ aha ezinụlọ nke sitere na Singpho ma ọ bụ agbụrụ Jinghpaw nke na-ebi obere na steeti Kachin, Myanmar, na Lahkang Ga na India. Ajụjụ: Ọ̀ bụ otu ihe ka ahịrịokwu nke mbụ na nke abụọ pụtara? Ee ma ọ bụ Ee e?",aya,monolingual,igbo
337,Gwam kwa ntụtụ kwa ekwere,aya,monolingual,igbo
