id,prompt,source,task,language
1600,Manorata taratasy ho an'ny reniko mba handresen-dahatra azy fa tokony ho afaka hahazo saka aho.,dolly,monolingual,malagasy
1601,Omeo fomba maro aho mba hitazonana ny tranoko ho mangatsiaka amin'ny fahavaratra,dolly,monolingual,malagasy
1602,"Amin'ny sidina iray, zavatra telo ihany no azoko entina: sabatra, boky, finday, valizy, avana, fiaramanidina. Iza amin'ireo no tokony ho entiko?",dolly,monolingual,malagasy
1603,Inona no atao hoe matoanteny?,dolly,monolingual,malagasy
1604,"Fintino ny adihevitra ary lazao amiko hoe iza no nandresy
Context:Nisy fifandirana teo amin'i Crosby sy ny mpanohana momba ny tononkira tokony hampiasaina. Woodbury Soap sy ny masoivohony, Lennon & Mitchell, dia nihevitra fa tokony hitohy ny hira ""Loveliness"" izay lohahevitry ny fandaharana Woodbury. Nilaza i Crosby fa ny lohahevitra lojika ho an'ny andalana dia ny ""Where the Blue of the Night (Meets the Gold of the Day)"", noho ny antony fa ny hira dia efa fantatra taminy hatramin'ny nandefasana azy tamin'ny rivotra. Neken'i Woodbury ihany ilay mpihira tamin'ny farany. Nipoitra ny olana hafa tamin'i Dale Winbrow, izay nalefan'ny masoivohon'i Lennon & Mitchell avy any New York ho any amin'ny morontsiraka andrefana mba hamaha ny adihevitra momba ny tononkira sy hanara-maso ny seho. Nihaino ny fandaharana nomanin'i Crosby sy Lennie Hayton ho an'ny fandaharana manaraka i Winbrow, ary tena nitsikera azy io. <unk>Ny fipoahana nateraky ny Crosby dia niafara tamin'ny filazan'ny Warbler sy Hayton ny tenany tsy ho ao anatin'ny seho. Ny mpitantana ny baritone taty aoriana dia nandresy lahatra azy hihazona izany raha mbola voavaha ny raharaha miaraka amin'ny masoivoho any New York.<unk>",dolly,monolingual,malagasy
1605,Ahoana no tokony hampiasako ny volako?,dolly,monolingual,malagasy
1606,"Miorina amin'ny lahatsoratra momba ny Bitcoin, firenena firy no nandrara ny Bitcoin?
Context:Bitcoin (fanafohezana: BTC[a] na XBT[b]; famantarana: <unk>) dia protocol izay mampihatra ny tena misy, ampahibemaso, maharitra, ary decentralized ledger. Mba hanampiana ny boky firaketana, ny mpampiasa dia tsy maintsy manaporofo fa mifehy ny fidirana ao amin'ny boky firaketana izy. Ny protocol dia mamaritra fa ny fidirana dia manondro ny habetsaky ny mari-pamantarana, bitcoin miaraka amin'ny b kely. Ny mpampiasa dia afaka manavao ny boky firaketana, manendry ny sasany amin'ireo bitcoiny amin'ny fidirana hafa ao amin'ny boky firaketana. Satria manana toetra mampiavaka ny vola ny famantarana, dia azo heverina ho toy ny vola nomerika.   Ny fifanakalozana Bitcoin dia voamarina amin'ny alalan'ny tambajotra nodes amin'ny alalan'ny cryptography ary voarakitra ao amin'ny boky fitantanam-bola mizara ho an'ny daholobe antsoina hoe blockchain. Ny cryptocurrency dia noforonin'ny olona iray tsy fantatra na vondron'olona mampiasa ny anarana Satoshi Nakamoto tamin'ny taona 2008. Nanomboka nampiasaina ny vola tamin'ny taona 2009, rehefa navoaka ho rindrambaiko loharano misokatra ny fampiharana azy.: ch. 1 Ny teny hoe ""bitcoin"" dia nofaritana tao amin'ny taratasy fotsy navoaka tamin'ny 31 Oktobra 2008. Avy amin'ny teny hoe bit sy vola madinika ilay izy.   Ny Tranombokin'ny Kongresy dia nitatitra fa, hatramin'ny Novambra 2021, firenena sivy no nandrara tanteraka ny fampiasana bitcoin, raha firenena roa amby efapolo hafa kosa no nandrara azy io. Misy governemanta vitsivitsy mampiasa bitcoin amin'ny endriny sasany. Nanaiky ny Bitcoin ho toy ny vola ara-dalàna i El Salvador, na dia mbola ambany aza ny fampiasan'ny mpivarotra azy. Nanaiky fanomezana cryptocurrency i Okraina mba hamatsiana ny fanoherana ny fanafihana Rosiana 2022. Nampiasa bitcoin i Iran mba hialana amin'ny sazy.",dolly,monolingual,malagasy
1607,Inona no mahasamihafa ny isa ara-boajanahary sy ny tena isa?,dolly,monolingual,malagasy
1608,Inona no lokon'ny Rainbow?,dolly,monolingual,malagasy
1609,"Alaharo ho firenena tsy misy morontsiraka na tsy misy morontsiraka ny firenena tsirairay: Shina, Bolivia, Paragoay, Maraoka, Irlandy, Aotrisy, Soisa",dolly,monolingual,malagasy
1610,"Inona no dikan'ny fifadian-kanina?
Context:Ny fifadian-kanina dia ny tsy mihinana sy misotro indraindray. Raha jerena amin'ny lafiny ara-batana fotsiny, ny ""fifady hanina"" dia mety manondro ny toe-piainan'ny olona iray izay tsy nihinana nandritra ny alina (jereo ny ""Fisakafoanana maraina""), na ny toe-piainana metabolika tratra taorian'ny fandevonan-kanina tanteraka sy ny fihinanana sakafo. Manomboka aorian'ny fihinanana sakafo (matetika 3 ka hatramin'ny 5 ora aorian'ny sakafo) ny fiovan'ny metabolisma amin'ny fifadian-kanina.",dolly,monolingual,malagasy
