prompt,prompt_en
"Ni gbogbo igba ti o ba gba ọkọ akero lati ṣiṣẹ, o ni iriri ẹya ti o yatọ ti commute kanna ni agbaye ti o jọra. Awọn awoṣe tabi awọn ayipada wo ni o bẹrẹ lati ṣe akiyesi?","Every time you take the bus to work, you experience a different version of the same commute in a parallel universe. What patterns or changes do you begin to notice?"
Fojuinu ilu ti o ntan ni ipamo ti o ni agbara nipasẹ awọn ohun ọgbin bioluminescent. Avùnnukundiọsọmẹnu tẹlẹ wẹ tòmẹnu etọn lẹ pehẹ?,Imagine a sprawling underground city powered by bioluminescent plants. What challenges do its inhabitants face?
Kọ imeeli si ọjọgbọn kan ti n beere nipa awọn anfani iwadii ti o pọju. Ṣe afihan awọn ifẹ rẹ ki o ṣalaye idi ti o fẹ lati ṣiṣẹ pẹlu wọn.,Write an email to a professor inquiring about potential research opportunities. Highlight your interests and explain why you’d like to work with them.
Kọ imeeli si ọjọgbọn rẹ ti o n beere itẹsiwaju fun iṣẹ iyansilẹ. Ṣe alaye ipo rẹ ki o pese akoko ti o ni oye fun igba ti o le pari iṣẹ naa.,Write an email to your professor requesting an extension for an assignment. Explain your situation and provide a reasonable timeline for when you can complete the work.
"Ninu ibi aworan aworan olokiki, awọn kikun bẹrẹ lati sọ awọn aṣiri sọ nipa awọn eniyan ti o wo wọn. Kini o wa lẹhin iṣẹlẹ ajeji yii?","In a renowned art gallery, the paintings begin to whisper secrets about people who view them. What is behind this strange phenomenon?"
Fojuinu pe o ni agbara nla ti o fun ọ laaye lati sinmi akoko fun iṣẹju mẹwa 10 ni gbogbo wakati. Bawo ni o ṣe ṣafikun eyi sinu iṣẹ ṣiṣe ojoojumọ rẹ?,Imagine you have a superpower that allows you to pause time for 10 minutes every hour. How do you incorporate this into your daily routine?
"Ṣe agbekalẹ ọna iwe akọọlẹ alailẹgbẹ kan fun ṣiṣaroye lori awọn iṣẹlẹ ọjọ, ni lilo awọn itọsi ti o dojukọ awọn akoko kekere ti ọpẹ, iṣẹda, tabi wiwa ara ẹni.","Invent a unique journaling method for reflecting on the day’s events, using prompts that focus on small moments of gratitude, creativity, or self-discovery."
Ṣẹda lẹsẹsẹ haikus ti ọkọọkan jẹ aṣoju iranti pipin ti ifẹ igbagbe.,Create a series of haikus that each represent a fragmented memory of a forgotten love.
Fojuinu aye kan nibiti awọn ẹdun ti wa ni igo ati tita. Bawo ni eyi yoo ṣe yi awọn ibaraẹnisọrọ eniyan ati awujọ pada?,Imagine a world where emotions are bottled and sold. How would this change human interactions and society?
"Ìṣàfilọ́lẹ̀ tuntun kan sọ pé ó ṣe àfarawé ‘ọjọ́ iṣẹ́ pípé’ tí ó dá lórí àwọn àṣà àti àwọn ìfẹ́kúfẹ̀ẹ́ ẹni kọọkan. Kọ nipa ẹnikan ti o gbiyanju rẹ, nikan lati ṣe iwari pe o lagbara pupọ ju ti wọn nireti lọ.","A new app claims to simulate the ‘perfect workday’ based on an individual’s habits and preferences. Write about someone who tries it, only to discover it's far more intense than they expected."
"Ọpọlọpọ awọn agbalagba ṣi ko ni awọn ọgbọn oni-nọmba ipilẹ ni agbaye ode oni. Kini awọn idi ti o wa lẹhin eyi, ati kini a le ṣe lati mu ilọsiwaju imọwe oni-nọmba pọ si?","Many adults still do not have basic digital skills in today's world. What are the reasons behind this, and what can be done to improve digital literacy?"
Kọ ibaraẹnisọrọ laarin eniyan alãye ati ẹmi ti o funni ni imọran igbesi aye airotẹlẹ.,Write a dialogue between a living person and a ghost who offers unexpected life advice.
"Fojuinu kilasi yoga kan ti o waye ni ile iṣere ti o ni iyanju nibiti awọn iṣipopada walẹ, awọn akoko yiyi, ati awọn iduro ti o gba awọn ipa idan.","Imagine a yoga class that takes place in an enchanted studio where gravity shifts, time bends, and poses take on magical effects."
"Fojuinu pe ni gbogbo igba ti o ba ṣiṣẹ, a gbe ọ lọ si otitọ miiran nibiti agbara ti ara rẹ yoo ni ipa lori agbaye ni ayika rẹ. Ṣe apejuwe igba adaṣe kan.","Imagine that every time you work out, you are transported to an alternate reality where your physical strength affects the world around you. Describe one workout session."
